analysisWdid,locationWdid,sum_wtd_count
3600645,5300584,321.833
3600645,7200645,3.666
3600649,3603543,66.0
3600649,5300584,586.998
3600660,3603543,29.334
3600660,5300584,284.833
3600671,3603543,66.0
3600671,5300584,586.998
3600671,7200645,1.042
3600687,3603543,33.0
3600687,5300584,293.499
3600709,5300584,928.499
3600709,7200645,9.666
3600734,3603543,33.0
3600734,5300584,293.499
3600775,5300584,321.833
3600775,7200645,6.0
3600776,5300584,321.833
3600776,7200645,6.0
3600780,3603543,33.0
3600780,5300584,293.499
3600780,7200645,1.042
3600796,3603543,33.0
3600796,5300584,293.499
3600803,5300584,321.833
3600803,7200645,3.666
3600830,3603543,33.0
3600830,5300584,287.666
3600830,3604512,1.042
3600912,3603543,29.334
3600912,5300584,284.833
3600985,5300584,321.833
3600985,7200645,6.0
3601044,3603543,33.0
3601044,5300584,293.499
3601044,3604512,1.042
3601044,7200645,1.292
3601051,3603543,29.334
3601051,5300584,284.833
3601052,3603543,29.334
3601052,5300584,284.833
3601058,3603543,33.0
3601058,5300584,293.499
3601058,3604512,1.042
3601085,3603543,33.0
3601085,5300584,293.499
3601085,3604512,1.042
3601085,7200645,1.292
3601100,3603543,33.0
3601100,5300584,293.499
3601100,7200645,2.334
3602030,3603543,33.0
3602030,5300584,293.499
3602030,3604512,1.042
3602030,7200645,1.292
3602033,3603543,33.0
3602033,5300584,293.499
3602033,3604512,1.042
3602033,7200645,1.292
3602037,3603543,33.0
3602037,5300584,293.499
3602037,3604512,1.042
3602037,7200645,1.292
3602043,3603543,33.0
3602043,5300584,293.499
3602043,7200645,2.334
3602044,3603543,33.0
3602044,5300584,293.499
3602044,7200645,2.334
3602045,3603543,33.0
3602045,5300584,293.499
3602045,7200645,2.334
3602046,3603543,33.0
3602046,5300584,293.499
3602046,7200645,2.334
3602047,3603543,33.0
3602047,5300584,293.499
3602047,7200645,2.334
3602048,3603543,33.0
3602048,5300584,293.499
3602048,7200645,2.334
3602049,5300584,321.833
3602049,7200645,6.0
3603533,3603543,33.0
3603533,5300584,293.499
3603534,3603543,33.0
3603534,5300584,293.499
3603537,5300584,321.833
3603537,7200645,3.666
3603538,3603543,29.334
3603538,5300584,284.833
3603542,3603543,33.0
3603542,5300584,293.499
3603542,3604512,1.042
3603542,7200645,1.292
3603543,3603543,66.0
3603543,5300584,578.332
3603543,7200645,2.334
3603544,5300584,321.833
3603544,7200645,4.708
3603545,5300584,321.833
3603545,7200645,4.708
3603548,5300584,643.666
3603548,7200645,7.332
3603549,5300584,321.833
3603549,7200645,4.708
3603555,3603543,33.0
3603555,5300584,293.499
3603555,7200645,2.334
3603565,3603543,33.0
3603565,5300584,293.499
3603565,3604512,1.042
3603569,3603543,33.0
3603569,5300584,293.499
3603570,3603543,33.0
3603570,5300584,293.499
3603570,3604512,1.042
3603571,5300584,321.833
3603571,7200645,3.666
3603573,3603543,33.0
3603573,5300584,293.499
3603573,7200645,2.334
3603574,3603543,33.0
3603574,5300584,293.499
3603574,7200645,2.334
3603575,3603543,66.0
3603575,5300584,586.998
3603575,3604512,2.084
3603575,7200645,2.584
3603578,5300584,321.833
3603578,7200645,6.0
3603579,5300584,321.833
3603579,7200645,6.0
3603580,5300584,321.833
3603580,7200645,6.0
3603581,5300584,321.833
3603581,7200645,6.0
3603582,5300584,321.833
3603582,7200645,6.0
3603583,3603543,33.0
3603583,5300584,293.499
3603583,7200645,2.334
3603584,3603543,33.0
3603584,5300584,293.499
3603584,3604512,1.042
3603584,7200645,1.292
3603585,3603543,33.0
3603585,5300584,293.499
3603585,3604512,1.042
3603585,7200645,1.292
3603586,3603543,33.0
3603586,5300584,293.499
3603586,3604512,1.042
3603586,7200645,1.292
3603587,3603543,33.0
3603587,5300584,293.499
3603587,3604512,1.042
3603587,7200645,1.292
3603588,3603543,33.0
3603588,5300584,293.499
3603588,3604512,1.042
3603588,7200645,1.292
3603589,3603543,33.0
3603589,5300584,293.499
3603589,3604512,1.042
3603589,7200645,1.292
3603591,3603543,33.0
3603591,5300584,293.499
3603591,7200645,2.334
3603592,3603543,33.0
3603592,5300584,293.499
3603592,7200645,2.334
3603593,3603543,33.0
3603593,5300584,293.499
3603593,7200645,2.334
3603594,3603543,33.0
3603594,5300584,293.499
3603594,3604512,1.042
3603594,7200645,1.292
3603595,3603543,33.0
3603595,5300584,293.499
3603595,3604512,1.042
3603595,7200645,1.292
3603596,3603543,33.0
3603596,5300584,293.499
3603596,3604512,1.042
3603596,7200645,1.292
3603599,3603543,33.0
3603599,5300584,293.499
3603599,3604512,1.042
3603599,7200645,1.292
3603604,5300584,321.833
3603604,7200645,6.0
3603605,3603543,33.0
3603605,5300584,293.499
3603605,7200645,2.334
3603606,3603543,33.0
3603606,5300584,293.499
3603606,3604512,1.042
3603606,7200645,1.292
3603610,3603543,33.0
3603610,5300584,293.499
3603610,7200645,2.334
3603611,3603543,33.0
3603611,5300584,293.499
3603611,7200645,2.334
3603612,3603543,33.0
3603612,5300584,293.499
3603612,7200645,2.334
3603613,3603543,33.0
3603613,5300584,293.499
3603613,7200645,2.334
3603614,3603543,33.0
3603614,5300584,293.499
3603614,7200645,2.334
3603615,3603543,33.0
3603615,5300584,293.499
3603615,7200645,2.334
3603616,3603543,33.0
3603616,5300584,293.499
3603616,7200645,2.334
3603617,3603543,33.0
3603617,5300584,293.499
3603617,7200645,2.334
3603624,3603543,66.0
3603624,5300584,586.998
3603624,3604512,2.084
3603624,7200645,2.584
3603625,3603543,33.0
3603625,5300584,293.499
3603625,7200645,2.334
3603628,5300584,321.833
3603628,7200645,6.0
3603635,3603543,33.0
3603635,5300584,293.499
3603635,7200645,2.334
3603636,3603543,33.0
3603636,5300584,293.499
3603636,7200645,2.334
3603638,3603543,33.0
3603638,5300584,293.499
3603638,7200645,2.334
3603651,3603543,33.0
3603651,5300584,293.499
3603651,7200645,2.334
3603652,3603543,33.0
3603652,5300584,293.499
3603652,7200645,2.334
3603655,3603543,33.0
3603655,5300584,293.499
3603655,7200645,2.334
