analysisWdid,locationWdid,sum_wtd_count
3600645,5300584,202.251
3600645,7200645,33.374
3600645,7200646,4.25
3600649,5300584,404.502
3600649,7200645,66.748
3600649,7200646,8.5
3600660,5300584,176.334
3600660,7200646,4.25
3600671,5300584,414.502
3600671,7200645,67.748
3600671,7200646,8.5
3600687,5300584,202.251
3600687,7200645,33.374
3600687,7200646,4.25
3600709,7200645,68.66499999999999
3600709,5300584,590.836
3600709,7200646,12.75
3600734,5300584,202.251
3600734,7200645,33.374
3600734,7200646,4.25
3600775,7200645,35.291
3600775,5300584,212.251
3600775,7200646,7.073
3600776,7200645,35.291
3600776,5300584,212.251
3600776,7200646,7.073
3600780,5300584,212.251
3600780,7200645,34.374
3600780,7200646,4.25
3600796,5300584,202.251
3600796,7200645,33.374
3600796,7200646,4.25
3600803,5300584,202.251
3600803,7200645,33.374
3600803,7200646,4.25
3600830,5300584,202.251
3600830,7200645,32.708
3600830,7200646,4.25
3600912,5300584,176.334
3600912,7200646,4.25
3600985,7200645,35.291
3600985,5300584,212.251
3600985,7200646,4.25
3601044,7200645,35.291
3601044,5300584,212.251
3601044,7200646,4.25
3601051,5300584,176.334
3601051,7200646,4.25
3601052,5300584,176.334
3601052,7200646,4.25
3601058,5300584,202.251
3601058,7200645,33.374
3601058,7200646,4.25
3601085,7200645,35.291
3601085,5300584,212.251
3601085,7200646,4.25
3601100,7200645,35.291
3601100,5300584,212.251
3601100,7200646,4.25
3602030,7200645,35.291
3602030,5300584,212.251
3602030,7200646,4.25
3602033,7200645,35.291
3602033,5300584,212.251
3602033,7200646,4.25
3602037,7200645,35.291
3602037,5300584,212.251
3602037,7200646,4.25
3602043,7200645,35.291
3602043,5300584,212.251
3602043,7200646,4.25
3602044,7200645,35.291
3602044,5300584,212.251
3602044,7200646,4.25
3602045,7200645,35.291
3602045,5300584,212.251
3602045,7200646,4.25
3602046,7200645,35.291
3602046,5300584,212.251
3602046,7200646,4.25
3602047,7200645,35.291
3602047,5300584,212.251
3602047,7200646,4.25
3602048,7200645,35.291
3602048,5300584,212.251
3602048,7200646,4.25
3602049,7200645,35.291
3602049,5300584,212.251
3602049,7200646,4.25
3603533,5300584,202.251
3603533,7200645,33.374
3603533,7200646,4.25
3603534,5300584,202.251
3603534,7200645,33.374
3603534,7200646,4.25
3603537,5300584,202.251
3603537,7200645,33.374
3603537,7200646,4.25
3603538,5300584,176.334
3603538,7200646,4.25
3603542,7200645,35.291
3603542,5300584,212.251
3603542,7200646,4.25
3603543,7200645,42.291
