analysisWdid,locationWdid,sum_wtd_count
3600645,5300584,273.251
3600649,5300584,546.502
3600660,5300584,135.875
3600671,5300584,564.107
3600687,5300584,273.251
3600709,5300584,702.857
3600734,5300584,273.251
3600775,5300584,293.731
3600776,5300584,293.731
3600780,5300584,290.856
3600796,5300584,273.251
3600803,5300584,273.251
3600830,5300584,261.48
3600912,5300584,135.875
3600985,5300584,293.731
3601044,5300584,293.731
3601051,5300584,135.875
3601052,5300584,135.875
3601058,5300584,273.251
3601085,5300584,293.731
3601100,5300584,293.731
3602030,5300584,293.731
3602033,5300584,293.731
3602037,5300584,293.731
3602043,5300584,293.731
3602044,5300584,293.731
3602045,5300584,293.731
3602046,5300584,293.731
3602047,5300584,293.731
3602048,5300584,293.731
3602049,5300584,293.731
3603533,5300584,273.251
3603534,5300584,273.251
3603537,5300584,273.251
3603538,5300584,135.875
3603542,5300584,293.731
3603543,5300584,429.606
3603544,5300584,290.856
3603545,5300584,290.856
3603548,5300584,546.502
3603549,5300584,290.856
3603555,5300584,293.731
3603565,5300584,273.251
3603569,5300584,273.251
3603570,5300584,290.856
3603571,5300584,273.251
3603573,5300584,293.731
3603574,5300584,293.731
3603575,5300584,587.462
3603578,5300584,293.731
3603579,5300584,293.731
3603580,5300584,293.731
3603581,5300584,293.731
3603582,5300584,293.731
3603583,5300584,293.731
3603584,5300584,293.731
3603585,5300584,293.731
3603586,5300584,293.731
3603587,5300584,293.731
3603588,5300584,293.731
3603589,5300584,293.731
3603591,5300584,293.731
3603592,5300584,293.731
3603593,5300584,293.731
3603594,5300584,293.731
3603595,5300584,293.731
3603596,5300584,293.731
3603599,5300584,293.731
3603604,5300584,293.731
3603605,5300584,293.731
3603606,5300584,293.731
3603610,5300584,293.731
3603611,5300584,293.731
3603612,5300584,293.731
3603613,5300584,293.731
3603614,5300584,293.731
3603615,5300584,293.731
3603616,5300584,293.731
3603617,5300584,293.731
3603624,5300584,587.462
3603625,5300584,293.731
3603628,5300584,293.731
3603635,5300584,293.731
3603636,5300584,293.731
3603638,5300584,293.731
3603651,5300584,293.731
3603652,5300584,293.731
3603655,5300584,293.731
3603656,5300584,293.731
3603657,5300584,293.731
3603661,5300584,293.731
3603662,5300584,293.731
3603664,5300584,293.731
3603665,5300584,293.731
3603666,5300584,293.731
3603667,5300584,293.731
3603668,5300584,293.731
3603669,5300584,293.731
3603670,5300584,293.731
3603672,5300584,293.731
3603673,5300584,293.731
3603674,5300584,293.731
3603675,5300584,293.731
3603678,5300584,293.731
3603679,5300584,293.731
3603680,5300584,293.731
3603683,5300584,293.731
3603684,5300584,293.731
3603685,5300584,293.731
3603686,5300584,293.731
3603690,5300584,293.731
3603691,5300584,1.0
3603692,5300584,273.251
3603694,5300584,293.731
3603698,5300584,293.731
3603699,5300584,293.731
3603700,5300584,293.731
3603701,5300584,293.731
3604512,5300584,293.731
3604683,5300584,290.856
3604684,5300584,273.251
3604685,5300584,135.875
3604687,5300584,290.856
3604688,5300584,290.856
3604690,5300584,290.856
3604692,5300584,426.731
3604696,5300584,290.856
3604699,5300584,290.856
3604923,5300584,942.356
3607293,5300584,293.731
3700560,5300584,135.875
3700613,5300584,290.856
3700642,5300584,135.875
3700658,5300584,135.875
3700682,5300584,135.875
3700683,5300584,290.856
3700684,5300584,290.856
