analysisWdid,locationWdid,sum_wtd_count
3600645,7200646,35.709
3600645,7200645,20.417
3600645,5300584,140.415
3600649,7200646,65.168
3600649,3603543,226.0
3600649,7200645,38.834
3600649,5300584,254.248
3600660,7200646,27.459
3600660,5300584,110.208
3600662,7200646,27.459
3600662,5300584,110.208
3600671,7200646,65.168
3600671,3603543,226.0
3600671,5300584,268.123
3600671,7200645,38.834
3600687,7200646,32.584
3600687,3603543,113.0
3600687,7200645,19.417
3600687,5300584,127.124
3600709,7200646,98.877
3600709,5300584,404.913
3600709,7200645,40.834
3600734,7200646,32.584
3600734,3603543,113.0
3600734,7200645,19.417
3600734,5300584,127.124
3600775,7200646,35.709
3600775,5300584,156.999
3600775,7200645,20.417
3600776,7200646,35.709
3600776,5300584,156.999
3600776,7200645,20.417
3600780,7200646,32.584
3600780,3603543,113.0
3600780,5300584,140.999
3600780,7200645,19.417
3600796,7200646,32.584
3600796,3603543,113.0
3600796,7200645,19.417
3600796,5300584,127.124
3600803,7200646,35.709
3600803,7200645,20.417
3600803,5300584,140.415
3600830,7200646,32.584
3600830,3603543,113.0
3600830,7200645,19.417
3600830,5300584,127.124
3600912,7200646,27.459
3600912,5300584,110.208
3600985,7200646,35.709
3600985,5300584,154.29
3600985,7200645,20.417
3601018,7200646,27.459
3601018,5300584,110.208
3601044,7200646,32.584
3601044,3603543,113.0
3601044,5300584,140.999
3601044,7200645,19.417
3601051,7200646,27.459
3601051,5300584,110.208
3601052,7200646,27.459
3601052,5300584,110.208
3601058,7200646,32.584
3601058,3603543,113.0
3601058,7200645,19.417
3601058,5300584,127.124
3601085,7200646,32.584
3601085,3603543,113.0
3601085,5300584,140.999
3601085,7200645,19.417
3601100,7200646,32.584
3601100,3603543,113.0
3601100,5300584,140.999
3601100,7200645,19.417
3602030,7200646,32.584
3602030,3603543,113.0
3602030,5300584,140.999
3602030,7200645,19.417
3602033,7200646,32.584
3602033,3603543,113.0
3602033,5300584,140.999
3602033,7200645,19.417
3602037,7200646,32.584
3602037,3603543,113.0
3602037,5300584,140.999
3602037,7200645,19.417
3602043,7200646,32.584
3602043,3603543,113.0
3602043,5300584,140.999
3602043,7200645,19.417
3602044,7200646,32.584
3602044,3603543,113.0
3602044,5300584,140.999
3602044,7200645,19.417
3602045,7200646,32.584
3602045,3603543,113.0
3602045,5300584,140.999
3602045,7200645,19.417
3602046,7200646,32.584
3602046,3603543,113.0
3602046,5300584,140.999
3602046,7200645,19.417
3602047,7200646,32.584
3602047,3603543,113.0
3602047,5300584,140.999
3602047,7200645,19.417
3602048,7200646,32.584
3602048,3603543,113.0
3602048,5300584,140.999
3602048,7200645,19.417
3602049,7200646,35.709
3602049,5300584,154.29
3602049,7200645,20.417
3603533,7200646,32.584
3603533,3603543,113.0
3603533,7200645,19.417
3603533,5300584,127.124
3603534,7200646,32.584
3603534,3603543,113.0
3603534,7200645,19.417
3603534,5300584,127.124
3603537,7200646,35.709
3603537,7200645,20.417
3603537,5300584,140.415
3603538,7200646,27.459
3603538,5300584,110.208
3603539,7200646,32.584
3603539,3603543,113.0
3603539,5300584,140.999
3603539,7200645,19.417
3603542,7200646,32.584
3603542,3603543,113.0
3603542,5300584,140.999
3603542,7200645,19.417
3603543,7200646,65.168
3603543,3603543,113.0
3603543,5300584,251.207
3603543,7200645,26.126
3603544,7200646,35.709
3603544,5300584,154.29
3603544,7200645,20.417
3603545,7200646,35.709
3603545,5300584,154.29
3603545,7200645,20.417
3603548,7200646,71.418
3603548,7200645,40.834
3603548,5300584,280.83
3603549,7200646,35.709
3603549,5300584,154.29
3603549,7200645,20.417
3603555,7200646,32.584
3603555,3603543,113.0
3603555,5300584,140.999
3603555,7200645,19.417
3603565,7200646,32.584
3603565,3603543,113.0
3603565,7200645,19.417
3603565,5300584,127.124
3603569,7200646,32.584
3603569,3603543,113.0
3603569,7200645,19.417
3603569,5300584,127.124
3603570,7200646,32.584
3603570,3603543,113.0
3603570,5300584,140.999
3603570,7200645,19.417
3603571,7200646,35.709
3603571,7200645,20.417
3603571,5300584,140.415
3603573,7200646,32.584
3603573,3603543,113.0
3603573,5300584,140.999
3603573,7200645,19.417
3603574,7200646,32.584
3603574,3603543,113.0
3603574,5300584,140.999
3603574,7200645,19.417
3603575,7200646,97.752
3603575,3603543,339.0
3603575,5300584,422.997
3603575,7200645,58.251
3603578,7200646,35.709
3603578,5300584,154.29
3603578,7200645,20.417
3603579,7200646,35.709
3603579,5300584,154.29
3603579,7200645,20.417
3603580,7200646,35.709
3603580,5300584,154.29
3603580,7200645,20.417
3603581,7200646,35.709
3603581,5300584,154.29
3603581,7200645,20.417
3603582,7200646,35.709
3603582,5300584,154.29
3603582,7200645,20.417
3603583,7200646,65.168
3603583,3603543,226.0
3603583,5300584,281.998
3603583,7200645,38.834
3603584,7200646,32.584
3603584,3603543,113.0
3603584,5300584,140.999
3603584,7200645,19.417
