analysisWdid,analysisStructure,priorityWdid,priorityStructure,sum_wtd_count
3703524,SYLVAN LAKE,5300584,SHOSHONE POWER PLANT,481.998
3604923,CLIMAX INTEGRATED WATER SYSTEM,5300584,SHOSHONE POWER PLANT,321.665
5104700,WINDY GAP PUMP PL CANAL,5300584,SHOSHONE POWER PLANT,288.0
5003647,CONFLUENCE RESERVOIR,5300584,SHOSHONE POWER PLANT,288.0
5303955,BEAVER DAM RESERVOIR,5300584,SHOSHONE POWER PLANT,288.0
5000734,DEBERARD DITCH OVERFLOW SYSTEM,5300584,SHOSHONE POWER PLANT,256.333
5303966,GRIMES BROOKS RESERVOIR,5300584,SHOSHONE POWER PLANT,256.333
3600709,LOBACK DITCH,5300584,SHOSHONE POWER PLANT,224.666
5000617,MCMAHON DITCH,5300584,SHOSHONE POWER PLANT,192.0
5003616,HEINI RESERVOIR,5300584,SHOSHONE POWER PLANT,192.0
3703545,CAMP HALE POND NO 1,5300584,SHOSHONE POWER PLANT,192.0
5103720,VAGABOND RANCH POND,5300584,SHOSHONE POWER PLANT,192.0
5003645,BINCO RESERVOIR,5300584,SHOSHONE POWER PLANT,192.0
5003646,MARTIN RESERVOIR,5300584,SHOSHONE POWER PLANT,192.0
5303976,JONES NO 3 RESERVOIR,5300584,SHOSHONE POWER PLANT,192.0
3603575,CLINTON GULCH RESERVOIR,5300584,SHOSHONE POWER PLANT,192.0
5304041,HEWES RESERVOIR NO 4,5300584,SHOSHONE POWER PLANT,192.0
3703684,BRETT RANCH POND,5300584,SHOSHONE POWER PLANT,192.0
5003649,HEINI-KRAMER RESERVOIR,5300584,SHOSHONE POWER PLANT,192.0
5104008,GLENN POND NO 2,5300584,SHOSHONE POWER PLANT,192.0
5100763,KINNEY BARRIGER DITCH,5300584,SHOSHONE POWER PLANT,192.0
3603624,SWAN RIVER WATER SYSTEM PONDS,5300584,SHOSHONE POWER PLANT,192.0
5103752,KINGS RESERVOIR,5300584,SHOSHONE POWER PLANT,192.0
5003651,BASIN RESERVOIR,5300584,SHOSHONE POWER PLANT,192.0
5104007,GLENN POND NO 1,5300584,SHOSHONE POWER PLANT,192.0
5003648,LEWIS RESERVOIR,5300584,SHOSHONE POWER PLANT,192.0
3702056,MIN FLOW GORE CR LOWER,5300584,SHOSHONE POWER PLANT,192.0
5004600,SARVIS DITCH,5300584,SHOSHONE POWER PLANT,192.0
3703608,BLACK LAKE,5300584,SHOSHONE POWER PLANT,192.0
5003655,MILK CREEK RESERVOIR,5300584,SHOSHONE POWER PLANT,192.0
3604692,CON-HOOSIER - EAST HOOSIER DITCH CLAIM 1,5300584,SHOSHONE POWER PLANT,160.333
5203940,JONES RESERVOIR,5300584,SHOSHONE POWER PLANT,160.333
5003618,HINMAN RESERVOIR,5300584,SHOSHONE POWER PLANT,160.333
5203946,OXFORD RESERVOIR,5300584,SHOSHONE POWER PLANT,160.333
5000768,MARTIN LILY POND FEEDER DITCH,5300584,SHOSHONE POWER PLANT,160.333
5003624,MARTIN LILY POND RESERVOIR,5300584,SHOSHONE POWER PLANT,160.333
5003606,ANTELOPE RESERVOIR,5300584,SHOSHONE POWER PLANT,160.333
5103709,WILLIAMS FORK RESERVOIR,5300584,SHOSHONE POWER PLANT,160.333
3703517,G G RESERVOIR,5300584,SHOSHONE POWER PLANT,160.333
3600671,INDEPENDENT BLUE DITCH,5300584,SHOSHONE POWER PLANT,160.333
3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT,160.333
3703516,G G LOWER RESERVOIR,5300584,SHOSHONE POWER PLANT,160.333
3700848,WARREN DITCH,5300584,SHOSHONE POWER PLANT,160.333
3600649,HAMILTON DAVIDSON DITCH,5300584,SHOSHONE POWER PLANT,128.666
3603548,HOAGLAND NO 1 RESERVOIR,5300584,SHOSHONE POWER PLANT,128.666
3703596,COTTON POND,5300584,SHOSHONE POWER PLANT,97.0
5003668,WOLFORD MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT,97.0
5104060,ASPEN CANYON RANCH POND 1,5300584,SHOSHONE POWER PLANT,97.0
5102069,MIN FLOW COLORADO RIVER RANGER CK-GRANBY RESERVOIR,5300584,SHOSHONE POWER PLANT,96.0
5103740,VILLAGE LAKE NO 2 AT WINTER PARK RANCH,5300584,SHOSHONE POWER PLANT,96.0
5102068,MIN FLOW NORTH FORK COLORADO RIVER,5300584,SHOSHONE POWER PLANT,96.0
5103742,WINDY GAP RESERVOIR,5300584,SHOSHONE POWER PLANT,96.0
5103745,POLE CREEK MEADOWS RESERVOIR NO 1,5300584,SHOSHONE POWER PLANT,96.0
5102070,MIN FLOW ARAPAHO CREEK,5300584,SHOSHONE POWER PLANT,96.0
5103739,VILLAGE LAKE AT WINTER PARK RANCH,5300584,SHOSHONE POWER PLANT,96.0
5103659,F W LINKE RESERVOIR,5300584,SHOSHONE POWER PLANT,96.0
5102048,MIN LEVEL STONE LAKE,5300584,SHOSHONE POWER PLANT,96.0
5102089,MIN FLOW COLORADO RIVER GRANBY OUTLET-FRASER,5300584,SHOSHONE POWER PLANT,96.0
5102046,MIN LEVEL PARIKA LAKE,5300584,SHOSHONE POWER PLANT,96.0
5102045,MIN LEVEL GOURD LAKE,5300584,SHOSHONE POWER PLANT,96.0
5102044,MIN LEVEL CRATER LAKE,5300584,SHOSHONE POWER PLANT,96.0
5102043,MIN LEVEL COLUMBINE LAKE,5300584,SHOSHONE POWER PLANT,96.0
5102042,MIN LEVEL CARIBOU LAKE,5300584,SHOSHONE POWER PLANT,96.0
5102041,MIN LEVEL BOWEN LAKE,5300584,SHOSHONE POWER PLANT,96.0
5102040,MIN LEVEL BLUE LAKE,5300584,SHOSHONE POWER PLANT,96.0
5102039,MIN FLOW WILLIAMS FORK RIVER,5300584,SHOSHONE POWER PLANT,96.0
5102038,MIN FLOW COLORADO RIVER WINDY GAP-WILLIAMS FORK,5300584,SHOSHONE POWER PLANT,96.0
5102047,MIN LEVEL PAWNEE LAKE,5300584,SHOSHONE POWER PLANT,96.0
5103730,MOUNTAIN VALLEY RESERVOIR NO 1,5300584,SHOSHONE POWER PLANT,96.0
5103737,TWINFLOWER LAKE,5300584,SHOSHONE POWER PLANT,96.0
5103694,SCHOLL RESERVOIR,5300584,SHOSHONE POWER PLANT,96.0
5103501,ZEPHYR POND NO 1,5300584,SHOSHONE POWER PLANT,96.0
5103660,F W LINKE NO 2 RESERVOIR,5300584,SHOSHONE POWER PLANT,96.0
5102115,MIN FLOW WILLOW CREEK CABIN CK - BLM,5300584,SHOSHONE POWER PLANT,96.0
5103661,F W LINKE NO 3 RESERVOIR,5300584,SHOSHONE POWER PLANT,96.0
5102114,MIN FLOW FRASER RIVER CROOKED CK - COLORADO RIVER,5300584,SHOSHONE POWER PLANT,96.0
5102037,MIN FLOW COLORADO RIVER WILLIAMS FK-TROUBLESOME,5300584,SHOSHONE POWER PLANT,96.0
5103665,HANKINSON RESERVOIR,5300584,SHOSHONE POWER PLANT,96.0
5103682,LITTLE BUCKAROO FISH PND,5300584,SHOSHONE POWER PLANT,96.0
5103688,MUSGRAVE RESERVOIR,5300584,SHOSHONE POWER PLANT,96.0
5103693,ROCK CREEK RESERVOIR,5300584,SHOSHONE POWER PLANT,96.0
5102113,MIN FLOW FRASER RIVER RANCH CK - CROOKED CK,5300584,SHOSHONE POWER PLANT,96.0
5103732,GAYLORD RESERVOIR,5300584,SHOSHONE POWER PLANT,96.0
5102112,MIN FLOW ST LOUIS CK - WEST ST LOUIS-KING CREEK,5300584,SHOSHONE POWER PLANT,96.0
5103713,CONRICK RESERVOIR,5300584,SHOSHONE POWER PLANT,96.0
5103716,EASTWIND NO 1 RESERVOIR,5300584,SHOSHONE POWER PLANT,96.0
5102111,MIN FLOW ST LOUIS CK - EAST ST LOUIS-WEST ST LOUIS,5300584,SHOSHONE POWER PLANT,96.0
5102109,MIN FLOW FRASER RIVER ST LOUIS CK - RANCH CK,5300584,SHOSHONE POWER PLANT,96.0
5102096,MIN FLOW FRASER RIVER VASQUEZ - ST LOUIS,5300584,SHOSHONE POWER PLANT,96.0
5103724,MORAINE LAKE NO 1,5300584,SHOSHONE POWER PLANT,96.0
5103725,MORAINE LAKE NO 2,5300584,SHOSHONE POWER PLANT,96.0
5103726,MORAINE LAKE NO 3,5300584,SHOSHONE POWER PLANT,96.0
5103652,CLAYTON RESERVOIR NO 1,5300584,SHOSHONE POWER PLANT,96.0
3703903,UPPER TRAVIS POND,5300584,SHOSHONE POWER PLANT,96.0
5100629,FARRIS SOUTH SIDE DITCH,5300584,SHOSHONE POWER PLANT,96.0
5102036,MIN FLOW COLORADO RIVER TROUBLESOME-BLUE,5300584,SHOSHONE POWER PLANT,96.0
5000576,HAYPARK CANAL HGT NO 1,5300584,SHOSHONE POWER PLANT,96.0
3704614,HOMESTAKE PROJ TUNNEL,5300584,SHOSHONE POWER PLANT,96.0
3704516,HOMESTAKE PROJ RESERVOIR,5300584,SHOSHONE POWER PLANT,96.0
3704093,JONES CASTLE CREEK POND NO. 2,5300584,SHOSHONE POWER PLANT,96.0
3703992,RED CANYON POND 15C,5300584,SHOSHONE POWER PLANT,96.0
3703991,RED CANYON POND 15 (B),5300584,SHOSHONE POWER PLANT,96.0
3703990,RED CANYON POND 15 (A),5300584,SHOSHONE POWER PLANT,96.0
3703987,BEAVER CR SNOWMAKING RES NO 1,5300584,SHOSHONE POWER PLANT,96.0
3703969,CORDILLERA RES NO. 1,5300584,SHOSHONE POWER PLANT,96.0
3703960,CORDILLERA GOLF COURSE POND NO. 6,5300584,SHOSHONE POWER PLANT,96.0
3703958,CORDILLERA GOLF COURSE POND NO. 4,5300584,SHOSHONE POWER PLANT,96.0
3703956,CORDILLERA GOLF COURSE POND NO. 2,5300584,SHOSHONE POWER PLANT,96.0
3703955,CORDILLERA GOLF COURSE POND NO. 1,5300584,SHOSHONE POWER PLANT,96.0
3703950,RED CANYON ESTATES POND # 11C,5300584,SHOSHONE POWER PLANT,96.0
3703949,RED CANYON ESTATES POND # 11B,5300584,SHOSHONE POWER PLANT,96.0
3703948,RED CANYON ESTATES POND # 11A,5300584,SHOSHONE POWER PLANT,96.0
3703936,BRANDON POND,5300584,SHOSHONE POWER PLANT,96.0
3703907,HARDESTY POND 4,5300584,SHOSHONE POWER PLANT,96.0
3703906,HARDESTY POND 3,5300584,SHOSHONE POWER PLANT,96.0
3703905,HARDESTY POND 2,5300584,SHOSHONE POWER PLANT,96.0
3703904,HARDESTY POND 1,5300584,SHOSHONE POWER PLANT,96.0
3703902,LOWER TRAVIS POND,5300584,SHOSHONE POWER PLANT,96.0
3703901,SUBSTATION POND,5300584,SHOSHONE POWER PLANT,96.0
3703900,OLIVER POND,5300584,SHOSHONE POWER PLANT,96.0
3703899,LUKE POND,5300584,SHOSHONE POWER PLANT,96.0
3703898,TRAIL POND,5300584,SHOSHONE POWER PLANT,96.0
3703889,FEZ RESERVOIR,5300584,SHOSHONE POWER PLANT,96.0
3703884,W THIRD GUL RESERVOIR,5300584,SHOSHONE POWER PLANT,96.0
3703883,VANHORN RESERVOIR,5300584,SHOSHONE POWER PLANT,96.0
3703882,USAWMILL GUL RESERVOIR,5300584,SHOSHONE POWER PLANT,96.0
