analysisWdid,analysisStructure,priorityWdid,priorityStructure,sum_wtd_count
5204012,STEINRPI22 RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5303982,LUARK RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5204008,SOUTHFORK RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5303983,MCCOY RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5303571,PERRY POND NO 3,5300584,SHOSHONE POWER PLANT,167.208
5303569,PERRY POND NO 1,5300584,SHOSHONE POWER PLANT,167.208
5300594,GRIMES BROOKS FDR2 D HG2,5300584,SHOSHONE POWER PLANT,167.208
5303570,PERRY POND NO 2,5300584,SHOSHONE POWER PLANT,167.208
5303511,GALLEGOS RANCH POND NO.2,5300584,SHOSHONE POWER PLANT,167.208
5303512,GALLEGOS RANCH POND NO.3,5300584,SHOSHONE POWER PLANT,167.208
5303513,GALLEGOS RANCH POND NO.4,5300584,SHOSHONE POWER PLANT,167.208
5303988,NEWTON GULCH RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5303509,JARNOT POND 2,5300584,SHOSHONE POWER PLANT,167.208
5303515,SHOP POND,5300584,SHOSHONE POWER PLANT,167.208
5303508,JARNOT POND 1,5300584,SHOSHONE POWER PLANT,167.208
5302027,MIN LAKE HANGING LAKE,5300584,SHOSHONE POWER PLANT,167.208
5302007,MIN FLOW DEEP CREEK,5300584,SHOSHONE POWER PLANT,167.208
5003654,CURRAN POND,5300584,SHOSHONE POWER PLANT,167.208
5302006,MIN FLOW SWEETWATER CR,5300584,SHOSHONE POWER PLANT,167.208
5300754,PIPELINE DITCH,5300584,SHOSHONE POWER PLANT,167.208
5303520,SKELTON DUCK POND,5300584,SHOSHONE POWER PLANT,167.208
5303536,HANGING LAKE,5300584,SHOSHONE POWER PLANT,167.208
5303543,LOST LAKE,5300584,SHOSHONE POWER PLANT,167.208
5300704,MIDDLE DERBY DITCH,5300584,SHOSHONE POWER PLANT,167.208
5303562,UP IS LAKE,5300584,SHOSHONE POWER PLANT,167.208
5303565,W DEAD HORSE RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5300662,KEEP DITCH,5300584,SHOSHONE POWER PLANT,167.208
5300621,HIGHWATER DITCH,5300584,SHOSHONE POWER PLANT,167.208
5300595,GRIMES BROOKS R INTAKE D,5300584,SHOSHONE POWER PLANT,167.208
5303514,OLSON POND,5300584,SHOSHONE POWER PLANT,167.208
3703950,RED CANYON ESTATES POND # 11C,5300584,SHOSHONE POWER PLANT,167.208
5303989,NOBLE RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
3703976,CALHOUN POND NO.1,5300584,SHOSHONE POWER PLANT,167.208
3703949,RED CANYON ESTATES POND # 11B,5300584,SHOSHONE POWER PLANT,167.208
3703954,GYPSUM RANCH SAND & GRAVEL PIT,5300584,SHOSHONE POWER PLANT,167.208
3703955,CORDILLERA GOLF COURSE POND NO. 1,5300584,SHOSHONE POWER PLANT,167.208
3703956,CORDILLERA GOLF COURSE POND NO. 2,5300584,SHOSHONE POWER PLANT,167.208
3703958,CORDILLERA GOLF COURSE POND NO. 4,5300584,SHOSHONE POWER PLANT,167.208
3703960,CORDILLERA GOLF COURSE POND NO. 6,5300584,SHOSHONE POWER PLANT,167.208
3703969,CORDILLERA RES NO. 1,5300584,SHOSHONE POWER PLANT,167.208
3703977,CALHOUN-BUDDY'S POND,5300584,SHOSHONE POWER PLANT,167.208
3704643,HOMESTAKE PROJ CONDUIT,5300584,SHOSHONE POWER PLANT,167.208
3703987,BEAVER CR SNOWMAKING RES NO 1,5300584,SHOSHONE POWER PLANT,167.208
3703990,RED CANYON POND 15 (A),5300584,SHOSHONE POWER PLANT,167.208
3703991,RED CANYON POND 15 (B),5300584,SHOSHONE POWER PLANT,167.208
3703992,RED CANYON POND 15C,5300584,SHOSHONE POWER PLANT,167.208
3704078,BRUSH CREEK ROAD AUG POND,5300584,SHOSHONE POWER PLANT,167.208
3704093,JONES CASTLE CREEK POND NO. 2,5300584,SHOSHONE POWER PLANT,167.208
3704516,HOMESTAKE PROJ RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
3703948,RED CANYON ESTATES POND # 11A,5300584,SHOSHONE POWER PLANT,167.208
3703944,BUCKHORN POND NO 1,5300584,SHOSHONE POWER PLANT,167.208
3703939,VANHEE POND NO 3,5300584,SHOSHONE POWER PLANT,167.208
3703938,VANHEE POND NO 2,5300584,SHOSHONE POWER PLANT,167.208
3703909,MILLER POND,5300584,SHOSHONE POWER PLANT,167.208
3703910,KP POND NO. 1,5300584,SHOSHONE POWER PLANT,167.208
3703911,KP POND NO. 2,5300584,SHOSHONE POWER PLANT,167.208
3703913,LISA POND,5300584,SHOSHONE POWER PLANT,167.208
3703914,BETTY POND,5300584,SHOSHONE POWER PLANT,167.208
3703924,KUNKEL RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
3703925,MCKENZIE UPPER POND,5300584,SHOSHONE POWER PLANT,167.208
3703926,MCKENZIE UPPER POND,5300584,SHOSHONE POWER PLANT,167.208
3703927,THOMPSON POND,5300584,SHOSHONE POWER PLANT,167.208
3703930,BRETT RANCH POND NO 2,5300584,SHOSHONE POWER PLANT,167.208
3703931,EWING POND,5300584,SHOSHONE POWER PLANT,167.208
3703934,COTTON RANCH POND NO 3,5300584,SHOSHONE POWER PLANT,167.208
3703935,COTTON RANCH POND NO 4,5300584,SHOSHONE POWER PLANT,167.208
3703936,BRANDON POND,5300584,SHOSHONE POWER PLANT,167.208
3703937,VANHEE POND NO 1,5300584,SHOSHONE POWER PLANT,167.208
3704614,HOMESTAKE PROJ TUNNEL,5300584,SHOSHONE POWER PLANT,167.208
5003650,SARACENO RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5003653,COLBURN RESERVOIR NO 2,5300584,SHOSHONE POWER PLANT,167.208
5304014,GEORGE A GATES RES NO 2,5300584,SHOSHONE POWER PLANT,167.208
5304024,TROUTVILLE POND NO 2,5300584,SHOSHONE POWER PLANT,167.208
5304023,TROUTVILLE POND NO 1,5300584,SHOSHONE POWER PLANT,167.208
5003652,COLBURN RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5304020,MACKINAW LAKE RES NO 2,5300584,SHOSHONE POWER PLANT,167.208
5304019,LYLE FISH POND NO 1,5300584,SHOSHONE POWER PLANT,167.208
5304017,JACK HILL RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5304015,HERRES POND,5300584,SHOSHONE POWER PLANT,167.208
5304013,GEORGE A GATES RES NO 1,5300584,SHOSHONE POWER PLANT,167.208
5304057,WILBURS POND,5300584,SHOSHONE POWER PLANT,167.208
5204006,REED RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5304002,TRAIL RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5303999,TONIER GULCH RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5303998,TEPE RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5303996,STOUT RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5303995,STERNER RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5303994,SAWMILL RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5304025,TROUTVILLE POND NO 3,5300584,SHOSHONE POWER PLANT,167.208
5304026,TROUTVILLE POND NO 4,5300584,SHOSHONE POWER PLANT,167.208
5304034,STEPHENS POND NO 1,5300584,SHOSHONE POWER PLANT,167.208
5304035,STEPHENS POND NO 2,5300584,SHOSHONE POWER PLANT,167.208
5304056,TOWER POND,5300584,SHOSHONE POWER PLANT,167.208
5304055,CLOVER POND,5300584,SHOSHONE POWER PLANT,167.208
5304054,CABIN POND NO 3,5300584,SHOSHONE POWER PLANT,167.208
5304053,CABIN POND NO 2,5300584,SHOSHONE POWER PLANT,167.208
5304052,CABIN POND NO 1,5300584,SHOSHONE POWER PLANT,167.208
5304050,RUSSELL POND NO 4,5300584,SHOSHONE POWER PLANT,167.208
5304049,RUSSELL POND NO 3,5300584,SHOSHONE POWER PLANT,167.208
5304048,RUSSELL POND NO 2,5300584,SHOSHONE POWER PLANT,167.208
5304047,RUSSELL POND NO 1,5300584,SHOSHONE POWER PLANT,167.208
5304046,RED DIRT POND NO 3,5300584,SHOSHONE POWER PLANT,167.208
5304045,RED DIRT POND NO 2,5300584,SHOSHONE POWER PLANT,167.208
5304044,RED DIRT POND NO 1,5300584,SHOSHONE POWER PLANT,167.208
5304043,UPPER MCLEAN RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5304042,LOWER MCLEAN RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5304036,STEPHENS POND NO 3,5300584,SHOSHONE POWER PLANT,167.208
5304004,WOHLER RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5203973,PINEY PEAK POND NO 3,5300584,SHOSHONE POWER PLANT,167.208
5204005,PINJNRPI20 RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5103500,BAUMBERGER POND,5300584,SHOSHONE POWER PLANT,167.208
5103552,GRAND ELK POND A,5300584,SHOSHONE POWER PLANT,167.208
5103538,QUARTER CIRCLE R DAM,5300584,SHOSHONE POWER PLANT,167.208
5103537,ASHBACH RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5100629,FARRIS SOUTH SIDE DITCH,5300584,SHOSHONE POWER PLANT,167.208
5103530,SKUNK CREEK RESERVOIR NO 3,5300584,SHOSHONE POWER PLANT,167.208
5103528,SUNSET RIDGE POND,5300584,SHOSHONE POWER PLANT,167.208
5103527,CORRAL CREEK WETLAND NO2,5300584,SHOSHONE POWER PLANT,167.208
5103526,CORRAL CREEK WETLAND NO1,5300584,SHOSHONE POWER PLANT,167.208
5103522,MURRAY/BREIDER POND,5300584,SHOSHONE POWER PLANT,167.208
5103521,CLOVERBLOOM RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5103518,POLE CREEK GOLF COURSE POND NO 3,5300584,SHOSHONE POWER PLANT,167.208
5103517,POLE CREEK GOLF COURSE POND NO 2,5300584,SHOSHONE POWER PLANT,167.208
5103516,POLE CREEK GOLF COURSE POND NO 1,5300584,SHOSHONE POWER PLANT,167.208
5103515,RANCH CREEK RANCH POND,5300584,SHOSHONE POWER PLANT,167.208
5103502,NEWBERRY POND,5300584,SHOSHONE POWER PLANT,167.208
5103652,CLAYTON RESERVOIR NO 1,5300584,SHOSHONE POWER PLANT,167.208
5103659,F W LINKE RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5103660,F W LINKE NO 2 RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5103713,CONRICK RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5103730,MOUNTAIN VALLEY RESERVOIR NO 1,5300584,SHOSHONE POWER PLANT,167.208
5103726,MORAINE LAKE NO 3,5300584,SHOSHONE POWER PLANT,167.208
5103725,MORAINE LAKE NO 2,5300584,SHOSHONE POWER PLANT,167.208
5103724,MORAINE LAKE NO 1,5300584,SHOSHONE POWER PLANT,167.208
5103716,EASTWIND NO 1 RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5003675,GOOGLY EYED POND,5300584,SHOSHONE POWER PLANT,167.208
5003677,CARTER POND,5300584,SHOSHONE POWER PLANT,167.208
5103661,F W LINKE NO 3 RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5103694,SCHOLL RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5103693,ROCK CREEK RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5103688,MUSGRAVE RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5100546,BUNTE HIGHLINE DITCH,5300584,SHOSHONE POWER PLANT,167.208
5103682,LITTLE BUCKAROO FISH PND,5300584,SHOSHONE POWER PLANT,167.208
5103665,HANKINSON RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5103501,ZEPHYR POND NO 1,5300584,SHOSHONE POWER PLANT,167.208
5102115,MIN FLOW WILLOW CREEK CABIN CK - BLM,5300584,SHOSHONE POWER PLANT,167.208
5204003,PEYTON RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5102114,MIN FLOW FRASER RIVER CROOKED CK - COLORADO RIVER,5300584,SHOSHONE POWER PLANT,167.208
5102039,MIN FLOW WILLIAMS FORK RIVER,5300584,SHOSHONE POWER PLANT,167.208
5102038,MIN FLOW COLORADO RIVER WINDY GAP-WILLIAMS FORK,5300584,SHOSHONE POWER PLANT,167.208
5102037,MIN FLOW COLORADO RIVER WILLIAMS FK-TROUBLESOME,5300584,SHOSHONE POWER PLANT,167.208
5102036,MIN FLOW COLORADO RIVER TROUBLESOME-BLUE,5300584,SHOSHONE POWER PLANT,167.208
5102035,MIN FLOW WILLIAMS FORK RIVER,5300584,SHOSHONE POWER PLANT,167.208
5102028,MIN FLOW WILLIAMS FORK RIVER,5300584,SHOSHONE POWER PLANT,167.208
5102027,MIN FLOW WILLIAMS FORK RIVER,5300584,SHOSHONE POWER PLANT,167.208
5102016,MIN FLOW WILLIAMS FORK RIVER,5300584,SHOSHONE POWER PLANT,167.208
5102014,MIN FLOW WILLIAMS FORK RIVER,5300584,SHOSHONE POWER PLANT,167.208
5102012,MIN FLOW WILLOW CREEK PASS CK - BLM,5300584,SHOSHONE POWER PLANT,167.208
5101245,WINTER PARK BASE DIVERSION POINT 1,5300584,SHOSHONE POWER PLANT,167.208
5101237,WILLIAMS FORK POWER CONDUIT,5300584,SHOSHONE POWER PLANT,167.208
5101149,THOMPSON PUMP NO 2,5300584,SHOSHONE POWER PLANT,167.208
5101148,THOMPSON PUMP NO 1,5300584,SHOSHONE POWER PLANT,167.208
5101070,HENDERSON MINE WATER SYSTEM,5300584,SHOSHONE POWER PLANT,167.208
5102040,MIN LEVEL BLUE LAKE,5300584,SHOSHONE POWER PLANT,167.208
5102041,MIN LEVEL BOWEN LAKE,5300584,SHOSHONE POWER PLANT,167.208
5102042,MIN LEVEL CARIBOU LAKE,5300584,SHOSHONE POWER PLANT,167.208
5102070,MIN FLOW ARAPAHO CREEK,5300584,SHOSHONE POWER PLANT,167.208
5102113,MIN FLOW FRASER RIVER RANCH CK - CROOKED CK,5300584,SHOSHONE POWER PLANT,167.208
5102112,MIN FLOW ST LOUIS CK - WEST ST LOUIS-KING CREEK,5300584,SHOSHONE POWER PLANT,167.208
5102111,MIN FLOW ST LOUIS CK - EAST ST LOUIS-WEST ST LOUIS,5300584,SHOSHONE POWER PLANT,167.208
5102109,MIN FLOW FRASER RIVER ST LOUIS CK - RANCH CK,5300584,SHOSHONE POWER PLANT,167.208
5102096,MIN FLOW FRASER RIVER VASQUEZ - ST LOUIS,5300584,SHOSHONE POWER PLANT,167.208
5102089,MIN FLOW COLORADO RIVER GRANBY OUTLET-FRASER,5300584,SHOSHONE POWER PLANT,167.208
5102069,MIN FLOW COLORADO RIVER RANGER CK-GRANBY RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208
5102043,MIN LEVEL COLUMBINE LAKE,5300584,SHOSHONE POWER PLANT,167.208
5102068,MIN FLOW NORTH FORK COLORADO RIVER,5300584,SHOSHONE POWER PLANT,167.208
5102048,MIN LEVEL STONE LAKE,5300584,SHOSHONE POWER PLANT,167.208
5102047,MIN LEVEL PAWNEE LAKE,5300584,SHOSHONE POWER PLANT,167.208
