analysisWdid,analysisStructure,priorityWdid,priorityStructure,sum_wtd_count
3703524,SYLVAN LAKE,5300584,SHOSHONE POWER PLANT,406.333
3604923,CLIMAX INTEGRATED WATER SYSTEM,5300584,SHOSHONE POWER PLANT,270.0
5303955,BEAVER DAM RESERVOIR,5300584,SHOSHONE POWER PLANT,246.999
5104700,WINDY GAP PUMP PL CANAL,5300584,SHOSHONE POWER PLANT,246.999
5003647,CONFLUENCE RESERVOIR,5300584,SHOSHONE POWER PLANT,246.999
5000734,DEBERARD DITCH OVERFLOW SYSTEM,5300584,SHOSHONE POWER PLANT,218.666
5303966,GRIMES BROOKS RESERVOIR,5300584,SHOSHONE POWER PLANT,218.666
3600709,LOBACK DITCH,5300584,SHOSHONE POWER PLANT,190.333
7203854,PALISADE CABIN RESERVOIR,7200645,GRAND VALLEY CANAL,180.0
5004600,SARVIS DITCH,5300584,SHOSHONE POWER PLANT,164.666
5303976,JONES NO 3 RESERVOIR,5300584,SHOSHONE POWER PLANT,164.666
5003616,HEINI RESERVOIR,5300584,SHOSHONE POWER PLANT,164.666
5003668,WOLFORD MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT,164.666
3703545,CAMP HALE POND NO 1,5300584,SHOSHONE POWER PLANT,164.666
5003655,MILK CREEK RESERVOIR,5300584,SHOSHONE POWER PLANT,164.666
5104060,ASPEN CANYON RANCH POND 1,5300584,SHOSHONE POWER PLANT,164.666
3703596,COTTON POND,5300584,SHOSHONE POWER PLANT,164.666
5000617,MCMAHON DITCH,5300584,SHOSHONE POWER PLANT,164.666
3703608,BLACK LAKE,5300584,SHOSHONE POWER PLANT,164.666
5103720,VAGABOND RANCH POND,5300584,SHOSHONE POWER PLANT,164.666
3702056,MIN FLOW GORE CR LOWER,5300584,SHOSHONE POWER PLANT,164.666
3603575,CLINTON GULCH RESERVOIR,5300584,SHOSHONE POWER PLANT,164.666
5003645,BINCO RESERVOIR,5300584,SHOSHONE POWER PLANT,164.666
5103752,KINGS RESERVOIR,5300584,SHOSHONE POWER PLANT,164.666
5304041,HEWES RESERVOIR NO 4,5300584,SHOSHONE POWER PLANT,164.666
5104007,GLENN POND NO 1,5300584,SHOSHONE POWER PLANT,164.666
5104008,GLENN POND NO 2,5300584,SHOSHONE POWER PLANT,164.666
5100763,KINNEY BARRIGER DITCH,5300584,SHOSHONE POWER PLANT,164.666
5003649,HEINI-KRAMER RESERVOIR,5300584,SHOSHONE POWER PLANT,164.666
5003648,LEWIS RESERVOIR,5300584,SHOSHONE POWER PLANT,164.666
3703684,BRETT RANCH POND,5300584,SHOSHONE POWER PLANT,164.666
5003651,BASIN RESERVOIR,5300584,SHOSHONE POWER PLANT,164.666
3603624,SWAN RIVER WATER SYSTEM PONDS,5300584,SHOSHONE POWER PLANT,164.666
5003646,MARTIN RESERVOIR,5300584,SHOSHONE POWER PLANT,164.666
3703517,G G RESERVOIR,5300584,SHOSHONE POWER PLANT,136.333
5103709,WILLIAMS FORK RESERVOIR,5300584,SHOSHONE POWER PLANT,136.333
5000768,MARTIN LILY POND FEEDER DITCH,5300584,SHOSHONE POWER PLANT,136.333
3600671,INDEPENDENT BLUE DITCH,5300584,SHOSHONE POWER PLANT,136.333
3604692,CON-HOOSIER - EAST HOOSIER DITCH CLAIM 1,5300584,SHOSHONE POWER PLANT,136.333
5003618,HINMAN RESERVOIR,5300584,SHOSHONE POWER PLANT,136.333
5203946,OXFORD RESERVOIR,5300584,SHOSHONE POWER PLANT,136.333
5003624,MARTIN LILY POND RESERVOIR,5300584,SHOSHONE POWER PLANT,136.333
3703516,G G LOWER RESERVOIR,5300584,SHOSHONE POWER PLANT,136.333
3700848,WARREN DITCH,5300584,SHOSHONE POWER PLANT,136.333
5203940,JONES RESERVOIR,5300584,SHOSHONE POWER PLANT,136.333
3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT,136.333
5003606,ANTELOPE RESERVOIR,5300584,SHOSHONE POWER PLANT,136.333
7203842,MONUMENT RESERVOIR NO 1,7200645,GRAND VALLEY CANAL,108.0
5003647,CONFLUENCE RESERVOIR,7200645,GRAND VALLEY CANAL,108.0
5303966,GRIMES BROOKS RESERVOIR,7200645,GRAND VALLEY CANAL,108.0
3603548,HOAGLAND NO 1 RESERVOIR,5300584,SHOSHONE POWER PLANT,108.0
3600649,HAMILTON DAVIDSON DITCH,5300584,SHOSHONE POWER PLANT,108.0
5303955,BEAVER DAM RESERVOIR,7200645,GRAND VALLEY CANAL,108.0
3803815,CORYELL POND NO 2A,7200645,GRAND VALLEY CANAL,108.0
3804019,FRANK POND 1,7200645,GRAND VALLEY CANAL,108.0
5104700,WINDY GAP PUMP PL CANAL,7200645,GRAND VALLEY CANAL,108.0
3703535,MIN LAKE BEAVER,5300584,SHOSHONE POWER PLANT,82.333
3702034,MIN FLOW EAGLE RIVER RESOLUTION TO HOMESTAKE,5300584,SHOSHONE POWER PLANT,82.333
3703759,PILGRIM RANCH POND NO 9,5300584,SHOSHONE POWER PLANT,82.333
3703533,MIN LAKE ANTOINES CAB 1,5300584,SHOSHONE POWER PLANT,82.333
5303978,KELLY RESERVOIR,5300584,SHOSHONE POWER PLANT,82.333
3702028,MIN FLOW EAGLE RIVER HOMESTAKE TO CROSS CR,5300584,SHOSHONE POWER PLANT,82.333
5303571,PERRY POND NO 3,5300584,SHOSHONE POWER PLANT,82.333
5104018,KOVACS POND NO 1,5300584,SHOSHONE POWER PLANT,82.333
5104026,ROBINSON SWAN DITCH NO 2 POND 1,5300584,SHOSHONE POWER PLANT,82.333
3702043,MIN FLOW BRUSH CREEK,5300584,SHOSHONE POWER PLANT,82.333
5303979,KING MOUNTAIN RES-UPPER,5300584,SHOSHONE POWER PLANT,82.333
3703783,LAEYENDECKER POND,5300584,SHOSHONE POWER PLANT,82.333
3702042,MIN FLOW EAGLE RIVER CROSS CR TO GORE CR,5300584,SHOSHONE POWER PLANT,82.333
3703534,MIN LAKE ANTOINES CAB 2,5300584,SHOSHONE POWER PLANT,82.333
5303982,LUARK RESERVOIR,5300584,SHOSHONE POWER PLANT,82.333
5104012,COTTONWOOD RESERVOIR,5300584,SHOSHONE POWER PLANT,82.333
5303988,NEWTON GULCH RESERVOIR,5300584,SHOSHONE POWER PLANT,82.333
5303570,PERRY POND NO 2,5300584,SHOSHONE POWER PLANT,82.333
