analysisWdid,analysisStructure,priorityWdid,priorityStructure,sum_wtd_count
3703524,SYLVAN LAKE,5300584,SHOSHONE POWER PLANT,544.512
3603575,CLINTON GULCH RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,458.749
5103596,RICHMOND POND,5300584,SHOSHONE POWER PLANT,408.384
3903922,CHERRY CREEK POND NO 1,3900661,SAINT NO 2 DITCH,364.0
3903923,CHERRY CREEK POND NO 2,3900661,SAINT NO 2 DITCH,364.0
3903954,THOMAS RESERVOIR,3900661,SAINT NO 2 DITCH,364.0
5102115,MIN FLOW WILLOW CREEK CABIN CK - BLM,5300584,SHOSHONE POWER PLANT,363.008
7203931,T E KITSON RESERVOIR,7200799,MORMON MESA DITCH,306.0
7203925,COTTONWOOD LAKES RES 4,7200799,MORMON MESA DITCH,306.0
7203926,COTTONWOOD LAKES RES 5,7200799,MORMON MESA DITCH,306.0
7203887,BIG BEAVER RESERVOIR,7200831,PIONEER OF PLATEAU DITCH,302.0
7203889,BULL BASIN NO 2 RES,7200831,PIONEER OF PLATEAU DITCH,302.0
7203893,BULL CREEK RES NO 4,7200831,PIONEER OF PLATEAU DITCH,302.0
7203894,BULL CREEK RES NO 5,7200831,PIONEER OF PLATEAU DITCH,302.0
3603694,ARAPAHOE BASIN SNOWMAKING RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,301.166
3603583,HEIT RANCH RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,301.166
3600671,INDEPENDENT BLUE DITCH,3603543,GREEN MOUNTAIN RESERVOIR,287.166
3603624,SWAN RIVER WATER SYSTEM PONDS,3603543,GREEN MOUNTAIN RESERVOIR,287.166
3600649,HAMILTON DAVIDSON DITCH,3603543,GREEN MOUNTAIN RESERVOIR,287.166
3604923,CLIMAX INTEGRATED WATER SYSTEM,3603543,GREEN MOUNTAIN RESERVOIR,287.166
7203909,BIG CREEK RESERVOIR NO 7,7200818,PALMER DITCH,280.0
7203841,BOB MCKELVIE RESERVOIR,7200540,BLACKMAN DUNLAP CLARK D,256.0
3703517,G G RESERVOIR,3700535,CASTLE NO 2 DITCH,215.916
3703516,G G LOWER RESERVOIR,3700535,CASTLE NO 2 DITCH,215.916
7203842,MONUMENT RESERVOIR NO 1,7200540,BLACKMAN DUNLAP CLARK D,192.0
3803776,TAGERT POND,3802049,MIN FLOW ROARING FORK 3,162.292
3607293,TOWN OF BRECKENRIDGE WHITEWATER PARK,3603543,GREEN MOUNTAIN RESERVOIR,157.583
3603699,TRIPLE CREEK POND NO 5,3603543,GREEN MOUNTAIN RESERVOIR,157.583
3603700,TRIPLE CREEK POND NO 6,3603543,GREEN MOUNTAIN RESERVOIR,157.583
3603698,TRIPLE CREEK POND NO 4,3603543,GREEN MOUNTAIN RESERVOIR,157.583
3602043,MIN FLOW BLUE RIVER 5 - DILLON TO STRAIGHT CK,3603543,GREEN MOUNTAIN RESERVOIR,157.583
3603701,TRIPLE CREEK POND NO 7,3603543,GREEN MOUNTAIN RESERVOIR,157.583
3602044,MIN FLOW BLUE RIVER 6 - STRAIGHT CK TO WILLOW CK,3603543,GREEN MOUNTAIN RESERVOIR,157.583
3603539,BEARDSLEY NO 1 POND,3603543,GREEN MOUNTAIN RESERVOIR,157.583
3603693,MELODY LODGE POND,3603543,GREEN MOUNTAIN RESERVOIR,157.583
3602045,MIN FLOW BLUE RIVER 7 - ROCK CK TO WILLOW CK,3603543,GREEN MOUNTAIN RESERVOIR,157.583
3603691,BENSON RANCH POND,3603543,GREEN MOUNTAIN RESERVOIR,157.583
3603690,BROOKS SNIDER POND,3603543,GREEN MOUNTAIN RESERVOIR,157.583
3602046,MIN FLOW BLUE RIVER 8 - ROCK CK TO BOULDER CK,3603543,GREEN MOUNTAIN RESERVOIR,157.583
3603645,DUNHAM POND NO 2,3603543,GREEN MOUNTAIN RESERVOIR,157.583
3602047,MIN FLOW BLUE RIVER 9 - BOULDER CK TO SLATE CK,3603543,GREEN MOUNTAIN RESERVOIR,157.583
3603688,TRENT PARK POND,3603543,GREEN MOUNTAIN RESERVOIR,157.583
