analysisWdid,analysisStructure,priorityWdid,priorityStructure,sum_wtd_count
3703524,SYLVAN LAKE,5300584,SHOSHONE POWER PLANT,1539.978
5103596,RICHMOND POND,5300584,SHOSHONE POWER PLANT,1330.398
5102115,MIN FLOW WILLOW CREEK CABIN CK - BLM,5300584,SHOSHONE POWER PLANT,1182.576
3604923,CLIMAX INTEGRATED WATER SYSTEM,5300584,SHOSHONE POWER PLANT,466.665
5103523,DAWSON GULCH SPRING POND,5300584,SHOSHONE POWER PLANT,449.967
5303955,BEAVER DAM RESERVOIR,5300584,SHOSHONE POWER PLANT,449.967
5003668,WOLFORD MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT,449.967
3703596,COTTON POND,5300584,SHOSHONE POWER PLANT,449.967
5003647,CONFLUENCE RESERVOIR,5300584,SHOSHONE POWER PLANT,449.967
5104700,WINDY GAP PUMP PL CANAL,5300584,SHOSHONE POWER PLANT,443.466
5109178,VILLAGE CORE POND DEPLETION REACH,5300584,SHOSHONE POWER PLANT,443.466
5303966,GRIMES BROOKS RESERVOIR,5300584,SHOSHONE POWER PLANT,423.978
5000734,DEBERARD DITCH OVERFLOW SYSTEM,5300584,SHOSHONE POWER PLANT,423.978
5100763,KINNEY BARRIGER DITCH,5300584,SHOSHONE POWER PLANT,423.978
5003616,HEINI RESERVOIR,5300584,SHOSHONE POWER PLANT,423.978
3600709,LOBACK DITCH,5300584,SHOSHONE POWER PLANT,397.989
3603575,CLINTON GULCH RESERVOIR,5300584,SHOSHONE POWER PLANT,357.966
3903923,CHERRY CREEK POND NO 2,3900661,SAINT NO 2 DITCH,356.0
3903922,CHERRY CREEK POND NO 1,3900661,SAINT NO 2 DITCH,356.0
3903954,THOMAS RESERVOIR,3900661,SAINT NO 2 DITCH,356.0
7003523,CHEVRON FRESH WATER POND,7000550,H V C AND S DITCH,307.208
5003649,HEINI-KRAMER RESERVOIR,5300584,SHOSHONE POWER PLANT,299.978
5003648,LEWIS RESERVOIR,5300584,SHOSHONE POWER PLANT,299.978
3703689,CORNWELL POND NO 1,5300584,SHOSHONE POWER PLANT,299.978
3703684,BRETT RANCH POND,5300584,SHOSHONE POWER PLANT,299.978
5303518,WASHBURN CABIN POND,5300584,SHOSHONE POWER PLANT,299.978
5304051,BUCK POND,5300584,SHOSHONE POWER PLANT,299.978
5303569,PERRY POND NO 1,5300584,SHOSHONE POWER PLANT,299.978
5003651,BASIN RESERVOIR,5300584,SHOSHONE POWER PLANT,299.978
5003646,MARTIN RESERVOIR,5300584,SHOSHONE POWER PLANT,299.978
5303571,PERRY POND NO 3,5300584,SHOSHONE POWER PLANT,299.978
3703659,WATERFORD RANCH PD P8-2,5300584,SHOSHONE POWER PLANT,299.978
5004600,SARVIS DITCH,5300584,SHOSHONE POWER PLANT,299.978
5003645,BINCO RESERVOIR,5300584,SHOSHONE POWER PLANT,299.978
5303588,GORE VIEW POND,5300584,SHOSHONE POWER PLANT,299.978
3702056,MIN FLOW GORE CR LOWER,5300584,SHOSHONE POWER PLANT,299.978
3703608,BLACK LAKE,5300584,SHOSHONE POWER PLANT,299.978
3703600,BENCHMARK LAKE,5300584,SHOSHONE POWER PLANT,299.978
5303570,PERRY POND NO 2,5300584,SHOSHONE POWER PLANT,299.978
5303976,JONES NO 3 RESERVOIR,5300584,SHOSHONE POWER PLANT,299.978
5304041,HEWES RESERVOIR NO 4,5300584,SHOSHONE POWER PLANT,299.978
5000617,MCMAHON DITCH,5300584,SHOSHONE POWER PLANT,299.978
