analysisWdid,analysisStructure,priorityWdid,priorityStructure,sum_wtd_count
3703524,SYLVAN LAKE,5300584,SHOSHONE POWER PLANT,1609.652
5103596,RICHMOND POND,5300584,SHOSHONE POWER PLANT,1215.369
5102115,MIN FLOW WILLOW CREEK CABIN CK - BLM,5300584,SHOSHONE POWER PLANT,1079.244
3603575,CLINTON GULCH RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,899.209
3603583,HEIT RANCH RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,587.209
3603694,ARAPAHOE BASIN SNOWMAKING RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,587.209
3600671,INDEPENDENT BLUE DITCH,3603543,GREEN MOUNTAIN RESERVOIR,550.418
3600649,HAMILTON DAVIDSON DITCH,3603543,GREEN MOUNTAIN RESERVOIR,550.418
3603624,SWAN RIVER WATER SYSTEM PONDS,3603543,GREEN MOUNTAIN RESERVOIR,550.418
3604923,CLIMAX INTEGRATED WATER SYSTEM,3603543,GREEN MOUNTAIN RESERVOIR,550.418
5109178,VILLAGE CORE POND DEPLETION REACH,5300584,SHOSHONE POWER PLANT,405.123
5003668,WOLFORD MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT,405.123
5103523,DAWSON GULCH SPRING POND,5300584,SHOSHONE POWER PLANT,405.123
3703596,COTTON POND,5300584,SHOSHONE POWER PLANT,404.039
5303955,BEAVER DAM RESERVOIR,5300584,SHOSHONE POWER PLANT,402.955
5303966,GRIMES BROOKS RESERVOIR,5300584,SHOSHONE POWER PLANT,402.955
5003647,CONFLUENCE RESERVOIR,5300584,SHOSHONE POWER PLANT,401.871
5104700,WINDY GAP PUMP PL CANAL,5300584,SHOSHONE POWER PLANT,401.871
5000734,DEBERARD DITCH OVERFLOW SYSTEM,5300584,SHOSHONE POWER PLANT,401.871
3600709,LOBACK DITCH,5300584,SHOSHONE POWER PLANT,401.871
3903923,CHERRY CREEK POND NO 2,3900661,SAINT NO 2 DITCH,365.0
3903922,CHERRY CREEK POND NO 1,3900661,SAINT NO 2 DITCH,365.0
3903954,THOMAS RESERVOIR,3900661,SAINT NO 2 DITCH,365.0
3603680,HOUSE POND 1,3603543,GREEN MOUNTAIN RESERVOIR,312.0
3603686,WINEGARD POND 4,3603543,GREEN MOUNTAIN RESERVOIR,312.0
3603700,TRIPLE CREEK POND NO 6,3603543,GREEN MOUNTAIN RESERVOIR,312.0
3603699,TRIPLE CREEK POND NO 5,3603543,GREEN MOUNTAIN RESERVOIR,312.0
3603698,TRIPLE CREEK POND NO 4,3603543,GREEN MOUNTAIN RESERVOIR,312.0
3603693,MELODY LODGE POND,3603543,GREEN MOUNTAIN RESERVOIR,312.0
3603691,BENSON RANCH POND,3603543,GREEN MOUNTAIN RESERVOIR,312.0
3603690,BROOKS SNIDER POND,3603543,GREEN MOUNTAIN RESERVOIR,312.0
3603688,TRENT PARK POND,3603543,GREEN MOUNTAIN RESERVOIR,312.0
3607293,TOWN OF BRECKENRIDGE WHITEWATER PARK,3603543,GREEN MOUNTAIN RESERVOIR,312.0
3603644,DUNHAM POND NO 1,3603543,GREEN MOUNTAIN RESERVOIR,312.0
3603683,WINEGARD POND 1,3603543,GREEN MOUNTAIN RESERVOIR,312.0
3603645,DUNHAM POND NO 2,3603543,GREEN MOUNTAIN RESERVOIR,312.0
3603651,FAUSEL POND NO 1,3603543,GREEN MOUNTAIN RESERVOIR,312.0
3603652,FAUSEL POND NO 2,3603543,GREEN MOUNTAIN RESERVOIR,312.0
3603655,BARBER POND,3603543,GREEN MOUNTAIN RESERVOIR,312.0
3603656,YOSUICHI RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,312.0
3603657,SANDERS POND NO 1,3603543,GREEN MOUNTAIN RESERVOIR,312.0
3603672,LAKE LACY,3603543,GREEN MOUNTAIN RESERVOIR,312.0
3603673,COUNIHAN POND,3603543,GREEN MOUNTAIN RESERVOIR,312.0
3603685,WINEGARD POND 3,3603543,GREEN MOUNTAIN RESERVOIR,312.0
3603679,PUMP POND,3603543,GREEN MOUNTAIN RESERVOIR,312.0
3603684,WINEGARD POND 2,3603543,GREEN MOUNTAIN RESERVOIR,312.0
3603678,SOUTH POND,3603543,GREEN MOUNTAIN RESERVOIR,312.0
3603701,TRIPLE CREEK POND NO 7,3603543,GREEN MOUNTAIN RESERVOIR,312.0
3603539,BEARDSLEY NO 1 POND,3603543,GREEN MOUNTAIN RESERVOIR,312.0
3603613,SWEETWATER POND NO 5,3603543,GREEN MOUNTAIN RESERVOIR,275.209
3602048,MIN FLOW BLUE RIVER 10 - SLATE CK TO GMR,3603543,GREEN MOUNTAIN RESERVOIR,275.209
3602043,MIN FLOW BLUE RIVER 5 - DILLON TO STRAIGHT CK,3603543,GREEN MOUNTAIN RESERVOIR,275.209
3602044,MIN FLOW BLUE RIVER 6 - STRAIGHT CK TO WILLOW CK,3603543,GREEN MOUNTAIN RESERVOIR,275.209
3602045,MIN FLOW BLUE RIVER 7 - ROCK CK TO WILLOW CK,3603543,GREEN MOUNTAIN RESERVOIR,275.209
3602046,MIN FLOW BLUE RIVER 8 - ROCK CK TO BOULDER CK,3603543,GREEN MOUNTAIN RESERVOIR,275.209
3603638,UPPER SLATE LAKE,3603543,GREEN MOUNTAIN RESERVOIR,275.209
3603636,EAGLES NEST RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,275.209
3603635,WYLER RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,275.209
3602047,MIN FLOW BLUE RIVER 9 - BOULDER CK TO SLATE CK,3603543,GREEN MOUNTAIN RESERVOIR,275.209
3603625,LAKE ALVIN,3603543,GREEN MOUNTAIN RESERVOIR,275.209
3602033,MIN FLOW SNAKE RIVER LOW - NORTH FORK TO DILLON,3603543,GREEN MOUNTAIN RESERVOIR,275.209
3603617,SWEETWATER POND NO 9,3603543,GREEN MOUNTAIN RESERVOIR,275.209
3603616,SWEETWATER POND NO 8,3603543,GREEN MOUNTAIN RESERVOIR,275.209
3603615,SWEETWATER POND NO 7,3603543,GREEN MOUNTAIN RESERVOIR,275.209
3603614,SWEETWATER POND NO 6,3603543,GREEN MOUNTAIN RESERVOIR,275.209
3600830,SUPPLY CANAL NO 1 CLINTON,3603543,GREEN MOUNTAIN RESERVOIR,275.209
3603612,SWEETWATER POND NO 4,3603543,GREEN MOUNTAIN RESERVOIR,275.209
3603611,SWEETWATER POND NO 3,3603543,GREEN MOUNTAIN RESERVOIR,275.209
3603610,SWEETWATER POND NO 2,3603543,GREEN MOUNTAIN RESERVOIR,275.209
3603606,OFFICERS GULCH POND,3603543,GREEN MOUNTAIN RESERVOIR,275.209
3602037,MIN FLOW BLUE RIVER 4 - SWAN RIVER TO DILLON,3603543,GREEN MOUNTAIN RESERVOIR,275.209
3602030,MIN FLOW BLUE RIVER 3 - SWAN RIVER UP TO POND,3603543,GREEN MOUNTAIN RESERVOIR,275.209
3603599,SAWMILL RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,275.209
3603670,EAGLES NEST GOLF COURSE NO16 EAST POND,3603543,GREEN MOUNTAIN RESERVOIR,275.209
3604683,CON-HOOSIER SYS BLUE RIVER DITCH,3603543,GREEN MOUNTAIN RESERVOIR,275.209
3604684,BLUE RIVER DIVERSION PROJECT,3603543,GREEN MOUNTAIN RESERVOIR,275.209
3604687,CON-HOOSIER SYS CRYSTAL DITCH,3603543,GREEN MOUNTAIN RESERVOIR,275.209
3604688,CON-HOOSIER SYS DITCH INTERCEPTED FLOWS,3603543,GREEN MOUNTAIN RESERVOIR,275.209
3604690,CON-HOOSIER SYS MCCULLOUGH DITCH,3603543,GREEN MOUNTAIN RESERVOIR,275.209
3601058,VIDLER TUNNEL UNIT HDGT D,3603543,GREEN MOUNTAIN RESERVOIR,275.209
3601085,COPPER MTN WEST LAKE PIPELINE 1,3603543,GREEN MOUNTAIN RESERVOIR,275.209
