,analysisDate,analysisWdid,analysisStructureName,analysisOutOfPriorityPercentOfDay,priorityWdid,priorityStructure
1800,1999-01-01T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100.0,5300584,SHOSHONE POWER PLANT
1801,1999-01-02T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100.0,5300584,SHOSHONE POWER PLANT
1802,1999-01-03T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100.0,5300584,SHOSHONE POWER PLANT
1803,1999-01-04T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,33.3,5300584,SHOSHONE POWER PLANT
1825,1999-04-12T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,66.7,5300584,SHOSHONE POWER PLANT
1827,1999-04-13T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100.0,5300584,SHOSHONE POWER PLANT
1828,1999-04-14T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100.0,5300584,SHOSHONE POWER PLANT
1829,1999-04-15T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100.0,5300584,SHOSHONE POWER PLANT
1830,1999-04-16T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100.0,5300584,SHOSHONE POWER PLANT
1831,1999-04-17T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100.0,5300584,SHOSHONE POWER PLANT
1832,1999-04-18T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100.0,5300584,SHOSHONE POWER PLANT
1833,1999-04-19T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100.0,5300584,SHOSHONE POWER PLANT
1834,1999-04-20T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100.0,5300584,SHOSHONE POWER PLANT
1835,1999-04-21T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,33.3,5300584,SHOSHONE POWER PLANT
1836,1999-01-01T00:00:00.0000000,3601051,FREMONT NO 1 DITCH - MIDDLE FORK,100.0,5300584,SHOSHONE POWER PLANT
1837,1999-01-02T00:00:00.0000000,3601051,FREMONT NO 1 DITCH - MIDDLE FORK,100.0,5300584,SHOSHONE POWER PLANT
1838,1999-01-03T00:00:00.0000000,3601051,FREMONT NO 1 DITCH - MIDDLE FORK,100.0,5300584,SHOSHONE POWER PLANT
1839,1999-01-04T00:00:00.0000000,3601051,FREMONT NO 1 DITCH - MIDDLE FORK,33.3,5300584,SHOSHONE POWER PLANT
1861,1999-04-12T00:00:00.0000000,3601051,FREMONT NO 1 DITCH - MIDDLE FORK,66.7,5300584,SHOSHONE POWER PLANT
1863,1999-04-13T00:00:00.0000000,3601051,FREMONT NO 1 DITCH - MIDDLE FORK,100.0,5300584,SHOSHONE POWER PLANT
1864,1999-04-14T00:00:00.0000000,3601051,FREMONT NO 1 DITCH - MIDDLE FORK,100.0,5300584,SHOSHONE POWER PLANT
1865,1999-04-15T00:00:00.0000000,3601051,FREMONT NO 1 DITCH - MIDDLE FORK,100.0,5300584,SHOSHONE POWER PLANT
1866,1999-04-16T00:00:00.0000000,3601051,FREMONT NO 1 DITCH - MIDDLE FORK,100.0,5300584,SHOSHONE POWER PLANT
1867,1999-04-17T00:00:00.0000000,3601051,FREMONT NO 1 DITCH - MIDDLE FORK,100.0,5300584,SHOSHONE POWER PLANT
1868,1999-04-18T00:00:00.0000000,3601051,FREMONT NO 1 DITCH - MIDDLE FORK,100.0,5300584,SHOSHONE POWER PLANT
1869,1999-04-19T00:00:00.0000000,3601051,FREMONT NO 1 DITCH - MIDDLE FORK,100.0,5300584,SHOSHONE POWER PLANT
1870,1999-04-20T00:00:00.0000000,3601051,FREMONT NO 1 DITCH - MIDDLE FORK,100.0,5300584,SHOSHONE POWER PLANT
1871,1999-04-21T00:00:00.0000000,3601051,FREMONT NO 1 DITCH - MIDDLE FORK,33.3,5300584,SHOSHONE POWER PLANT
1872,1999-01-01T00:00:00.0000000,3601052,FREMONT NO 1 DITCH - NORTH FORK,100.0,5300584,SHOSHONE POWER PLANT
1873,1999-01-02T00:00:00.0000000,3601052,FREMONT NO 1 DITCH - NORTH FORK,100.0,5300584,SHOSHONE POWER PLANT
1874,1999-01-03T00:00:00.0000000,3601052,FREMONT NO 1 DITCH - NORTH FORK,100.0,5300584,SHOSHONE POWER PLANT
1875,1999-01-04T00:00:00.0000000,3601052,FREMONT NO 1 DITCH - NORTH FORK,33.3,5300584,SHOSHONE POWER PLANT
1897,1999-04-12T00:00:00.0000000,3601052,FREMONT NO 1 DITCH - NORTH FORK,66.7,5300584,SHOSHONE POWER PLANT
1899,1999-04-13T00:00:00.0000000,3601052,FREMONT NO 1 DITCH - NORTH FORK,100.0,5300584,SHOSHONE POWER PLANT
1900,1999-04-14T00:00:00.0000000,3601052,FREMONT NO 1 DITCH - NORTH FORK,100.0,5300584,SHOSHONE POWER PLANT
