,analysisDate,analysisWdid,analysisStructureName,analysisOutOfPriorityPercentOfDay,priorityWdid,priorityStructure
1504,2011-05-28T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,66.7,4500514,BATTLEMENT DITCH
1505,2011-05-28T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,33.3,4500514,BATTLEMENT DITCH
1506,2011-05-29T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1507,2011-05-30T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,33.3,4500514,BATTLEMENT DITCH
1513,2011-07-11T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,66.7,4500514,BATTLEMENT DITCH
1514,2011-07-12T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1515,2011-07-13T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1516,2011-07-14T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,33.3,4500514,BATTLEMENT DITCH
1517,2011-07-14T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,66.7,4500514,BATTLEMENT DITCH
1518,2011-07-15T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1519,2011-07-16T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,66.7,4500514,BATTLEMENT DITCH
1520,2011-07-16T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,33.3,4500514,BATTLEMENT DITCH
1521,2011-07-17T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,66.7,4500706,MUSCONETCONG DITCH
1522,2011-07-17T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,33.3,4500514,BATTLEMENT DITCH
1523,2011-07-18T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500706,MUSCONETCONG DITCH
1524,2011-07-19T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,33.3,4500706,MUSCONETCONG DITCH
1525,2011-07-19T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,66.7,4500706,MUSCONETCONG DITCH
1526,2011-07-20T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500706,MUSCONETCONG DITCH
1527,2011-07-21T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500706,MUSCONETCONG DITCH
1528,2011-07-22T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500706,MUSCONETCONG DITCH
1529,2011-07-23T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500706,MUSCONETCONG DITCH
1530,2011-07-24T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500706,MUSCONETCONG DITCH
1531,2011-07-25T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,66.7,4500732,R F DITCH
1532,2011-07-25T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,33.3,4500706,MUSCONETCONG DITCH
1533,2011-07-26T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500732,R F DITCH
