wdid,structureName,structureType,waterSource,streamMile,division,waterDistrict,subdistrict,county,designatedBasinName,managementDistrictName,latdecdeg,longdecdeg
3600501,ABBETT AND BENNETT DITCH,DITCH,SPRUCE CREEK,4.04,5,36,,SUMMIT,,,39.91757,-106.420881
3600502,ABBETT AND LOSER DITCH,DITCH,SPRUCE CREEK,4.04,5,36,,SUMMIT,,,39.917368,-106.424153
3600503,A B TUBBS DITCH,DITCH,ACORN CREEK,0.79,5,36,,SUMMIT,,,39.767034,-106.136887
3600504,A B TUBBS NO 2 DITCH,DITCH,ACORN CREEK,1.13,5,36,,SUMMIT,,,39.77065,-106.132234
3600505,ADA DITCH,DITCH,FRENCH GULCH,3.98,5,36,,SUMMIT,,,39.484185,-105.980888
3600506,ADMIRAL PIPELINE,PIPELINE,TENMILE CREEK,,5,36,,SUMMIT,,,,
3600507,ALBER DITCH,DITCH,SLATE CREEK,0.55,5,36,,SUMMIT,,,39.782148,-106.170772
3600508,BENSON DITCH (BRUSH CREEK),DITCH,BRUSH CREEK,0.92,5,36,,SUMMIT,,,39.808995,-106.205304
3600509,ATKINS DITCH,DITCH,BLUE RIVER,53.66,5,36,,SUMMIT,,,39.51636,-106.042861
3600510,BAILLIFF NO 1 DITCH,DITCH,MEADOW CREEK,0.66,5,36,,SUMMIT,,,39.593141,-106.084056
3600511,BAILLIFF NO 2 DITCH,DITCH,TENMILE CREEK,2.34,5,36,,SUMMIT,,,39.589949,-106.07467
3600512,BAKER DITCH,DITCH,ILLINOIS CREEK,,5,36,,SUMMIT,,,,
3600513,BEARDSLEY DITCH,DITCH,OTTER CREEK,0.83,5,36,,SUMMIT,,,39.850366,-106.263583
3600514,BEAVER CREEK NO 1 DITCH,DITCH,MARTIN CREEK,0.1,5,36,,SUMMIT,,,39.873543,-106.345183
3600515,BEAVER CREEK NO 2 DITCH,DITCH,ELLIOTT CREEK,1.73,5,36,,SUMMIT,,,39.861345,-106.338664
3600516,BEAVER HEAD DITCH,DITCH,MIDDLE BARTON CREEK,0.45,5,36,,SUMMIT,,,39.51447,-106.058011
3600517,BELL DITCH,DITCH,SPRING CREEK,0.61,5,36,,GRAND,,,39.916815,-106.354489
3600518,BELL NO 1 DITCH,DITCH,SPRING CREEK,0.15,5,36,,GRAND,,,39.91933,-106.348001
3600519,BELL NO 2 DITCH,DITCH,SPRING CREEK,0.1,5,36,,GRAND,,,39.921058,-106.346873
3600520,BELLS BLUE RIVER DITCH,DITCH,BLUE RIVER,12.51,5,36,,SUMMIT,,,39.912833,-106.340593
3600521,BENSON DITCH,DITCH,BOULDER CREEK,0.5,5,36,,SUMMIT,,,39.737878,-106.142329
3600522,BENTON CREEK NO 1 DITCH,DITCH,BEAVER CREEK,2.01,5,36,,GRAND,,,39.965011,-106.398176
3600523,BENTON CREEK NO 2 DITCH,DITCH,BEAVER CREEK,1.11,5,36,,GRAND,,,39.966047,-106.393689
3600524,B-L DITCH,DITCH,MIDDLE BARTON CREEK,0.56,5,36,,SUMMIT,,,39.516298,-106.057773
3600525,B-L NO 2 DITCH,DITCH,MIDDLE BARTON CREEK,0.51,5,36,,SUMMIT,,,39.512673,-106.057731
3600526,BLACK CREEK DITCH,DITCH,BLACK CREEK,1.3,5,36,,SUMMIT,,,39.840604,-106.255155
3600527,BLACK CREEK FEEDER,DITCH,BLACK CREEK,0.65,5,36,,SUMMIT,,,39.848637,-106.261332
3600528,BLUE DANUBE DITCH,DITCH,MIDDLE BARTON CREEK,0.14,5,36,,SUMMIT,,,39.516332,-106.053093
3600529,BLUE DANUBE NO 2 DITCH,DITCH,BLUE RIVER,50.45,5,36,,SUMMIT,,,39.552447,-106.0422
3600530,BLUE RIVER IRRIGATION DITCH,DITCH,BLUE RIVER,30.94,5,36,,SUMMIT,,,39.768421,-106.153283
3600531,MOSER PUMP NO. 1,PUMP,BLUE RIVER,29.8,5,36,,SUMMIT,,,39.782737,-106.161498
3600532,BLUE VALLEY RANCH NORTH SPRUCE CREEK DIVERSION,DITCH,SPRUCE CREEK,1.89,5,36,,GRAND,,,39.942524,-106.390625
3600533,BLUE RIVER NO 3 DITCH,DITCH,BLUE RIVER,58.68,5,36,,SUMMIT,,,39.443008,-106.001558
3600534,BLUE VALLEY DITCH,DITCH,QUAKING ASP CREEK,0.86,5,36,,SUMMIT,,,39.730476,-106.115998
3600535,BOBO DITCH,DITCH,BLUE RIVER,43.64,5,36,,SUMMIT,,,39.629687,-106.0713
3600536,BOBO STRAIT SPRINGS,SPRING,BLUE RIVER,,5,36,,SUMMIT,,,39.647406,-106.074662
3600537,BRECKENRIDGE SKI AREA PUMP PLANT AND PL,PUMP,BLUE RIVER,56.47,5,36,,SUMMIT,,,39.475184,-106.047126
3600538,BRADDOCK DITCH,DITCH,BLUE RIVER,52.85,5,36,,SUMMIT,,,39.52381,-106.048403
3600539,BROWN DITCH,DITCH,BLACK CREEK,4.89,5,36,,SUMMIT,,,39.803107,-106.263503
3600540,BROWN ACORN DITCH,DITCH,ACORN CREEK,2.05,5,36,,SUMMIT,,,39.763325,-106.115104
3600541,BRUSH CREEK DITCH,DITCH,BRUSH CREEK,1.31,5,36,,SUMMIT,,,39.798704,-106.210708
3600542,BUFFALO DITCH,DITCH,WILLOW CREEK,1.07,5,36,,SUMMIT,,,39.65025,-106.095289
3600543,BUFFEHR DITCH,DITCH,TENMILE CREEK,18.46,5,36,,SUMMIT,,,39.370609,-106.18791
3600544,SOUTH WATER RAISE,PIPELINE,TENMILE CREEK,18.46,5,36,,SUMMIT,,,39.36956,-106.164211
3600545,BUMGARNER NO 1 DITCH,DITCH,BEAVER CREEK,3.51,5,36,,GRAND,,,39.972447,-106.431127
3600546,BUMGARNER NO 2 DITCH,DITCH,BEAVER CREEK,3.49,5,36,,GRAND,,,39.976468,-106.43011
3600547,BYRON DITCH,DITCH,TENMILE CREEK,,5,36,,SUMMIT,,,,
3600548,BYRON PLACER DITCH,DITCH,SWAN RIVER,7.63,5,36,,SUMMIT,,,39.498092,-105.944074
3600549,CALL DITCH,DITCH,BLUE RIVER,3.76,5,36,,GRAND,,,40.012882,-106.380734
3600550,CARL FRITZ JACOBSON DITCH,DITCH,KEYSTONE CREEK,0.23,5,36,,SUMMIT,,,39.599647,-105.976251
3600551,CARR PLACER DITCH,DITCH,BLUE RIVER,64.54,5,36,,SUMMIT,,,39.381397,-106.063481
3600552,CARWOOD DITCH,DITCH,TENMILE CREEK,3.46,5,36,,SUMMIT,,,39.567794,-106.084135
3600553,CARWOOD DITCH,DITCH,MINERS CREEK,1.18,5,36,,SUMMIT,,,39.564345,-106.085927
3600554,CATARACT CREEK NO 1 DITCH,DITCH,CATARACT CREEK,1.35,5,36,,SUMMIT,,,39.851602,-106.29075
3600555,CATARACT CREEK NO 2 DITCH,DITCH,CATARACT CREEK,0.94,5,36,,SUMMIT,,,39.856768,-106.287176
3600556,CATARACT CREEK NO 3 DITCH,DITCH,CATARACT CREEK,1.35,5,36,,SUMMIT,,,39.851564,-106.290855
3600557,CATARACT CREEK NO 4 DITCH,DITCH,CATARACT CREEK,0.94,5,36,,SUMMIT,,,39.85684,-106.287154
3600558,CATARACT CREEK NO 5 DITCH,DITCH,CATARACT CREEK,1.2,5,36,,SUMMIT,,,39.853473,-106.289348
3600559,CATARACT FALLS DITCH,DITCH,CATARACT CREEK,4.86,5,36,,SUMMIT,,,39.823412,-106.334044
3600560,CBS PIPELINE,PIPELINE,SNAKE RIVER,12.34,5,36,,SUMMIT,,,39.585742,-105.874038
3600561,CHALK MOUNTAIN DITCH,DITCH,TENMILE CREEK,18.46,5,36,,SUMMIT,,,39.369413,-106.188598
3600562,CHAMPION PIPELINE,PIPELINE,BLUE RIVER,64.36,5,36,,SUMMIT,,,39.388576,-106.082098
3600563,CHARLES JONES DITCH,DITCH,OTTER CREEK,0,5,36,,SUMMIT,,,39.864871,-106.258739
3600564,CHIHUAHUA DITCH,DITCH,PERU CREEK,1.91,5,36,,SUMMIT,,,39.603117,-105.840894
3600565,CHIHUAHUA PIPELINE,PIPELINE,PERU CREEK,1.64,5,36,,SUMMIT,,,39.609835,-105.84312
3600566,CLINTON CREEK DITCH,DITCH,TENMILE CREEK,18.46,5,36,,SUMMIT,,,39.388441,-106.148419
3600567,CLANCY DITCH,DITCH,SHANE GULCH,0.77,5,36,,SUMMIT,,,39.845619,-106.220859
3600568,CLEAR CREEK DITCH HDG 1,DITCH,MUMFORD GULCH,2.16,5,36,,SUMMIT,,,39.889274,-106.24844
3600569,C M OMER DITCH,DITCH,PASS CREEK,1.52,5,36,,SUMMIT,,,39.807085,-106.139303
3600570,COLUMBUS DITCH (HDG 1),DITCH,ROCK CREEK,0.5,5,36,,SUMMIT,,,39.71548,-106.157709
3600571,COLUMBINE DITCH,DITCH,SLATE CREEK,4.82,5,36,,SUMMIT,,,39.730649,-106.214534
3600572,CONGRESS MINE DITCH,DITCH,SWAN RIVER,,5,36,,SUMMIT,,,,
3600573,CONNORS AND BONANZA PL,PIPELINE,TENMILE CREEK,,5,36,,SUMMIT,,,,
3600574,COTTONWOOD DITCH,DITCH,COTTONWOOD GULCH,1.49,5,36,,SUMMIT,,,39.872242,-106.235178
3600575,COULTER NO 1 DITCH,DITCH,BEAVER CREEK,3.46,5,36,,GRAND,,,39.960678,-106.421784
3600576,COULTER NO 2 DITCH,DITCH,BEAVER CREEK,2.33,5,36,,GRAND,,,39.963679,-106.413604
3600577,COW CAMP DITCH,DITCH,COW CAMP CREEK,1.43,5,36,,SUMMIT,,,39.893591,-106.284684
3600578,COW CAMP CREEK DITCH NO 2,DITCH,COW CAMP CREEK,1.31,5,36,,SUMMIT,,,39.892026,-106.285192
3600579,CRYSTAL CREEK DITCH,DITCH,CRYSTAL CREEK,0.97,5,36,,SUMMIT,,,39.437256,-106.072227
3600580,MILL CREEK DIVERSION NO 1,DITCH,SNAKE RIVER,6.99,5,36,,SUMMIT,,,39.605433,-105.943426
3600581,CURRAN DITCH,DITCH,ROCK CREEK,0.5,5,36,,SUMMIT,,,39.717618,-106.148341
3600582,CURRAN NO 2 DITCH,DITCH,ROCK CREEK,0.49,5,36,,SUMMIT,,,39.720079,-106.132655
3600583,DAVIS DITCH,DITCH,ACORN CREEK,0.26,5,36,,SUMMIT,,,39.768468,-106.146699
3600584,D D DITCH,DITCH,ROCK CREEK,0.29,5,36,,SUMMIT,,,39.721918,-106.129803
3600585,DEGRAW DITCH,DITCH,SQUAW CREEK,0.15,5,36,,SUMMIT,,,39.808247,-106.190502
3600586,DELEWARE DITCH,DITCH,SWAN RIVER,,5,36,,SUMMIT,,,,
3600587,DEMING DITCH,DITCH,NORTH TENMILE CREEK,0.11,5,36,,SUMMIT,,,39.575019,-106.112742
3600588,DERCUM DITCH,DITCH,SNAKE RIVER,8.1,5,36,,SUMMIT,,,39.607732,-105.926404
3600589,DILLON DITCH,DITCH,SALT LICK CREEK,1.81,5,36,,SUMMIT,,,39.610285,-106.089103
3600590,DOIG DITCH,DITCH,BLUE RIVER,26.43,5,36,,SUMMIT,,,39.809038,-106.187186
3600591,DOMESTIC SUPPLY DITCH,DITCH,ACORN CREEK,2.04,5,36,,SUMMIT,,,39.769998,-106.111744
3600592,DOW-FRY DITCH,DITCH,STRAIGHT CREEK,2.26,5,36,,SUMMIT,,,39.640316,-106.032296
3600593,DRY CREEK DITCH - HEADGATE NO 1,DITCH,DRY CREEK,0.24,5,36,,GRAND,,,40.017656,-106.388904
3600594,DRY CREEK NO 1 DITCH,DITCH,DRY CREEK,2.11,5,36,,GRAND,,,40.010222,-106.420984
3600595,DRY CREEK NO 2 DITCH,DITCH,DRY CREEK,1.68,5,36,,GRAND,,,40.009663,-106.412115
3600596,DRY CREEK NO 3 DITCH,DITCH,DRY CREEK,1.35,5,36,,GRAND,,,40.01279,-106.407634
3600597,DUSING NO 1 DITCH,DITCH,SLATE CREEK,0.85,5,36,,SUMMIT,,,39.781176,-106.175158
3600598,DUSING NO 2 DITCH,DITCH,SLATE CREEK,0.54,5,36,,SUMMIT,,,39.782203,-106.170656
3600599,EAST TROUT CREEK DITCH,DITCH,SODA CREEK,3.97,5,36,,SUMMIT,,,39.557655,-105.987
3600600,HENRIKSEN WELL EXCHANGE,REACH,BLUE RIVER,50.91,5,36,,SUMMIT,,,39.546679,-106.038343
3600601,CLINTON CANAL,DITCH,TENMILE CREEK,18.46,5,36,,SUMMIT,,,39.388477,-106.148419
3600602,EAST HOOSIER GULCH DITCH,DITCH,HOOSIER CREEK,0.46,5,36,,SUMMIT,,,39.370438,-106.039796
3600603,ED WARD DITCH,DITCH,BLUE RIVER,37.63,5,36,,SUMMIT,,,39.702608,-106.106556
3600604,EIGHTY-EIGHT DITCH,DITCH,OTTER CREEK,0,5,36,,SUMMIT,,,39.864871,-106.258739
3600605,ELI LAMBERT DITCH,DITCH,MIDDLE BARTON CREEK,0.61,5,36,,SUMMIT,,,39.50531,-106.067041
3600606,ELLIOTT CREEK FEEDER,DITCH,ELLIOTT CREEK,0.6,5,36,,SUMMIT,,,39.876806,-106.341926
3600607,ELSIE DITCH,DITCH,BLUE RIVER,42.26,5,36,,SUMMIT,,,39.647555,-106.070597
3600608,ELYRIA DITCH,DITCH,BLUE RIVER,54.76,5,36,,SUMMIT,,,39.498028,-106.057504
3600609,EMMETT DITCH NO 3,DITCH,BRUSH CREEK,1.86,5,36,,SUMMIT,,,39.804112,-106.220837
3600610,EMMA SPERRY DITCH,DITCH,BRUSH CREEK,0.4,5,36,,SUMMIT,,,39.816281,-106.203807
3600611,EMMET BRUSH CREEK NO 1 DITCH,DITCH,BRUSH CREEK,1.48,5,36,,SUMMIT,,,39.805523,-106.214262
3600612,EMMETS BRUSH CREEK NO 1 ENLARGEMENT DITCH,DITCH,BRUSH CREEK,3.78,5,36,,SUMMIT,,,39.788726,-106.236693
3600613,EMMET BRUSH CREEK NO 2 DITCH,DITCH,BRUSH CREEK,1.29,5,36,,SUMMIT,,,39.806226,-106.21077
3600614,ENGLE DITCH,DITCH,BEAVER CREEK,2.02,5,36,,GRAND,,,39.964889,-106.406744
3600615,EXCELSIOR PIPELINE,PIPELINE,NORTH TENMILE CREEK,0,5,36,,SUMMIT,,,39.57854,-105.900947
3600616,EXTENSION DITCH,DITCH,SWAN RIVER,1.72,5,36,,SUMMIT,,,39.516465,-106.023933
3600617,FAMINE CREEK DITCH,DITCH,MARYLAND CREEK,1.29,5,36,,SUMMIT,,,39.687635,-106.120556
3600618,FISH DITCH,DITCH,FISH CREEK,0.01,5,36,,SUMMIT,,,39.71886,-106.104891
3600619,FLEBBE DITCH,DITCH,BLUE RIVER,17.13,5,36,,SUMMIT,,,39.893906,-106.305469
3600620,FLORENCE DITCH,DITCH,BLUE RIVER,41.72,5,36,,SUMMIT,,,39.658149,-106.065953
3600621,FOLEY DITCH,DITCH,STRAIGHT CREEK,0.11,5,36,,SUMMIT,,,39.629392,-106.070307
3600622,FOOTE WHITE EARLY DITCH,DITCH,SWAN RIVER,6.6,5,36,,SUMMIT,,,39.51164,-105.94472
3600623,FORSLUND DITCH,DITCH,PASS CREEK,1.78,5,36,,SUMMIT,,,39.800494,-106.131567
3600624,FORSLUND HIGHLINE DITCH,DITCH,PASS CREEK,2.25,5,36,,SUMMIT,,,39.811408,-106.129316
3600625,FREMONT NO 1 DITCH (S FK),DITCH,TENMILE CREEK,18.46,5,36,,SUMMIT,,,39.389982,-106.180749
3600626,FREMONT NO 2 DITCH,DITCH,TENMILE CREEK,18.46,5,36,,SUMMIT,,,39.376837,-106.198288
3600627,FRENCH CREEK FEEDER,DITCH,FRENCH CREEK,,5,36,,SUMMIT,,,,
3600628,FRISCO TOWN DITCH,DITCH,TENMILE CREEK,4.39,5,36,,SUMMIT,,,39.575121,-106.103375
3600629,FRISCO TOWN DITCH (NEW),PIPELINE,NORTH TENMILE CREEK,0.63,5,36,,SUMMIT,,,39.576401,-106.121965
3600630,FRY DITCH,DITCH,STRAIGHT CREEK,0.59,5,36,,SUMMIT,,,39.633017,-106.060801
3600631,F W S DITCH,DITCH,BRUSH CREEK,0.93,5,36,,SUMMIT,,,39.808897,-106.205186
3600632,GALENA DITCH,DITCH,SWAN RIVER,6.78,5,36,,SUMMIT,,,39.508128,-105.940131
3600633,GARDEN DITCH,DITCH,BLACK CREEK,1.93,5,36,,SUMMIT,,,39.832219,-106.254044
3600634,GIBERSON DITCH,DITCH,MINERS CREEK,1.03,5,36,,SUMMIT,,,39.566734,-106.086756
3600635,GIBERSON DITCH,DITCH,MEADOW CREEK,,5,36,,SUMMIT,,,,
3600636,GIBERSON MEADOW CR DITCH,DITCH,MEADOW CREEK,0.46,5,36,,SUMMIT,,,39.589522,-106.084078
3600637,GILBERT DITCH,DITCH,GILBERT CREEK,0.24,5,36,,SUMMIT,,,39.713112,-106.108672
3600638,GOLD PAN DITCH,DITCH,BLUE RIVER,62.85,5,36,,SUMMIT,,,39.407225,-106.053961
3600639,GOLD RUN DITCH,DITCH,BLUE RIVER,60.3,5,36,,SUMMIT,,,39.435889,-106.041888
3600640,GOULD DITCH,DITCH,QUAKING ASP CREEK,1.2,5,36,,SUMMIT,,,39.734555,-106.113357
3600641,GRAFF DITCH,DITCH,WILLOW CREEK,1.25,5,36,,SUMMIT,,,39.651279,-106.09893
3600642,GREEN MOUNTAIN CANAL,DITCH,BLUE RIVER,30.25,5,36,,SUMMIT,,,39.777168,-106.158847
3600643,GRIGGS DITCH,DITCH,BEAVER CREEK,1.25,5,36,,GRAND,,,39.988431,-106.392528
3600644,GUTHRIE BROS DITCH,DITCH,CATARACT CREEK,1.35,5,36,,SUMMIT,,,39.851592,-106.290809
3600645,GUTHRIE THOMAS DITCH,DITCH,ELLIOTT CREEK,3.5,5,36,,SUMMIT,,,39.83886,-106.350303
3600646,GUYSELMAN DITCH,DITCH,CATARACT CREEK,2.85,5,36,,SUMMIT,,,39.837185,-106.306982
3600647,GUYSELMAN NO 2 DITCH,DITCH,CATARACT CREEK,2.52,5,36,,SUMMIT,,,39.839716,-106.30218
3600648,HALLDORSON PL,PIPELINE,BLUE RIVER,17.42,5,36,,SUMMIT,,,39.872273,-106.305724
3600649,HAMILTON DAVIDSON DITCH,DITCH,SLATE CREEK,1.56,5,36,,SUMMIT,,,39.772571,-106.178713
3600650,HEENEY PIPELINE,PIPELINE,BLUE RIVER,9.63,5,36,,GRAND,,,39.94482,-106.357548
3600651,HEIL NO 1 DITCH,DITCH,SAWMILL CREEK,0,5,36,,GRAND,,,39.985432,-106.444703
3600652,HEIL NO 2 DITCH,DITCH,BEAVER CREEK,3.83,5,36,,GRAND,,,39.981955,-106.436689
3600653,HEIL NO 3 DITCH,DITCH,BEAVER CREEK,3.84,5,36,,GRAND,,,39.980807,-106.437005
3600654,HERBERT DITCH,DITCH,SLATE CREEK,1.01,5,36,,SUMMIT,,,39.779583,-106.17763
3600655,HERBERT NO 2 DITCH,DITCH,SLATE CREEK,0.8,5,36,,SUMMIT,,,39.779738,-106.173043
3600656,HIGH DITCH (SPRUCE CR),DITCH,SPRUCE CREEK,3.68,5,36,,SUMMIT,,,39.92135,-106.411692
3600657,HIGHLAND PIPELINE,PIPELINE,SNAKE RIVER,15.11,5,36,,SUMMIT,,,39.550693,-105.859781
3600658,HIGHLINE DITCH,DITCH,WILLOW CREEK,1.25,5,36,,SUMMIT,,,39.652806,-106.104165
3600659,HIGHLINE DITCH (SLATE CREEK),DITCH,SLATE CREEK,1.36,5,36,,SUMMIT,,,39.775171,-106.180018
3600660,HIGH MILLER DITCH,DITCH,BLUE RIVER,28.69,5,36,,SUMMIT,,,39.795954,-106.163356
3600661,HILL DITCH,DITCH,BLUE RIVER,45.27,5,36,,SUMMIT,,,39.618535,-106.055849
3600662,HOAGLAND CANAL (ELLIOT),DITCH,ELLIOTT CREEK,2.05,5,36,,SUMMIT,,,39.857663,-106.346416
3600663,HOBBS DITCH,DITCH,TENMILE CREEK,2.96,5,36,,SUMMIT,,,39.582267,-106.079351
3600664,HOBBS NO 2 DITCH,DITCH,MEADOW CREEK,0.14,5,36,,SUMMIT,,,39.593132,-106.074676
3600665,HOMESTEAD DITCH,DITCH,MINERS CREEK,1.1,5,36,,SUMMIT,,,39.566525,-106.097463
3600666,CONTER DITCH,DITCH,BIG GULCH,2.83,5,36,,SUMMIT,,,39.800424,-106.124861
3600667,HUTER MEADOW CREEK DITCH,DITCH,NORTH TENMILE CREEK,0.11,5,36,,SUMMIT,,,39.575019,-106.112742
3600668,I DAVIS DITCH,DITCH,ELLIOTT CREEK,1.45,5,36,,SUMMIT,,,39.828801,-106.127438
3600669,ILLINOIS GULCH,DITCH,ILLINOIS CREEK,,5,36,,SUMMIT,,,,
3600670,INDEPENDENT DITCH,DITCH,BOULDER CREEK,0.75,5,36,,SUMMIT,,,39.738134,-106.146535
3600671,INDEPENDENT BLUE DITCH,DITCH,BLUE RIVER,33.99,5,36,,SUMMIT,,,39.736587,-106.13338
3600672,INDIANA DITCH,DITCH,INDIANA CREEK,,5,36,,SUMMIT,,,,
3600673,INDIANA CREEK FEEDER,DITCH,INDIANA CREEK,0.19,5,36,,SUMMIT,,,39.443134,-106.042199
3600674,INDIANA CREEK GOLD PAN,MINE,INDIANA CREEK,,5,36,,SUMMIT,,,,
3600675,INTAKE DITCH,DITCH,BEAVER CREEK,6.1,5,36,,GRAND,,,39.9646,-106.431841
3600676,IVAN DITCH,DITCH,SNAKE RIVER,2.69,5,36,,SUMMIT,,,39.607507,-106.009073
3600677,JEFF DAVIS DITCH,DITCH,FRENCH GULCH,4.86,5,36,,SUMMIT,,,39.483952,-105.962197
3600678,J F R DITCH,DITCH,PEBBLE CREEK,1.71,5,36,,SUMMIT,,,39.722267,-106.163761
3600679,J G F DITCH,DITCH,SODA CREEK,1.84,5,36,,SUMMIT,,,39.582974,-105.995905
3600680,J G F HIGHLINE DITCH,DITCH,SODA CREEK,1.79,5,36,,SUMMIT,,,39.583109,-105.996967
3600681,J T K PIPELINE,PIPELINE,PERU CREEK,2.51,5,36,,SUMMIT,,,39.599559,-105.827614
3600682,KEYSTONE P 123,DITCH,KEYSTONE CREEK,0.68,5,36,,SUMMIT,,,39.592978,-105.97109
3600683,KEYSTONE DITCH,DITCH,KEYSTONE CREEK,0.61,5,36,,SUMMIT,,,39.594865,-105.97276
3600684,KEYSTONE DITCH E LATERAL,DITCH,KEYSTONE CREEK,,5,36,,SUMMIT,,,,
3600685,KIMBERLEY WIFLEY PL,PIPELINE,TENMILE CREEK,18.32,5,36,,SUMMIT,,,39.429625,-106.203061
3600686,KING SOLOMON PIPELINE,PIPELINE,TENMILE CREEK,7.01,5,36,,SUMMIT,,,39.55648,-106.138144
3600687,KIRKWOOD DITCH,DITCH,SLATE CREEK,1.89,5,36,,SUMMIT,,,39.768842,-106.181311
3600688,KLACK GULCH DITCH,DITCH,ILLINOIS CREEK,,5,36,,SUMMIT,,,,
3600689,KNORR NO 1 DITCH,DITCH,BLACK CREEK,0.4,5,36,,SUMMIT,,,39.85276,-106.254137
3600690,KUMNIG DITCH,DITCH,CATARACT CREEK,2.92,5,36,,SUMMIT,,,39.829325,-106.305778
3600691,KUMNIG NO 1 DITCH,DITCH,OTTER CREEK,2.82,5,36,,SUMMIT,,,39.826362,-106.279656
3600692,KUMNIG NO 2 DITCH,DITCH,OTTER CREEK,2.6,5,36,,SUMMIT,,,39.829642,-106.278046
3600693,KUMNIG NO 3 DITCH,DITCH,OTTER CREEK,2.4,5,36,,SUMMIT,,,39.832114,-106.277691
3600694,KUMNIG NO 9 DITCH,DITCH,OTTER CREEK,2.62,5,36,,SUMMIT,,,39.828493,-106.272952
3600695,KUMNIG NO 10 DITCH,DITCH,OTTER CREEK,2.11,5,36,,SUMMIT,,,39.832118,-106.27299
3600696,KUMNIG KNORR DITCH,DITCH,BLACK CREEK,0.81,5,36,,SUMMIT,,,39.846911,-106.255094
3600697,LAWSON DITCH,DITCH,HARSHA GULCH,1.94,5,36,,GRAND,,,39.968353,-106.328516
3600698,LEAL MINE PIPELINE,PIPELINE,TENMILE CREEK,18.46,5,36,,SUMMIT,,,39.369331,-106.165058
3600699,LEE BROTHERS BEAVER CREEK DITCH NO 1,DITCH,ELLIOTT CREEK,1.79,5,36,,SUMMIT,,,39.860664,-106.34478
3600700,LENA DITCH,DITCH,BLUE RIVER,41.72,5,36,,SUMMIT,,,39.654562,-106.075339
3600701,LENAWEE PIPELINE,PIPELINE,SNAKE RIVER,11.64,5,36,,SUMMIT,,,39.596139,-105.860394
3600702,LILLIAN DITCH,DITCH,BLACK CREEK,1.37,5,36,,SUMMIT,,,39.839601,-106.254622
3600703,LIND RILEY DITCH,DITCH,STRAIGHT CREEK,2.26,5,36,,SUMMIT,,,39.640316,-106.032296
3600704,LINDSTROM DITCH,DITCH,PASS CREEK,0.37,5,36,,SUMMIT,,,39.801404,-106.156205
3600705,LINDSTROM NO 1 DITCH,DITCH,BLUE RIVER,29.59,5,36,,SUMMIT,,,39.785072,-106.161386
3600706,LINDSTROM NO 2 DITCH,DITCH,PASS CREEK,0.36,5,36,,SUMMIT,,,39.801267,-106.156402
3600707,LITTLE FRENCH HIGHLINE D,DITCH,FRENCH GULCH,6.11,5,36,,SUMMIT,,,39.472208,-105.948071
3600708,LITTLE GOLD RUN DITCH,DITCH,SWAN RIVER,1.72,5,36,,SUMMIT,,,39.516465,-106.023933
3600709,LOBACK DITCH,DITCH,BLUE RIVER,3.57,5,36,,GRAND,,,40.012809,-106.383603
3600710,LOFGREN DITCH,DITCH,BLUE RIVER,16.23,5,36,,SUMMIT,,,39.872265,-106.319808
3600711,LOFGREN PIPELINE,PIPELINE,BLUE RIVER,16.18,5,36,,SUMMIT,,,39.870658,-106.321847
3600712,LOST LAKE DITCH,DITCH,BRUSH CREEK,2.76,5,36,,SUMMIT,,,39.798272,-106.23454
3600713,LOT 5 DITCH,DITCH,BLUE RIVER,30.75,5,36,,SUMMIT,,,39.766039,-106.159992
3600714,LOWLINE NO 1 DITCH,DITCH,WILLOW CREEK,0.42,5,36,,SUMMIT,,,39.650091,-106.083398
3600715,LOWLINE NO 2 DITCH HGT 2,DITCH,WILLOW CREEK,0.07,5,36,,SUMMIT,,,39.650785,-106.077523
3600716,LUND DITCH,DITCH,SLATE CREEK,4.42,5,36,,SUMMIT,,,39.749961,-106.20724
3600717,LUND BLUE RIVER DITCH,DITCH,BLUE RIVER,39.8,5,36,,SUMMIT,,,39.675889,-106.093747
3600718,LUSHER DITCH,DITCH,NORTH TENMILE CREEK,0.53,5,36,,SUMMIT,,,39.576356,-106.120101
3600719,MARCOTT DITCH,DITCH,CATARACT CREEK,1.22,5,36,,SUMMIT,,,39.853138,-106.289482
3600720,MARSHALL NO 1 DITCH,DITCH,ACORN CREEK,1.52,5,36,,SUMMIT,,,39.770642,-106.122543
3600721,MARSHALL NO 2 DITCH,DITCH,ACORN CREEK,1.5,5,36,,SUMMIT,,,39.769952,-106.123945
3600722,MARSHALL NO 3 DITCH,DITCH,ACORN CREEK,1.12,5,36,,SUMMIT,,,39.767041,-106.131439
3600723,MARSHALL NO 4 DITCH,DITCH,ACORN CREEK,1.46,5,36,,SUMMIT,,,39.765188,-106.125572
3600724,MARSHALL NO 5 DITCH,DITCH,ACORN CREEK,1.78,5,36,,SUMMIT,,,39.764225,-106.11987
3600725,MARY DITCH,DITCH,BLACK CREEK,2.94,5,36,,SUMMIT,,,39.822724,-106.255635
3600726,MARYLAND NO 1 DITCH,DITCH,WILLOW CREEK,1.25,5,36,,SUMMIT,,,39.66195,-106.145239
3600727,MARYLAND NO 2 DITCH,DITCH,WILLOW CREEK,1.25,5,36,,SUMMIT,,,39.654798,-106.11344
