wdid,structureName,structureType,waterSource,streamMile,division,waterDistrict,subdistrict,county,designatedBasinName,managementDistrictName,latdecdeg,longdecdeg
3905031,RIPPY SPRING,SPRING,MAIN ELK CREEK,,5,39,,GARFIELD,,,39.576912,-107.537696
3905032,MARSHALL WELL,WELL,GROUNDWATER: EAST ELK CREEK,,5,39,,GARFIELD,,,39.622493,-107.545272
3905033,CANYON CREEK WELL NO 1,WELL,GROUNDWATER: CANYON CREEK,,5,39,,GARFIELD,,,39.575791,-107.445926
3905034,BLM SPRING 187-05,SPRING,PARACHUTE CREEK,,5,39,,GARFIELD,,,39.640951,-108.042993
3905035,ABBATTOIR WELL,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.572451,-107.482326
3905036,AMICHAUX WELL NO 1,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.562548,-107.377383
3905037,AMICHAUX WELL NO 3,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.561371,-107.378542
3905038,AMICHAUX WELL NO 4,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.561872,-107.373891
3905039,GARFIELD LIVESTOCK WELL,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.546705,-107.669811
3905040,ASGARD WELL NO 1,WELL,GROUNDWATER: HARVEY GAP,,5,39,,GARFIELD,,,39.587539,-107.678414
3905041,ASGARD WELL NO 2,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.587539,-107.678414
3905042,HILLSIDE (WEST) WELL,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.565876,-107.6545
3905043,HILLSIDE (CENTER) WELL,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.565887,-107.649628
3905044,HILLSIDE (EAST) WELL,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.564337,-107.64821
3905045,GABOSSI WELL NO 163145,WELL,GROUNDWATER: MITCHELL CREEK,,5,39,,GARFIELD,,,39.570569,-107.372803
3905046,PUMA PAW SPRING,SPRING,MIDDLE RIFLE CREEK,,5,39,,GARFIELD,,,39.693372,-107.773114
3905047,CSU SPRING,SPRING,GOVERNMENT CREEK,,5,39,,GARFIELD,,,39.677995,-107.893843
3905048,BELL WELL,WELL,GROUNDWATER: RIFLE CREEK,,5,39,,GARFIELD,,,39.553276,-107.764403
3905049,BESLER SPRING,SPRING,MITCHELL CREEK,,5,39,,GARFIELD,,,39.585519,-107.366361
3905050,BLESSING NO 1 WELL,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.554004,-107.707202
3905051,BOIES WELL,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.584035,-107.659078
3905052,BOWLES WELL,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.575311,-107.465641
3905053,BRADLEY WISHING WELL,WELL,GROUNDWATER: HARVEY GAP,,5,39,,GARFIELD,,,39.583893,-107.683096
3905054,BRANNEN WELL NO 1,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.555002,-107.55778
3905055,BRUNGS WELL NO 1,WELL,GROUNDWATER: EAST ELK CREEK,,5,39,,GARFIELD,,,39.632569,-107.541389
3905056,BRUNGS WELL NO 2,WELL,GROUNDWATER: EAST ELK CREEK,,5,39,,GARFIELD,,,39.633822,-107.540083
3905057,BRUNGS WELLS NOS 1-35,WELL,GROUNDWATER: EAST ELK CREEK,,5,39,,GARFIELD,,,39.632586,-107.541424
3905058,CASTLE WELL,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.558009,-107.609211
3905059,CHELEWSKI WELL,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.549322,-107.700934
3905060,CHURCH WELL,WELL,GROUNDWATER: COLORADO RIVER,,5,39,,GARFIELD,,,39.527784,-107.79706
3905061,CINDY WELL,WELL,GROUNDWATER: RIFLE CREEK,,5,39,,GARFIELD,,,39.5387,-107.778379
