WDID,Stream Mile,Adjudication Date,Priority Admin No,Net Absolute,Latitude,Longitude,Lines
4503749,16.6,12/31/10,58439.31927,6098.4,39.310963,-107.561516,3195
5303522,193.46,12/31/09,58311,28618.92,39.906901,-106.747395,3560
5303574,193.52,12/31/09,58311,5967.72,39.908183,-106.746281,3560
5003690,2.87,12/31/09,58215,226512,40.200345,-106.449522,3560
5003691,2.99,12/31/09,58215,148104,40.200255,-106.451709,3560
5003692,3.87,12/31/09,58215,178596,40.200492,-106.467539,3560
5103603,1.29,12/31/09,58074.57947,910404,39.948737,-106.147846,3560
5103604,0.38,12/31/09,58074.57947,145926,39.959009,-106.149253,3560
5003689,4.47,12/31/09,58074.57861,161172,40.203378,-106.477671,3560
5102115,14,12/31/08,58074.57731,18,40.214103,-106.051179,3925
4503570,7.78,12/31/09,58074.57495,566280,39.393226,-107.606811,3560
3704028,1.91,12/31/09,58074.57221,6534,39.635402,-106.660204,3560
3704029,1.91,12/31/09,58074.57221,134600.4,39.635702,-106.659642,3560
3704030,1.82,12/31/09,58074.57221,37897.2,39.636494,-106.658827,3560
3704031,1.82,12/31/09,58074.57221,4356,39.636956,-106.659802,3560
7203553,19.9,12/31/09,58074.55334,57934.8,39.167909,-108.82466,3560
5103597,3.04,12/31/09,58074.55304,40946.4,39.973873,-105.871062,3560
5103598,3.04,12/31/09,58074.55304,9583.2,39.973722,-105.870339,3560
7204138,9.89,12/31/09,58074.55301,88426.8,39.18555,-108.934974,3560
7204139,9.82,12/31/09,58074.55301,40510.8,39.184704,-108.934992,3560
7204140,9.78,12/31/09,58074.55301,26571.6,39.184113,-108.935061,3560
7204141,9.72,12/31/09,58074.55301,47044.8,39.183228,-108.935474,3560
7204142,9.53,12/31/09,58074.55301,102801.6,39.180817,-108.936433,3560
7204143,9.38,12/31/09,58074.55301,68824.8,39.179904,-108.937728,3560
5103678,2.93,12/31/09,58074.53478,217800,40.105508,-106.082274,3560
5003665,10.76,12/31/09,58074.44346,871200,40.101385,-106.532689,3560
3803797,13.84,12/31/08,58074,13068,39.246365,-107.238702,3925
3804301,13.84,12/31/08,58073,13068,39.246425,-107.236989,3925
3803835,10.31,12/31/08,58053,11347380,39.207,-106.963695,3925
