wdid,structureName,streamMile,latitude,longitude,adminNumber,netAbsolute
7200534,RALPH BEVAN SPRING DITCH,6.69,39.103562,-108.139081,34419.23814,0.26
7200535,BIESER NO 1 DITCH,5.14,39.120629,-108.157198,44925.43281,2.5
7200536,BILLINGS DITCH NO 1,7.69,39.092479,-108.081125,30895.2537,0.27
7200536,BILLINGS DITCH NO 1,7.69,39.092479,-108.081125,32811,0.12
7200537,BILLINGS DITCH NO 2,7.38,39.097017,-108.084964,30895.24637,0.39
7200537,BILLINGS DITCH NO 2,7.38,39.097017,-108.084964,32811,0.12
7200538,BILLY DITCH,38.22,39.211366,-107.765381,30895.30132,2
7200540,BLACKMAN DUNLAP CLARK D,27.29,39.26159,-107.896867,14142,5.5
7200540,BLACKMAN DUNLAP CLARK D,27.29,39.26159,-107.896867,18749.15101,0.828
7200540,BLACKMAN DUNLAP CLARK D,27.29,39.26159,-107.896867,18749.15844,0.9
7200540,BLACKMAN DUNLAP CLARK D,27.29,39.26159,-107.896867,30895.14142,1.5
7200540,BLACKMAN DUNLAP CLARK D,27.29,39.26159,-107.896867,32811,0.8
7200541,BLOWOUT DITCH,5.72,39.119112,-108.21886,30895.26286,2.66
7200542,BONHAM BRANCH PIPELINE,12.32,39.105339,-107.904943,37486,45
7200544,BONNIE VIEW DITCH (SPRG),3.98,39.14354,-108.064726,30895.24283,0.86
7200545,BOWER DITCH,6.68,39.103018,-108.150203,22995.14119,1.35
7200545,BOWER DITCH,6.68,39.103018,-108.150203,22995.19092,1.26
7200546,BOYLE CREEK DITCH,5.39,39.128306,-108.030316,30895.2361,0.6
7200547,BRANCH SPRINGS DITCH,2.03,39.161128,-108.134953,34419.18414,1
7200549,BROWN DITCH,4.15,39.138882,-108.135145,18749.17806,1.368
7200549,BROWN DITCH,4.15,39.138882,-108.135145,30895.18536,0.968
7200549,BROWN DITCH,4.15,39.138882,-108.135145,32811,0.54
7200550,BROWN NO 1 DITCH,5.67,39.345294,-107.842961,30895.28624,0.78
7200554,BURKEY PUMP AND PIPELINE,0.21,39.071097,-108.419032,52595.47546,0.08
7200555,BUCKHORN DITCH,6.57,39.162854,-107.952115,22995.22279,1.44
7200555,BUCKHORN DITCH,6.57,39.162854,-107.952115,30895.22121,0.65
7200555,BUCKHORN DITCH,6.57,39.162854,-107.952115,30895.23582,1.3
7200557,BULL BASIN HIGHLINE D,5.46,39.122265,-108.037771,30895.24262,4.08
7200557,BULL BASIN HIGHLINE D,5.46,39.122265,-108.037771,30895.27168,1.04
7200557,BULL BASIN HIGHLINE D,5.46,39.122265,-108.037771,31849,5.85
7200557,BULL BASIN HIGHLINE D,5.46,39.122265,-108.037771,32811,1.82
7200558,BULL CREEK DITCH,1.77,39.167086,-108.071639,12053,6.66
7200558,BULL CREEK DITCH,1.77,39.167086,-108.071639,22729.18353,2
7200558,BULL CREEK DITCH,1.77,39.167086,-108.071639,22995.15582,1.89
7200558,BULL CREEK DITCH,1.77,39.167086,-108.071639,30895.13584,2
7200558,BULL CREEK DITCH,1.77,39.167086,-108.071639,30895.23498,0.36
7200558,BULL CREEK DITCH,1.77,39.167086,-108.071639,32811,2.986
7200558,BULL CREEK DITCH,1.77,39.167086,-108.071639,54056.48882,0.5
7200559,BULL ELK DITCH,4.95,39.161853,-107.682967,30895.25372,7.2
7200559,BULL ELK DITCH,4.95,39.161853,-107.682967,32811,3.2
7200559,BULL ELK DITCH,4.95,39.161853,-107.682967,34419.32811,4.65
7200559,BULL ELK DITCH,4.95,39.161853,-107.682967,36676,4
7200560,BURKETT- RENCH DITCH,1.74,39.178892,-108.743149,34419.18353,0.24
7200561,BUZZARD CREEK HIGHLINE,20.69,39.276247,-107.71029,22995.17319,0.9
7200561,BUZZARD CREEK HIGHLINE,20.69,39.276247,-107.71029,49308.36676,1
7200562,V P BYRAM DITCH NO 1,1.56,39.173121,-108.093081,30895.23583,0.52
7200564,CANNEL HAWKINS DITCH,3.24,39.189674,-108.705977,30895.23521,2
7200566,CEDAR DITCH,2.78,39.232322,-107.891364,30895.24831,1.04
7200566,CEDAR DITCH,2.78,39.232322,-107.891364,34419.33581,2
7200566,CEDAR DITCH,2.78,39.232322,-107.891364,40013.33581,0.66
7200569,CHENEY CREEK DITCH,3.05,39.310704,-107.747221,22995.18413,1.8
7200569,CHENEY CREEK DITCH,3.05,39.310704,-107.747221,30895.24319,2.78
7200569,CHENEY CREEK DITCH,3.05,39.310704,-107.747221,30895.24592,1.08
7200569,CHENEY CREEK DITCH,3.05,39.310704,-107.747221,32811,2.5
7200570,CLARK PIPELINE,32.25,39.098422,-108.664418,35737,0.5
7200571,CLARK PUMPING PLANT,47.27,39.056064,-108.427572,39168,1
7200571,CLARK PUMPING PLANT,47.27,39.056064,-108.427572,50769.5022,1
7200572,CLIFTON DITCH,25.56,39.252758,-107.922944,30895.23892,0.52
7200573,CLIFTON NORTH SIDE,24.97,39.247515,-107.930813,30895.29867,0.39
7200573,CLIFTON NORTH SIDE,24.97,39.247515,-107.930813,34419.30902,0.468
7200574,COAKLEY KIGGINS DITCH,3.83,39.197583,-107.963434,14123,6.82
7200574,COAKLEY KIGGINS DITCH,3.83,39.197583,-107.963434,14149,2.13
7200574,COAKLEY KIGGINS DITCH,3.83,39.197583,-107.963434,14149,0.36
7200574,COAKLEY KIGGINS DITCH,3.83,39.197583,-107.963434,30895.14123,1.1
7200574,COAKLEY KIGGINS DITCH,3.83,39.197583,-107.963434,34419.32821,4.17
