wdid,streamMile,adminNumber,netAbsolute,lat,long,sum_netAbs
4503715,1.42,50769.505560000005,43560.0,39.492252,-107.599478,551034.0
4503750,1.42,58439.56856,214750.8,39.493786,-107.600102,214750.8
4503754,1.54,58439.56856,41382.0,39.490274,-107.599775,41382.0
4503755,1.54,58439.56856,214750.8,39.490941,-107.59980700000001,214750.8
4503756,1.42,58439.56856,151153.2,39.491498,-107.599984,151153.2
4503757,1.4,58439.56856,199069.2,39.494246000000004,-107.59997299999999,199069.2
4503758,1.31,58439.56856,329313.6,39.494834999999995,-107.59976100000002,329313.6
4503760,1.38,58439.56856,126759.6,39.494802,-107.59771299999998,126759.6
4503761,1.61,58439.56856,128502.0,39.494946999999996,-107.594003,128502.0
4503762,1.62,58439.56856,89733.6,39.494122,-107.593175,89733.6
3804424,1.63,58439.560020000004,22215.6,39.312653000000005,-106.978407,22215.6
3804425,1.58,58439.560020000004,182952.0,39.312646,-106.979358,182952.0
3804462,2.4,58439.54938,235224.0,39.386328999999996,-107.220398,235224.0
3813500,1.52,58439.45595,120225.6,39.223772,-106.88502,120225.6
3813501,1.53,58439.45595,106722.0,39.224216999999996,-106.886028,106722.0
3813502,1.76,58439.45595,435.6,39.219786,-106.891599,435.6
3813503,1.77,58439.45595,3920.4,39.219544,-106.891224,3920.4
3813504,1.86,58439.45595,3049.2,39.219218,-106.890612,3049.2
3813505,2.19,58439.45595,36590.4,39.217403000000004,-106.900827,36590.4
3813506,2.39,58439.45595,129373.2,39.212596999999995,-106.90388899999999,129373.2
3813507,2.39,58439.45595,306226.8,39.2134,-106.903902,306226.8
3813508,2.2,58439.45595,269636.4,39.215707,-106.89506200000001,269636.4
7204146,11.08,58439.42155,16117.2,39.269089,-107.81448400000001,16117.2
4503749,16.6,58439.31927000001,6098.4,39.310963,-107.561516,6098.4
5303522,193.46,58311.0,28618.92,39.906901,-106.747395,28618.92
5303574,193.52,58311.0,5967.72,39.908183,-106.74628100000001,5967.72
5003690,2.87,58215.0,226512.0,40.200345,-106.449522,226512.0
5003691,2.99,58215.0,148104.0,40.200255,-106.45170900000001,148104.0
5003692,3.87,58215.0,178596.0,40.200492,-106.46753899999999,178596.0
5103603,1.29,58074.579470000004,910404.0,39.948737,-106.147846,910404.0
5103604,0.38,58074.579470000004,145926.0,39.959009,-106.149253,145926.0
5003689,4.47,58074.578610000004,161172.0,40.203378,-106.477671,161172.0
5102115,14.0,58074.57731,18.0,40.214103,-106.051179,30.0
5102115,14.0,46883.0,12.0,40.214103,-106.051179,30.0
4503570,7.78,58074.57495,566280.0,39.393226,-107.60681100000001,566280.0
3704028,1.91,58074.572210000006,6534.0,39.635402,-106.66020400000001,6534.0
3704029,1.91,58074.572210000006,134600.4,39.635702,-106.65964199999999,134600.4
3704030,1.82,58074.572210000006,37897.2,39.636494,-106.658827,37897.2
3704031,1.82,58074.572210000006,4356.0,39.636956,-106.659802,4356.0
7203553,19.9,58074.55334,57934.8,39.167909,-108.82466000000001,57934.8
5103597,3.04,58074.55304,40946.4,39.973873,-105.87106200000001,40946.4
5103598,3.04,58074.55304,9583.2,39.973721999999995,-105.87033899999999,9583.2
7204138,9.89,58074.55301,88426.8,39.18555,-108.934974,88426.8
7204139,9.82,58074.55301,40510.8,39.184703999999996,-108.934992,40510.8
7204140,9.78,58074.55301,26571.6,39.184113,-108.935061,26571.6
7204141,9.72,58074.55301,47044.8,39.183228,-108.935474,47044.8
7204142,9.53,58074.55301,102801.6,39.180817,-108.93643300000001,102801.6
7204143,9.38,58074.55301,68824.8,39.179904,-108.937728,68824.8
5103678,2.93,58074.534779999994,217800.0,40.105508,-106.082274,217800.0
5003665,10.76,58074.44346,871200.0,40.101385,-106.53268899999999,871200.0
3803797,13.84,58074.0,13068.0,39.246365000000004,-107.238702,118918.8
3803797,13.84,48577.4838,105850.8,39.246365000000004,-107.238702,118918.8
3803835,10.31,58053.0,11347380.0,39.207,-106.963695,13830300.0
3803835,10.31,41099.0,2482920.0,39.207,-106.963695,13830300.0
3804396,0.12,57941.0,8712.0,39.163227,-106.78924099999999,8712.0
3804423,3.43,57920.0,131551.2,39.174341999999996,-106.871004,131551.2
7003523,8.66,57708.57415,612453.6,39.572390999999996,-108.34754299999999,612453.6
3804420,50.43,57708.569,5183.64,39.150651,-106.78505700000001,5183.64
3804399,0.67,57708.56679,229996.8,39.187934000000006,-107.24681399999999,229996.8
3903551,6.0,57708.562770000004,4356.0,39.672787,-107.569672,4356.0
3903605,2.2,57708.56156,21780.0,39.604403999999995,-107.44208799999998,21780.0
3903603,2.08,57708.56062999999,31363.2,39.602075,-107.438534,31363.2
3903604,2.08,57708.56062999999,8712.0,39.602438,-107.439256,8712.0
4503683,2.43,57708.54237999999,411642.0,39.412078,-107.530226,411642.0
3804419,5.6,57704.0,2178.0,39.266627,-106.95941299999998,2178.0
5103523,5.45,57704.0,130680.0,40.00694,-106.18341799999999,130680.0
5109178,25.52,57647.0,47044.8,39.885001,-105.76153000000001,47044.8
3804143,3.1,57636.0,6098.4,39.298594,-106.96013500000001,6098.4
3804144,3.04,57636.0,13939.2,39.298943,-106.96100600000001,13939.2
7204135,5.73,57587.0,119790.0,39.164826,-108.60418100000001,119790.0
5003688,4.73,57513.0,657756.0,40.204642,-106.482169,657756.0
3804392,40.35,57458.0,47044.8,39.239603,-106.866211,47044.8
3704046,2.13,57432.0,356756.4,39.664842,-106.738266,356756.4
3704047,21.01,57432.0,338896.8,39.683138,-106.752227,338896.8
7203741,5.67,57343.57099,95832.0,39.22169,-108.699193,95832.0
7203743,4.22,57343.56876,108900.0,39.141222,-108.606502,108900.0
7203744,4.22,57343.56876,152460.0,39.141504,-108.605425,152460.0
7203737,8.89,57343.56779,15681.6,39.074791999999995,-108.13067099999999,15681.6
3804386,1.11,57343.56765,169884.0,39.4793,-107.14013,169884.0
7203742,3.98,57343.56002999999,4356.0,39.208562,-108.804957,4356.0
7204134,4.72,57343.52321,17990.28,39.299349,-107.949477,17990.28
5003685,9.6,57340.0,60984.0,40.280182,-106.377606,60984.0
5003687,9.57,57340.0,317988.0,40.280936,-106.379811,317988.0
3804340,3.62,57323.0,10018.8,39.292257,-106.958301,10018.8
3804394,3.61,57323.0,170755.2,39.292871999999996,-106.955977,170755.2
3703596,1.42,57249.0,4965.84,39.633494,-106.953356,440565.84
3703596,1.42,53203.0,392040.0,39.633494,-106.953356,440565.84
3703596,1.42,46506.0,43560.0,39.633494,-106.953356,440565.84
7203893,8.89,57212.0,4892223.6,39.076336,-108.03753300000001,18513000.0
7203893,8.89,34419.294930000004,6814090.8,39.076336,-108.03753300000001,18513000.0
7203893,8.89,25246.18949,6806685.6,39.076336,-108.03753300000001,18513000.0
3704024,31.15,57193.0,1045.44,39.661288,-106.629851,1045.44
7204136,10.57,57052.0,59677.2,39.188937,-108.144168,59677.2
3704032,2.12,56991.0,322344.0,39.608358,-106.620676,322344.0
3803693,47.08,56978.56917,33759.0,39.177301,-106.80101100000002,33759.0
3703788,4.78,56978.56884,97574.4,39.583721000000004,-106.70725800000001,97574.4
3603575,18.41,56978.56752999999,9147600.0,39.415302000000004,-106.172546,379407600.0
3603575,18.41,51864.51194,185130000.0,39.415302000000004,-106.172546,379407600.0
3603575,18.41,45290.35239,185130000.0,39.415302000000004,-106.172546,379407600.0
7204127,3.51,56978.55972999999,130680.0,39.201528,-108.802672,130680.0
3804390,6.43,56978.524260000006,8537.76,39.202490000000004,-106.94412700000001,8537.76
3804391,6.43,56978.524260000006,5140.08,39.20179,-106.94501100000001,5140.08
3804090,32.73,56978.50271,23086.8,39.317895,-106.936982,23086.8
7203964,47.27,56978.46449,163785.6,39.052486,-108.425353,327571.2
7203964,47.27,31499.0,163785.6,39.052486,-108.425353,327571.2
