analysisWdid,analysisStructure,priorityWdid,priorityStructure,sumWtdCount,analysisStreamMile,analysisNetAbs,analysisWaterDistrict,priorityStreamMile,priorityNetAbs,priorityWaterDistrict,edgeWt
3703524,SYLVAN LAKE,5300584,SHOSHONE POWER PLANT,217.0,5.26,1002.58,37,147.54,1408.0,53,217559.86000000002
3604923,CLIMAX INTEGRATED WATER SYSTEM,5300584,SHOSHONE POWER PLANT,155.0,18.46,519.3342,36,147.54,1408.0,53,80496.801
5104700,WINDY GAP PUMP PL CANAL,5300584,SHOSHONE POWER PLANT,93.0,257.52,600.0,51,147.54,1408.0,53,55800.0
5303955,BEAVER DAM RESERVOIR,5300584,SHOSHONE POWER PLANT,93.0,1.51,13.0,53,147.54,1408.0,53,1209.0
5000734,DEBERARD DITCH OVERFLOW SYSTEM,5300584,SHOSHONE POWER PLANT,93.0,3.21,96.4,50,147.54,1408.0,53,8965.2
5003668,WOLFORD MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT,93.0,13.16,78849.0,50,147.54,1408.0,53,7332957.0
5303966,GRIMES BROOKS RESERVOIR,5300584,SHOSHONE POWER PLANT,93.0,5.95,554.06,53,147.54,1408.0,53,51527.579999999994
3600709,LOBACK DITCH,5300584,SHOSHONE POWER PLANT,93.0,3.57,75.8,36,147.54,1408.0,53,7049.4
5003647,CONFLUENCE RESERVOIR,5300584,SHOSHONE POWER PLANT,93.0,2.94,17.0,50,147.54,1408.0,53,1581.0
5303570,PERRY POND NO 2,5300584,SHOSHONE POWER PLANT,62.0,10.8,1.41,53,147.54,1408.0,53,87.42
5103529,TIMBERLINE POND,5300584,SHOSHONE POWER PLANT,62.0,0.24,4.24,51,147.54,1408.0,53,262.88
3604692,CON-HOOSIER - EAST HOOSIER DITCH CLAIM 1,5300584,SHOSHONE POWER PLANT,62.0,0.41,60.0,36,147.54,1408.0,53,3720.0
3603694,ARAPAHOE BASIN SNOWMAKING RESERVOIR,5300584,SHOSHONE POWER PLANT,62.0,4.78,5.6,36,147.54,1408.0,53,347.2
5303518,WASHBURN CABIN POND,5300584,SHOSHONE POWER PLANT,62.0,7.25,28.0,53,147.54,1408.0,53,1736.0
