analysisWdid,analysisStructure,priorityWdid,priorityStructure,sumWtdCount,analysisStreamMile,analysisNetAbs,analysisWaterDistrict,priorityStreamMile,priorityNetAbs,priorityWaterDistrict,edgeWt
5003618,HINMAN RESERVOIR,5300584,SHOSHONE POWER PLANT,44.166,3.97,916.64,50,147.54,1408.0,53,40484.322239999994
5203940,JONES RESERVOIR,5300584,SHOSHONE POWER PLANT,44.166,1.86,69.1942,52,147.54,1408.0,53,3056.0310371999994
3703516,G G LOWER RESERVOIR,5300584,SHOSHONE POWER PLANT,44.166,7.6,36.52,37,147.54,1408.0,53,1612.94232
3600671,INDEPENDENT BLUE DITCH,5300584,SHOSHONE POWER PLANT,44.166,33.99,40.95,36,147.54,1408.0,53,1808.5977
3703517,G G RESERVOIR,5300584,SHOSHONE POWER PLANT,44.166,9.27,192.78,37,147.54,1408.0,53,8514.321479999999
3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT,44.166,15.77,209199.0,36,147.54,1408.0,53,9239483.034
5203946,OXFORD RESERVOIR,5300584,SHOSHONE POWER PLANT,44.166,200.7,76.1,52,147.54,1408.0,53,3361.0325999999995
5003624,MARTIN LILY POND RESERVOIR,5300584,SHOSHONE POWER PLANT,44.166,52.41,803.0,50,147.54,1408.0,53,35465.297999999995
5000768,MARTIN LILY POND FEEDER DITCH,5300584,SHOSHONE POWER PLANT,44.166,54.19,33.45,50,147.54,1408.0,53,1477.3527
3603548,HOAGLAND NO 1 RESERVOIR,5300584,SHOSHONE POWER PLANT,36.666,2.97,921.5,36,147.54,1408.0,53,33787.719
3600649,HAMILTON DAVIDSON DITCH,5300584,SHOSHONE POWER PLANT,36.666,1.56,50.39,36,147.54,1408.0,53,1847.5997399999999
4500969,BLUESTONE VALLEY DITCH,7200646,GRAND VALLEY PROJECT,30.0,82.62,106.0,45,61.8,2313.7,72,3180.0
3803815,CORYELL POND NO 2A,7200646,GRAND VALLEY PROJECT,30.0,12.14,27.34,38,61.8,2313.7,72,820.2
3804019,FRANK POND 1,7200646,GRAND VALLEY PROJECT,30.0,2.76,2.3,38,61.8,2313.7,72,69.0
5303969,HADLEY NO 2 RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,8.21,13.14,53,147.54,1408.0,53,339.44562
5204013,TRIANGLE RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,10.92,0.1,52,147.54,1408.0,53,2.5833
5303569,PERRY POND NO 1,5300584,SHOSHONE POWER PLANT,25.833,1.83,1.41,53,147.54,1408.0,53,36.42453
5303570,PERRY POND NO 2,5300584,SHOSHONE POWER PLANT,25.833,10.8,1.41,53,147.54,1408.0,53,36.42453
5204003,PEYTON RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,7.24,0.1,52,147.54,1408.0,53,2.5833
5303971,HEART LAKE RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,17.8,3255.33,53,147.54,1408.0,53,84094.93989
5303571,PERRY POND NO 3,5300584,SHOSHONE POWER PLANT,25.833,1.83,3.49,53,147.54,1408.0,53,90.15717
5303587,KIDS POND,5300584,SHOSHONE POWER PLANT,25.833,223.43,4.2,53,147.54,1408.0,53,108.4986
5204008,SOUTHFORK RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,10.97,0.1,52,147.54,1408.0,53,2.5833
5303952,A J RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,9.33,22.24,53,147.54,1408.0,53,574.5259199999999
5204012,STEINRPI22 RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,205.17,0.2,52,147.54,1408.0,53,5.1666
5204006,REED RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,9.11,0.1,52,147.54,1408.0,53,2.5833
5303960,CRESENT LAKE RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,7.17,237.247,53,147.54,1408.0,53,6128.801751
5303972,HIDDEN SPRINGS RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,6.55,53.82,53,147.54,1408.0,53,1390.33206
5303961,ED W HARPER RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,28.73,194.19,53,147.54,1408.0,53,5016.51027
5303963,E M CURRY RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,3.0,26.0,53,147.54,1408.0,53,671.6579999999999
5303565,W DEAD HORSE RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,2.85,0.3,53,147.54,1408.0,53,7.749899999999999
5204005,PINJNRPI20 RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,204.34,0.1,52,147.54,1408.0,53,2.5833
5003641,WHEATLEY DIVR POND NO 2,5300584,SHOSHONE POWER PLANT,25.833,2.26,5.05,50,147.54,1408.0,53,130.45665
5303562,UP IS LAKE,5300584,SHOSHONE POWER PLANT,25.833,5.53,40.0,53,147.54,1408.0,53,1033.32
5303508,JARNOT POND 1,5300584,SHOSHONE POWER PLANT,25.833,2.17,3.0,53,147.54,1408.0,53,77.499
5300704,MIDDLE DERBY DITCH,5300584,SHOSHONE POWER PLANT,25.833,10.27,40.0,53,147.54,1408.0,53,1033.32
5300621,HIGHWATER DITCH,5300584,SHOSHONE POWER PLANT,25.833,24.25,16.0,53,147.54,1408.0,53,413.328
5300754,PIPELINE DITCH,5300584,SHOSHONE POWER PLANT,25.833,10.27,15.0,53,147.54,1408.0,53,387.495
5302006,MIN FLOW SWEETWATER CR,5300584,SHOSHONE POWER PLANT,25.833,0.02,18.0,53,147.54,1408.0,53,464.99399999999997
5300595,GRIMES BROOKS R INTAKE D,5300584,SHOSHONE POWER PLANT,25.833,3.97,22.0,53,147.54,1408.0,53,568.326
5300594,GRIMES BROOKS FDR2 D HG2,5300584,SHOSHONE POWER PLANT,25.833,2.8,23.32,53,147.54,1408.0,53,602.42556
5003644,ALBERT RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,6.1,125.26,50,147.54,1408.0,53,3235.84158
5204024,RIVER RANCH POND,5300584,SHOSHONE POWER PLANT,25.833,171.24,11.47,52,147.54,1408.0,53,296.30451
5302007,MIN FLOW DEEP CREEK,5300584,SHOSHONE POWER PLANT,25.833,0.02,14.0,53,147.54,1408.0,53,361.662
5303979,KING MOUNTAIN RES-UPPER,5300584,SHOSHONE POWER PLANT,25.833,13.7,25.08,53,147.54,1408.0,53,647.8916399999999
5204020,WASPRE PI21 RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,204.59,0.1,52,147.54,1408.0,53,2.5833
5302027,MIN LAKE HANGING LAKE,5300584,SHOSHONE POWER PLANT,25.833,0.79,5.0,53,147.54,1408.0,53,129.165
5303509,JARNOT POND 2,5300584,SHOSHONE POWER PLANT,25.833,2.17,5.0,53,147.54,1408.0,53,129.165
5303543,LOST LAKE,5300584,SHOSHONE POWER PLANT,25.833,10.67,0.1,53,147.54,1408.0,53,2.5833
5303510,GALLEGOS RANCH POND NO.1,5300584,SHOSHONE POWER PLANT,25.833,10.8,4.48,53,147.54,1408.0,53,115.73184
5303511,GALLEGOS RANCH POND NO.2,5300584,SHOSHONE POWER PLANT,25.833,10.8,2.94,53,147.54,1408.0,53,75.94901999999999
5303512,GALLEGOS RANCH POND NO.3,5300584,SHOSHONE POWER PLANT,25.833,10.8,4.25,53,147.54,1408.0,53,109.79024999999999
5303513,GALLEGOS RANCH POND NO.4,5300584,SHOSHONE POWER PLANT,25.833,10.82,5.0,53,147.54,1408.0,53,129.165
5204019,WALTER RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,9.11,0.1,52,147.54,1408.0,53,2.5833
5303514,OLSON POND,5300584,SHOSHONE POWER PLANT,25.833,0.05,2.0,53,147.54,1408.0,53,51.666
5303515,SHOP POND,5300584,SHOSHONE POWER PLANT,25.833,5.53,33.4,53,147.54,1408.0,53,862.8222
5204018,UNCAPHER SPR RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,9.79,0.1,52,147.54,1408.0,53,2.5833
5303520,SKELTON DUCK POND,5300584,SHOSHONE POWER PLANT,25.833,7.89,8.0,53,147.54,1408.0,53,206.664
5300662,KEEP DITCH,5300584,SHOSHONE POWER PLANT,25.833,1.42,16.0,53,147.54,1408.0,53,413.328
5303536,HANGING LAKE,5300584,SHOSHONE POWER PLANT,25.833,148.05,2.0,53,147.54,1408.0,53,51.666
5204014,TWINPINE RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,6.59,0.2,52,147.54,1408.0,53,5.1666
5303978,KELLY RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,20.33,226.22,53,147.54,1408.0,53,5843.94126
5104057,CORRAL CREEK POND,5300584,SHOSHONE POWER PLANT,25.833,0.06,5.0,51,147.54,1408.0,53,129.165
5303982,LUARK RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,1.68,90.66,53,147.54,1408.0,53,2342.0197799999996
5303983,MCCOY RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,5.04,24.84,53,147.54,1408.0,53,641.6917199999999
3703992,RED CANYON POND 15C,5300584,SHOSHONE POWER PLANT,25.833,2.11,0.05,37,147.54,1408.0,53,1.29165
3704078,BRUSH CREEK ROAD AUG POND,5300584,SHOSHONE POWER PLANT,25.833,9.21,12.5,37,147.54,1408.0,53,322.91249999999997
3704093,JONES CASTLE CREEK POND NO. 2,5300584,SHOSHONE POWER PLANT,25.833,1.86,2.5,37,147.54,1408.0,53,64.5825
3704516,HOMESTAKE PROJ RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,13.87,43989.7,37,147.54,1408.0,53,1136385.9200999998
3704614,HOMESTAKE PROJ TUNNEL,5300584,SHOSHONE POWER PLANT,25.833,13.87,300.0,37,147.54,1408.0,53,7749.9
3704643,HOMESTAKE PROJ CONDUIT,5300584,SHOSHONE POWER PLANT,25.833,12.93,179.8,37,147.54,1408.0,53,4644.7734
5000606,MISSOURI DITCH,5300584,SHOSHONE POWER PLANT,25.833,13.51,98.0,50,147.54,1408.0,53,2531.634
5000662,WHEATLEY DITCH NO 2,5300584,SHOSHONE POWER PLANT,25.833,2.76,17.54,50,147.54,1408.0,53,453.11081999999993
5000754,KIRTZ DITCH NO 2 HG NO 4,5300584,SHOSHONE POWER PLANT,25.833,11.04,12.0,50,147.54,1408.0,53,309.996
5000762,MCMAHON DITCH (DEER CR),5300584,SHOSHONE POWER PLANT,25.833,3.53,18.0,50,147.54,1408.0,53,464.99399999999997
5000770,CARTER CREEK FEEDER DITCH,5300584,SHOSHONE POWER PLANT,25.833,4.03,102.5,50,147.54,1408.0,53,2647.8824999999997
5002000,MIN FLOW MUDDY CREEK,5300584,SHOSHONE POWER PLANT,25.833,13.07,20.0,50,147.54,1408.0,53,516.66
5003620,INFANGER RESERVOIR NO 2,5300584,SHOSHONE POWER PLANT,25.833,4.06,20.32,50,147.54,1408.0,53,524.92656
5003621,INFANGER RESERVOIR NO 3,5300584,SHOSHONE POWER PLANT,25.833,3.66,4.92,50,147.54,1408.0,53,127.09835999999999
5003623,LAKE AGNES,5300584,SHOSHONE POWER PLANT,25.833,52.88,431.9,50,147.54,1408.0,53,11157.2727
5003625,MATHESON RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,21.16,1073.6,50,147.54,1408.0,53,27734.308799999995
5003629,MCMAHON RESERVOIR NO 2,5300584,SHOSHONE POWER PLANT,25.833,13.11,3500.0,50,147.54,1408.0,53,90415.5
3703991,RED CANYON POND 15 (B),5300584,SHOSHONE POWER PLANT,25.833,2.06,0.05,37,147.54,1408.0,53,1.29165
3703990,RED CANYON POND 15 (A),5300584,SHOSHONE POWER PLANT,25.833,1.99,0.2,37,147.54,1408.0,53,5.1666
3703987,BEAVER CR SNOWMAKING RES NO 1,5300584,SHOSHONE POWER PLANT,25.833,3.3,130.0,37,147.54,1408.0,53,3358.29
3703949,RED CANYON ESTATES POND # 11B,5300584,SHOSHONE POWER PLANT,25.833,1.66,0.06,37,147.54,1408.0,53,1.54998
3703935,COTTON RANCH POND NO 4,5300584,SHOSHONE POWER PLANT,25.833,1.54,1.79,37,147.54,1408.0,53,46.24107
3703936,BRANDON POND,5300584,SHOSHONE POWER PLANT,25.833,1.46,8.0,37,147.54,1408.0,53,206.664
3703937,VANHEE POND NO 1,5300584,SHOSHONE POWER PLANT,25.833,0.92,0.142,37,147.54,1408.0,53,3.6682859999999993
3703938,VANHEE POND NO 2,5300584,SHOSHONE POWER PLANT,25.833,0.92,0.034,37,147.54,1408.0,53,0.878322
3703939,VANHEE POND NO 3,5300584,SHOSHONE POWER PLANT,25.833,0.91,0.223,37,147.54,1408.0,53,5.760759
3703944,BUCKHORN POND NO 1,5300584,SHOSHONE POWER PLANT,25.833,1.92,77.05,37,147.54,1408.0,53,1990.4326499999997
3703948,RED CANYON ESTATES POND # 11A,5300584,SHOSHONE POWER PLANT,25.833,1.7,0.07,37,147.54,1408.0,53,1.80831
3703950,RED CANYON ESTATES POND # 11C,5300584,SHOSHONE POWER PLANT,25.833,1.65,0.016,37,147.54,1408.0,53,0.413328
3703977,CALHOUN-BUDDY'S POND,5300584,SHOSHONE POWER PLANT,25.833,0.69,0.5,37,147.54,1408.0,53,12.9165
3703954,GYPSUM RANCH SAND & GRAVEL PIT,5300584,SHOSHONE POWER PLANT,25.833,,4.24,37,147.54,1408.0,53,109.53192
3703955,CORDILLERA GOLF COURSE POND NO. 1,5300584,SHOSHONE POWER PLANT,25.833,2.75,7.1,37,147.54,1408.0,53,183.41429999999997
3703956,CORDILLERA GOLF COURSE POND NO. 2,5300584,SHOSHONE POWER PLANT,25.833,2.82,7.36,37,147.54,1408.0,53,190.13088
3703958,CORDILLERA GOLF COURSE POND NO. 4,5300584,SHOSHONE POWER PLANT,25.833,2.91,18.84,37,147.54,1408.0,53,486.69372
3703960,CORDILLERA GOLF COURSE POND NO. 6,5300584,SHOSHONE POWER PLANT,25.833,3.1,8.23,37,147.54,1408.0,53,212.60559
3703969,CORDILLERA RES NO. 1,5300584,SHOSHONE POWER PLANT,25.833,2.22,7.5,37,147.54,1408.0,53,193.7475
3703976,CALHOUN POND NO.1,5300584,SHOSHONE POWER PLANT,25.833,0.35,0.72,37,147.54,1408.0,53,18.59976
5003632,PARSONS RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,4.41,107.35,50,147.54,1408.0,53,2773.17255
5304057,WILBURS POND,5300584,SHOSHONE POWER PLANT,25.833,8.27,2.5,53,147.54,1408.0,53,64.5825
5304056,TOWER POND,5300584,SHOSHONE POWER PLANT,25.833,8.27,25.0,53,147.54,1408.0,53,645.8249999999999
5304002,TRAIL RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,6.05,29.97,53,147.54,1408.0,53,774.2150099999999
5304019,LYLE FISH POND NO 1,5300584,SHOSHONE POWER PLANT,25.833,7.86,0.826,53,147.54,1408.0,53,21.338057999999997
5304017,JACK HILL RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,2.23,2.75,53,147.54,1408.0,53,71.04075
5304015,HERRES POND,5300584,SHOSHONE POWER PLANT,25.833,0.2,0.16399999999999998,53,147.54,1408.0,53,4.236611999999999
5304014,GEORGE A GATES RES NO 2,5300584,SHOSHONE POWER PLANT,25.833,3.18,18.0,53,147.54,1408.0,53,464.99399999999997
5304013,GEORGE A GATES RES NO 1,5300584,SHOSHONE POWER PLANT,25.833,2.86,6.0,53,147.54,1408.0,53,154.998
5304004,WOHLER RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,4.11,110.71,53,147.54,1408.0,53,2859.9714299999996
5204000,MONIGFLAT RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,14.06,0.1,52,147.54,1408.0,53,2.5833
5303999,TONIER GULCH RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,7.52,64.3,53,147.54,1408.0,53,1661.0619
5304023,TROUTVILLE POND NO 1,5300584,SHOSHONE POWER PLANT,25.833,3.47,0.5,53,147.54,1408.0,53,12.9165
5303998,TEPE RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,3.35,10.52,53,147.54,1408.0,53,271.76315999999997
5303996,STOUT RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,6.69,8.26,53,147.54,1408.0,53,213.38057999999998
5303995,STERNER RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,25.29,532.1,53,147.54,1408.0,53,13745.7393
5303994,SAWMILL RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,7.15,10.15,53,147.54,1408.0,53,262.20495
5003640,WHEATLEY DIVR POND NO 1,5300584,SHOSHONE POWER PLANT,25.833,2.77,3.54,50,147.54,1408.0,53,91.44882
5303989,NOBLE RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,2.92,32.6,53,147.54,1408.0,53,842.1558
5303988,NEWTON GULCH RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,12.92,495.77,53,147.54,1408.0,53,12807.22641
5304020,MACKINAW LAKE RES NO 2,5300584,SHOSHONE POWER PLANT,25.833,7.61,79.028,53,147.54,1408.0,53,2041.530324
5304024,TROUTVILLE POND NO 2,5300584,SHOSHONE POWER PLANT,25.833,3.45,0.8,53,147.54,1408.0,53,20.6664
5304055,CLOVER POND,5300584,SHOSHONE POWER PLANT,25.833,4.89,0.5,53,147.54,1408.0,53,12.9165
5304046,RED DIRT POND NO 3,5300584,SHOSHONE POWER PLANT,25.833,3.35,1.5,53,147.54,1408.0,53,38.7495
5304054,CABIN POND NO 3,5300584,SHOSHONE POWER PLANT,25.833,4.93,0.16,53,147.54,1408.0,53,4.13328
5304053,CABIN POND NO 2,5300584,SHOSHONE POWER PLANT,25.833,4.98,0.13,53,147.54,1408.0,53,3.3582899999999998
5304052,CABIN POND NO 1,5300584,SHOSHONE POWER PLANT,25.833,5.01,0.25,53,147.54,1408.0,53,6.45825
5304050,RUSSELL POND NO 4,5300584,SHOSHONE POWER PLANT,25.833,3.71,0.5,53,147.54,1408.0,53,12.9165
5304049,RUSSELL POND NO 3,5300584,SHOSHONE POWER PLANT,25.833,3.72,1.0,53,147.54,1408.0,53,25.833
5304048,RUSSELL POND NO 2,5300584,SHOSHONE POWER PLANT,25.833,3.73,6.0,53,147.54,1408.0,53,154.998
5304047,RUSSELL POND NO 1,5300584,SHOSHONE POWER PLANT,25.833,3.67,7.2,53,147.54,1408.0,53,185.9976
5304045,RED DIRT POND NO 2,5300584,SHOSHONE POWER PLANT,25.833,3.17,1.0,53,147.54,1408.0,53,25.833
5304025,TROUTVILLE POND NO 3,5300584,SHOSHONE POWER PLANT,25.833,3.35,1.0,53,147.54,1408.0,53,25.833
5304044,RED DIRT POND NO 1,5300584,SHOSHONE POWER PLANT,25.833,3.01,1.5,53,147.54,1408.0,53,38.7495
5304043,UPPER MCLEAN RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,8.13,9.3,53,147.54,1408.0,53,240.2469
5304042,LOWER MCLEAN RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,7.97,7.75,53,147.54,1408.0,53,200.20575
5304036,STEPHENS POND NO 3,5300584,SHOSHONE POWER PLANT,25.833,10.79,2.0,53,147.54,1408.0,53,51.666
5304035,STEPHENS POND NO 2,5300584,SHOSHONE POWER PLANT,25.833,9.84,2.4,53,147.54,1408.0,53,61.999199999999995
5304034,STEPHENS POND NO 1,5300584,SHOSHONE POWER PLANT,25.833,8.86,40.0,53,147.54,1408.0,53,1033.32
5304026,TROUTVILLE POND NO 4,5300584,SHOSHONE POWER PLANT,25.833,3.27,0.5,53,147.54,1408.0,53,12.9165
5204002,NELKREPI24 RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,206.39,0.1,52,147.54,1408.0,53,2.5833
5203949,ROCK GAP DAM,5300584,SHOSHONE POWER PLANT,25.833,2.26,51.69,52,147.54,1408.0,53,1335.30777
5203996,FILBUR RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,4.62,0.1,52,147.54,1408.0,53,2.5833
5102048,MIN LEVEL STONE LAKE,5300584,SHOSHONE POWER PLANT,25.833,4.1,24.0,51,147.54,1408.0,53,619.992
5103516,POLE CREEK GOLF COURSE POND NO 1,5300584,SHOSHONE POWER PLANT,25.833,3.65,2.55,51,147.54,1408.0,53,65.87414999999999
5103515,RANCH CREEK RANCH POND,5300584,SHOSHONE POWER PLANT,25.833,10.04,2.06,51,147.54,1408.0,53,53.215979999999995
5103502,NEWBERRY POND,5300584,SHOSHONE POWER PLANT,25.833,1.14,12.0,51,147.54,1408.0,53,309.996
5103501,ZEPHYR POND NO 1,5300584,SHOSHONE POWER PLANT,25.833,4.86,8.0,51,147.54,1408.0,53,206.664
5103500,BAUMBERGER POND,5300584,SHOSHONE POWER PLANT,25.833,0.94,5.17,51,147.54,1408.0,53,133.55660999999998
5102115,MIN FLOW WILLOW CREEK CABIN CK - BLM,5300584,SHOSHONE POWER PLANT,25.833,14.0,30.0,51,147.54,1408.0,53,774.99
5102114,MIN FLOW FRASER RIVER CROOKED CK - COLORADO RIVER,5300584,SHOSHONE POWER PLANT,25.833,13.59,30.0,51,147.54,1408.0,53,774.99
5102113,MIN FLOW FRASER RIVER RANCH CK - CROOKED CK,5300584,SHOSHONE POWER PLANT,25.833,13.59,17.0,51,147.54,1408.0,53,439.16099999999994
5102112,MIN FLOW ST LOUIS CK - WEST ST LOUIS-KING CREEK,5300584,SHOSHONE POWER PLANT,25.833,4.41,11.0,51,147.54,1408.0,53,284.163
