analysisWdid,analysisStructure,priorityWdid,priorityStructure,sumWtdCount,analysisStreamMile,analysisNetAbs,analysisWaterDistrict,priorityStreamMile,priorityNetAbs,priorityWaterDistrict,edgeWt
5003668,WOLFORD MOUNTAIN RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,60.999,13.16,78849,50,15.77,209199,36,4809710.151
5303955,BEAVER DAM RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,60.999,1.51,13,53,15.77,209199,36,792.987
5104700,WINDY GAP PUMP PL CANAL,3603543,GREEN MOUNTAIN RESERVOIR,60.999,257.52,600,51,15.77,209199,36,36599.4
5303966,GRIMES BROOKS RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,60.999,5.95,554.06,53,15.77,209199,36,33797.10594
5003647,CONFLUENCE RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,60.999,2.94,17,50,15.77,209199,36,1036.983
3703524,SYLVAN LAKE,5300584,SHOSHONE POWER PLANT,60.669,5.26,1002.58,37,147.54,1408,53,60825.52602
3604923,CLIMAX INTEGRATED WATER SYSTEM,5300584,SHOSHONE POWER PLANT,43.335,18.46,519.3342,36,147.54,1408,53,22505.34756
5304051,BUCK POND,3603543,GREEN MOUNTAIN RESERVOIR,40.666,3.61,21.4,53,15.77,209199,36,870.2524
5104007,GLENN POND NO 1,3603543,GREEN MOUNTAIN RESERVOIR,40.666,5.59,4.74,51,15.77,209199,36,192.75684
5304041,HEWES RESERVOIR NO 4,3603543,GREEN MOUNTAIN RESERVOIR,40.666,22,6,53,15.77,209199,36,243.996
5104008,GLENN POND NO 2,3603543,GREEN MOUNTAIN RESERVOIR,40.666,5.5,2.28,51,15.77,209199,36,92.71848
5003651,BASIN RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,40.666,43.8,233.38,50,15.77,209199,36,9490.63108
3604923,CLIMAX INTEGRATED WATER SYSTEM,3603543,GREEN MOUNTAIN RESERVOIR,40.666,18.46,519.3342,36,15.77,209199,36,21119.24458
5003649,HEINI-KRAMER RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,40.666,5,38.2,50,15.77,209199,36,1553.4412
5003616,HEINI RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,40.666,3.29,204.77,50,15.77,209199,36,8327.17682
5003624,MARTIN LILY POND RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,40.666,52.41,803,50,15.77,209199,36,32654.798
5003648,LEWIS RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,40.666,5.66,93.24,50,15.77,209199,36,3791.69784
3603548,HOAGLAND NO 1 RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,40.666,2.97,921.5,36,15.77,209199,36,37473.719
5003655,MILK CREEK RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,40.666,2.67,185.05,50,15.77,209199,36,7525.2433
5003646,MARTIN RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,40.666,0,216.15,50,15.77,209199,36,8789.9559
5003645,BINCO RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,40.666,4.5,1033.94,50,15.77,209199,36,42046.20404
5003618,HINMAN RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,40.666,3.97,916.64,50,15.77,209199,36,37276.08224
3703596,COTTON POND,3603543,GREEN MOUNTAIN RESERVOIR,40.666,1.42,10.114,37,15.77,209199,36,411.295924
5104021,MEADOW SPRINGS RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,40.666,3.19,2.21,51,15.77,209199,36,89.87186
3703600,BENCHMARK LAKE,3603543,GREEN MOUNTAIN RESERVOIR,40.666,37.52,271.8686,37,15.77,209199,36,11055.80849
3603575,CLINTON GULCH RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,40.666,18.41,8710,36,15.77,209199,36,354200.86
3703608,BLACK LAKE,3603543,GREEN MOUNTAIN RESERVOIR,40.666,7.56,396.36,37,15.77,209199,36,16118.37576
5103552,GRAND ELK POND A,3603543,GREEN MOUNTAIN RESERVOIR,40.666,1.3,33.55,51,15.77,209199,36,1364.3443
5303570,PERRY POND NO 2,3603543,GREEN MOUNTAIN RESERVOIR,40.666,10.8,1.41,53,15.77,209199,36,57.33906
5303571,PERRY POND NO 3,3603543,GREEN MOUNTAIN RESERVOIR,40.666,1.83,3.49,53,15.77,209199,36,141.92434
5303588,GORE VIEW POND,3603543,GREEN MOUNTAIN RESERVOIR,40.666,222.2,14.1,53,15.77,209199,36,573.3906
3702056,MIN FLOW GORE CR LOWER,3603543,GREEN MOUNTAIN RESERVOIR,40.666,0.01,36,37,15.77,209199,36,1463.976
3603624,SWAN RIVER WATER SYSTEM PONDS,3603543,GREEN MOUNTAIN RESERVOIR,40.666,1.41,56,36,15.77,209199,36,2277.296
5103529,TIMBERLINE POND,3603543,GREEN MOUNTAIN RESERVOIR,40.666,0.24,4.24,51,15.77,209199,36,172.42384
5303518,WASHBURN CABIN POND,3603543,GREEN MOUNTAIN RESERVOIR,40.666,7.25,28,53,15.77,209199,36,1138.648
5303976,JONES NO 3 RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,40.666,3.73,84.89,53,15.77,209199,36,3452.13674
5103709,WILLIAMS FORK RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,40.666,2.22,187274,51,15.77,209199,36,7615684.484
5003606,ANTELOPE RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,40.666,3.34,346.5,50,15.77,209199,36,14090.769
5103720,VAGABOND RANCH POND,3603543,GREEN MOUNTAIN RESERVOIR,40.666,29.9,1.884,51,15.77,209199,36,76.614744
3703689,CORNWELL POND NO 1,3603543,GREEN MOUNTAIN RESERVOIR,40.666,0.7,0.4,37,15.77,209199,36,16.2664
3603694,ARAPAHOE BASIN SNOWMAKING RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,40.666,4.78,5.6,36,15.77,209199,36,227.7296
5100763,KINNEY BARRIGER DITCH,3603543,GREEN MOUNTAIN RESERVOIR,40.666,236.23,65,51,15.77,209199,36,2643.29
3703684,BRETT RANCH POND,3603543,GREEN MOUNTAIN RESERVOIR,40.666,0.34,7.2,37,15.77,209199,36,292.7952
5004600,SARVIS DITCH,3603543,GREEN MOUNTAIN RESERVOIR,40.666,16.44,1670,50,15.77,209199,36,67912.22
5103750,FRASER VALLEY DOWNSTREAM RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,40.666,15.28,5.5,51,15.77,209199,36,223.663
5103752,KINGS RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,40.666,3.42,1127.35,51,15.77,209199,36,45844.8151
3703545,CAMP HALE POND NO 1,3603543,GREEN MOUNTAIN RESERVOIR,40.666,60.22,19,37,15.77,209199,36,772.654
5303569,PERRY POND NO 1,3603543,GREEN MOUNTAIN RESERVOIR,40.666,1.83,1.41,53,15.77,209199,36,57.33906
3703517,G G RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,40.666,9.27,192.78,37,15.77,209199,36,7839.59148
5104060,ASPEN CANYON RANCH POND 1,3603543,GREEN MOUNTAIN RESERVOIR,40.666,0.31,8,51,15.77,209199,36,325.328
5000734,DEBERARD DITCH OVERFLOW SYSTEM,3603543,GREEN MOUNTAIN RESERVOIR,40.666,3.21,96.4,50,15.77,209199,36,3920.2024
3600709,LOBACK DITCH,3603543,GREEN MOUNTAIN RESERVOIR,40.666,3.57,75.8,36,15.77,209199,36,3082.4828
5000617,MCMAHON DITCH,3603543,GREEN MOUNTAIN RESERVOIR,40.666,10.86,4094,50,15.77,209199,36,166486.604
3600671,INDEPENDENT BLUE DITCH,3603543,GREEN MOUNTAIN RESERVOIR,40.666,33.99,40.95,36,15.77,209199,36,1665.2727
5203940,JONES RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,40.666,1.86,69.1942,52,15.77,209199,36,2813.851337
5000768,MARTIN LILY POND FEEDER DITCH,3603543,GREEN MOUNTAIN RESERVOIR,40.666,54.19,33.45,50,15.77,209199,36,1360.2777
3703516,G G LOWER RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,40.666,7.6,36.52,37,15.77,209199,36,1485.12232
3600649,HAMILTON DAVIDSON DITCH,3603543,GREEN MOUNTAIN RESERVOIR,40.666,1.56,50.39,36,15.77,209199,36,2049.15974
5104700,WINDY GAP PUMP PL CANAL,5300584,SHOSHONE POWER PLANT,26.001,257.52,600,51,147.54,1408,53,15600.6
3600709,LOBACK DITCH,5300584,SHOSHONE POWER PLANT,26.001,3.57,75.8,36,147.54,1408,53,1970.8758
7003508,CNR POND NO 6,7200646,GRAND VALLEY PROJECT,26.001,5,31.74,70,61.8,2313.7,72,825.27174
5000734,DEBERARD DITCH OVERFLOW SYSTEM,5300584,SHOSHONE POWER PLANT,26.001,3.21,96.4,50,147.54,1408,53,2506.4964
5303966,GRIMES BROOKS RESERVOIR,5300584,SHOSHONE POWER PLANT,26.001,5.95,554.06,53,147.54,1408,53,14406.11406
3803815,CORYELL POND NO 2A,7200646,GRAND VALLEY PROJECT,26.001,12.14,27.34,38,61.8,2313.7,72,710.86734
5003668,WOLFORD MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT,26.001,13.16,78849,50,147.54,1408,53,2050152.849
5303955,BEAVER DAM RESERVOIR,5300584,SHOSHONE POWER PLANT,26.001,1.51,13,53,147.54,1408,53,338.013
5003647,CONFLUENCE RESERVOIR,5300584,SHOSHONE POWER PLANT,26.001,2.94,17,50,147.54,1408,53,442.017
3804019,FRANK POND 1,7200646,GRAND VALLEY PROJECT,26.001,2.76,2.3,38,61.8,2313.7,72,59.8023
5103682,LITTLE BUCKAROO FISH PND,3603543,GREEN MOUNTAIN RESERVOIR,20.333,291.1,1.91,51,15.77,209199,36,38.83603
3703769,LPL RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,20.333,4.36,10,37,15.77,209199,36,203.33
5103688,MUSGRAVE RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,20.333,4.94,312.17,51,15.77,209199,36,6347.35261
3703706,OGILBY RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,20.333,8.75,0.5,37,15.77,209199,36,10.1665
5103516,POLE CREEK GOLF COURSE POND NO 1,3603543,GREEN MOUNTAIN RESERVOIR,20.333,3.65,2.55,51,15.77,209199,36,51.84915
5103684,MARTE-LINKE RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,20.333,3.93,36.3,51,15.77,209199,36,738.0879
3703718,JHY RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,20.333,1.89,4.016,37,15.77,209199,36,81.657328
3703723,KNAPP POND NO 1,3603543,GREEN MOUNTAIN RESERVOIR,20.333,3.2,1.26,37,15.77,209199,36,25.61958
3703724,KNAPP POND NO 2,3603543,GREEN MOUNTAIN RESERVOIR,20.333,3.25,23.2,37,15.77,209199,36,471.7256
5103693,ROCK CREEK RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,20.333,2.15,193,51,15.77,209199,36,3924.269
5103665,HANKINSON RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,20.333,3.31,116.7,51,15.77,209199,36,2372.8611
3703727,JAN JOUFLAS POND,3603543,GREEN MOUNTAIN RESERVOIR,20.333,1.35,2.8,37,15.77,209199,36,56.9324
5103661,F W LINKE NO 3 RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,20.333,8.09,26.16,51,15.77,209199,36,531.91128
3703730,HOLLAND POND,3603543,GREEN MOUNTAIN RESERVOIR,20.333,28.02,10.2,37,15.77,209199,36,207.3966
5103660,F W LINKE NO 2 RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,20.333,1.97,61.2,51,15.77,209199,36,1244.3796
3703731,MIRANDA POND,3603543,GREEN MOUNTAIN RESERVOIR,20.333,2.09,4.1,37,15.77,209199,36,83.3653
5103659,F W LINKE RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,20.333,8.33,12.68,51,15.77,209199,36,257.82244
3703732,DRY LAKE,3603543,GREEN MOUNTAIN RESERVOIR,20.333,25.97,20,37,15.77,209199,36,406.66
3703704,14TH HOLE RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,20.333,35.11,1.3,37,15.77,209199,36,26.4329
3703703,CHAROLAIS RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,20.333,33.69,15.5,37,15.77,209199,36,315.1615
3703735,MCHATTON POND,3603543,GREEN MOUNTAIN RESERVOIR,20.333,2.8,5,37,15.77,209199,36,101.665
5203937,CHRISTENSEN DAM,3603543,GREEN MOUNTAIN RESERVOIR,20.333,0.67,10,52,15.77,209199,36,203.33
