,analysisDate,analysisWdid,analysisStructureName,analysisOutOfPriorityPercentOfDay,locationWdid,locationStructure,priorityWdid,priorityStructure
653,2002-06-17T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,66.7,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
654,2002-06-18T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
655,2002-06-19T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
656,2002-06-20T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
657,2002-06-21T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
658,2002-06-22T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
659,2002-06-23T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
660,2002-06-24T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
661,2002-06-25T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
662,2002-06-26T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,66.7,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
663,2002-06-27T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,33.3,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
664,2002-06-28T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
665,2002-06-29T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
666,2002-06-30T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
976,2002-06-17T00:00:00.0000000,3601051,FREMONT NO 1 DITCH - MIDDLE FORK,66.7,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
977,2002-06-18T00:00:00.0000000,3601051,FREMONT NO 1 DITCH - MIDDLE FORK,100,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
978,2002-06-19T00:00:00.0000000,3601051,FREMONT NO 1 DITCH - MIDDLE FORK,100,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
979,2002-06-20T00:00:00.0000000,3601051,FREMONT NO 1 DITCH - MIDDLE FORK,100,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
980,2002-06-21T00:00:00.0000000,3601051,FREMONT NO 1 DITCH - MIDDLE FORK,100,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
981,2002-06-22T00:00:00.0000000,3601051,FREMONT NO 1 DITCH - MIDDLE FORK,100,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
982,2002-06-23T00:00:00.0000000,3601051,FREMONT NO 1 DITCH - MIDDLE FORK,100,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
983,2002-06-24T00:00:00.0000000,3601051,FREMONT NO 1 DITCH - MIDDLE FORK,100,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
984,2002-06-25T00:00:00.0000000,3601051,FREMONT NO 1 DITCH - MIDDLE FORK,100,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
985,2002-06-26T00:00:00.0000000,3601051,FREMONT NO 1 DITCH - MIDDLE FORK,66.7,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
986,2002-06-27T00:00:00.0000000,3601051,FREMONT NO 1 DITCH - MIDDLE FORK,33.3,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
987,2002-06-28T00:00:00.0000000,3601051,FREMONT NO 1 DITCH - MIDDLE FORK,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
988,2002-06-29T00:00:00.0000000,3601051,FREMONT NO 1 DITCH - MIDDLE FORK,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
989,2002-06-30T00:00:00.0000000,3601051,FREMONT NO 1 DITCH - MIDDLE FORK,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
1299,2002-06-17T00:00:00.0000000,3601052,FREMONT NO 1 DITCH - NORTH FORK,66.7,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
1300,2002-06-18T00:00:00.0000000,3601052,FREMONT NO 1 DITCH - NORTH FORK,100,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
1301,2002-06-19T00:00:00.0000000,3601052,FREMONT NO 1 DITCH - NORTH FORK,100,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
1302,2002-06-20T00:00:00.0000000,3601052,FREMONT NO 1 DITCH - NORTH FORK,100,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
1303,2002-06-21T00:00:00.0000000,3601052,FREMONT NO 1 DITCH - NORTH FORK,100,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
1304,2002-06-22T00:00:00.0000000,3601052,FREMONT NO 1 DITCH - NORTH FORK,100,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
1305,2002-06-23T00:00:00.0000000,3601052,FREMONT NO 1 DITCH - NORTH FORK,100,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
1306,2002-06-24T00:00:00.0000000,3601052,FREMONT NO 1 DITCH - NORTH FORK,100,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
1307,2002-06-25T00:00:00.0000000,3601052,FREMONT NO 1 DITCH - NORTH FORK,100,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
1308,2002-06-26T00:00:00.0000000,3601052,FREMONT NO 1 DITCH - NORTH FORK,66.7,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
1309,2002-06-27T00:00:00.0000000,3601052,FREMONT NO 1 DITCH - NORTH FORK,33.3,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
1310,2002-06-28T00:00:00.0000000,3601052,FREMONT NO 1 DITCH - NORTH FORK,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
1311,2002-06-29T00:00:00.0000000,3601052,FREMONT NO 1 DITCH - NORTH FORK,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
1312,2002-06-30T00:00:00.0000000,3601052,FREMONT NO 1 DITCH - NORTH FORK,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
1622,2002-06-17T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,66.7,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
1623,2002-06-18T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,100,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
1624,2002-06-19T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,100,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
1625,2002-06-20T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,100,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
1626,2002-06-21T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,100,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
1627,2002-06-22T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,100,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
1628,2002-06-23T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,100,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
1629,2002-06-24T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,100,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
1630,2002-06-25T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,100,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
1631,2002-06-26T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,66.7,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
1632,2002-06-27T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,33.3,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
1633,2002-06-28T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
1634,2002-06-29T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
