,analysisDate,analysisWdid,analysisStructureName,analysisOutOfPriorityPercentOfDay,locationWdid,locationStructure,priorityWdid,priorityStructure
186,2001-12-05T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,29.2,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
187,2001-12-06T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
188,2001-12-07T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
189,2001-12-08T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
190,2001-12-09T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
191,2001-12-10T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
192,2001-12-11T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
193,2001-12-12T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
194,2001-12-13T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
195,2001-12-14T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
196,2001-12-15T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
197,2001-12-16T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
198,2001-12-17T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
199,2001-12-18T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
200,2001-12-19T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
201,2001-12-20T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
202,2001-12-21T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
203,2001-12-22T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
204,2001-12-23T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
205,2001-12-24T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
206,2001-12-25T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
207,2001-12-26T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
208,2001-12-27T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
209,2001-12-28T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
210,2001-12-29T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
211,2001-12-30T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
212,2001-12-31T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
323,2001-12-05T00:00:00.0000000,3601051,FREMONT NO 1 DITCH - MIDDLE FORK,29.2,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
324,2001-12-06T00:00:00.0000000,3601051,FREMONT NO 1 DITCH - MIDDLE FORK,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
325,2001-12-07T00:00:00.0000000,3601051,FREMONT NO 1 DITCH - MIDDLE FORK,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
326,2001-12-08T00:00:00.0000000,3601051,FREMONT NO 1 DITCH - MIDDLE FORK,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
327,2001-12-09T00:00:00.0000000,3601051,FREMONT NO 1 DITCH - MIDDLE FORK,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
328,2001-12-10T00:00:00.0000000,3601051,FREMONT NO 1 DITCH - MIDDLE FORK,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
329,2001-12-11T00:00:00.0000000,3601051,FREMONT NO 1 DITCH - MIDDLE FORK,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
330,2001-12-12T00:00:00.0000000,3601051,FREMONT NO 1 DITCH - MIDDLE FORK,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
331,2001-12-13T00:00:00.0000000,3601051,FREMONT NO 1 DITCH - MIDDLE FORK,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
332,2001-12-14T00:00:00.0000000,3601051,FREMONT NO 1 DITCH - MIDDLE FORK,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
