,analysisDate,analysisWdid,analysisStructureName,analysisOutOfPriorityPercentOfDay,locationWdid,locationStructure,priorityWdid,priorityStructure
649,2002-05-01T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,33.3,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
650,2002-05-14T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,66.7,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
651,2002-05-15T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
652,2002-05-16T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,33.3,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
972,2002-05-01T00:00:00.0000000,3601051,FREMONT NO 1 DITCH - MIDDLE FORK,33.3,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
973,2002-05-14T00:00:00.0000000,3601051,FREMONT NO 1 DITCH - MIDDLE FORK,66.7,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
974,2002-05-15T00:00:00.0000000,3601051,FREMONT NO 1 DITCH - MIDDLE FORK,100,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
975,2002-05-16T00:00:00.0000000,3601051,FREMONT NO 1 DITCH - MIDDLE FORK,33.3,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
1295,2002-05-01T00:00:00.0000000,3601052,FREMONT NO 1 DITCH - NORTH FORK,33.3,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
1296,2002-05-14T00:00:00.0000000,3601052,FREMONT NO 1 DITCH - NORTH FORK,66.7,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
1297,2002-05-15T00:00:00.0000000,3601052,FREMONT NO 1 DITCH - NORTH FORK,100,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
1298,2002-05-16T00:00:00.0000000,3601052,FREMONT NO 1 DITCH - NORTH FORK,33.3,3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT
