,analysisDate,analysisWdid,analysisStructureName,analysisOutOfPriorityPercentOfDay,locationWdid,locationStructure,priorityWdid,priorityStructure
28516,2001-06-24T00:00:00.0000000,5303982,LUARK RESERVOIR,54.2,5300584,SHOSHONE POWER PLANT,3604684,BLUE RIVER DIVERSION PROJECT
28517,2001-06-25T00:00:00.0000000,5303982,LUARK RESERVOIR,68.8,5300584,SHOSHONE POWER PLANT,3604684,BLUE RIVER DIVERSION PROJECT
28843,2001-06-24T00:00:00.0000000,5303961,ED W HARPER RESERVOIR,54.2,5300584,SHOSHONE POWER PLANT,3604684,BLUE RIVER DIVERSION PROJECT
28844,2001-06-25T00:00:00.0000000,5303961,ED W HARPER RESERVOIR,68.8,5300584,SHOSHONE POWER PLANT,3604684,BLUE RIVER DIVERSION PROJECT
29145,2001-06-24T00:00:00.0000000,3603549,JONES RESERVOIR,54.2,5300584,SHOSHONE POWER PLANT,3604684,BLUE RIVER DIVERSION PROJECT
29146,2001-06-25T00:00:00.0000000,3603549,JONES RESERVOIR,68.8,5300584,SHOSHONE POWER PLANT,3604684,BLUE RIVER DIVERSION PROJECT
29472,2001-06-24T00:00:00.0000000,5300621,HIGHWATER DITCH,54.2,5300584,SHOSHONE POWER PLANT,3604684,BLUE RIVER DIVERSION PROJECT
29473,2001-06-25T00:00:00.0000000,5300621,HIGHWATER DITCH,68.8,5300584,SHOSHONE POWER PLANT,3604684,BLUE RIVER DIVERSION PROJECT
29774,2001-06-24T00:00:00.0000000,5203939,HURT RESERVOIR,54.2,5300584,SHOSHONE POWER PLANT,3604684,BLUE RIVER DIVERSION PROJECT
29775,2001-06-25T00:00:00.0000000,5203939,HURT RESERVOIR,68.8,5300584,SHOSHONE POWER PLANT,3604684,BLUE RIVER DIVERSION PROJECT
30101,2001-06-24T00:00:00.0000000,3600780,PLUNGER DITCH,54.2,5300584,SHOSHONE POWER PLANT,3604684,BLUE RIVER DIVERSION PROJECT
30102,2001-06-25T00:00:00.0000000,3600780,PLUNGER DITCH,68.8,5300584,SHOSHONE POWER PLANT,3604684,BLUE RIVER DIVERSION PROJECT
