,analysisDate,analysisWdid,analysisStructureName,analysisOutOfPriorityPercentOfDay,locationWdid,locationStructure,priorityWdid,priorityStructure
254,2000-12-01T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
255,2000-12-02T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
256,2000-12-03T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
257,2000-12-04T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
258,2000-12-05T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
259,2000-12-06T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
260,2000-12-07T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
261,2000-12-08T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
262,2000-12-09T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
263,2000-12-10T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
264,2000-12-11T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
265,2000-12-12T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
266,2000-12-13T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
267,2000-12-14T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
268,2000-12-15T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
269,2000-12-16T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
270,2000-12-17T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
271,2000-12-18T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
272,2000-12-19T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
273,2000-12-20T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
274,2000-12-21T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
275,2000-12-22T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
276,2000-12-23T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
