,analysisDate,analysisWdid,analysisStructureName,analysisOutOfPriorityPercentOfDay,locationWdid,locationStructure,priorityWdid,priorityStructure
99,2003-04-01T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
100,2003-04-02T00:00:00.0000000,3600912,TIGER RUN - BLUE RIVER DIVERSION,33.3,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
269,2003-04-01T00:00:00.0000000,3601051,FREMONT NO 1 DITCH - MIDDLE FORK,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
270,2003-04-02T00:00:00.0000000,3601051,FREMONT NO 1 DITCH - MIDDLE FORK,33.3,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
439,2003-04-01T00:00:00.0000000,3601052,FREMONT NO 1 DITCH - NORTH FORK,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
440,2003-04-02T00:00:00.0000000,3601052,FREMONT NO 1 DITCH - NORTH FORK,33.3,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
609,2003-04-01T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
610,2003-04-02T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,33.3,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
779,2003-04-01T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
780,2003-04-02T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,33.3,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
949,2003-04-01T00:00:00.0000000,5203948,PRICE RESERVOIR,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
950,2003-04-02T00:00:00.0000000,5203948,PRICE RESERVOIR,33.3,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
1125,2003-04-01T00:00:00.0000000,3703842,HELLSHOLE RESERVOIR,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
1126,2003-04-02T00:00:00.0000000,3703842,HELLSHOLE RESERVOIR,33.3,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
1295,2003-04-01T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
1296,2003-04-02T00:00:00.0000000,3604923,CLIMAX INTEGRATED WATER SYSTEM,33.3,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
1483,2003-04-01T00:00:00.0000000,5303991,REID NO 1 RESERVOIR,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
1484,2003-04-02T00:00:00.0000000,5303991,REID NO 1 RESERVOIR,33.3,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
1653,2003-04-01T00:00:00.0000000,3603538,CATARACT LAKE,100,5300584,SHOSHONE POWER PLANT,5300584,SHOSHONE POWER PLANT
