analysisDate,analysisWdid,analysisStructureName,analysisWrAdminNo,analysisOutOfPriorityPercentOfDay,division,callType,dateTimeSet,dateTimeReleased,waterSourceName,locationWdid,locationStructure,locationWdidStreamMile,priorityWdid,priorityStructure,priorityAdminNo,priorityOrderNo,priorityDate,priorityNo,boundingWdid,boundingStructureName,setComments,releaseComment
2000-01-01T00:00:00.0000000,3603542,GOOSE PASTURE TARN,11146.00000,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2000-01-02T00:00:00.0000000,3603542,GOOSE PASTURE TARN,11146.00000,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2000-01-03T00:00:00.0000000,3603542,GOOSE PASTURE TARN,11146.00000,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2000-01-04T00:00:00.0000000,3603542,GOOSE PASTURE TARN,11146.00000,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2000-01-05T00:00:00.0000000,3603542,GOOSE PASTURE TARN,11146.00000,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2000-01-06T00:00:00.0000000,3603542,GOOSE PASTURE TARN,11146.00000,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2000-01-07T00:00:00.0000000,3603542,GOOSE PASTURE TARN,11146.00000,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2000-01-08T00:00:00.0000000,3603542,GOOSE PASTURE TARN,11146.00000,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2000-01-09T00:00:00.0000000,3603542,GOOSE PASTURE TARN,11146.00000,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2000-01-10T00:00:00.0000000,3603542,GOOSE PASTURE TARN,11146.00000,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2000-01-11T00:00:00.0000000,3603542,GOOSE PASTURE TARN,11146.00000,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2000-01-12T00:00:00.0000000,3603542,GOOSE PASTURE TARN,11146.00000,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2000-01-13T00:00:00.0000000,3603542,GOOSE PASTURE TARN,11146.00000,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2000-01-14T00:00:00.0000000,3603542,GOOSE PASTURE TARN,11146.00000,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2000-01-15T00:00:00.0000000,3603542,GOOSE PASTURE TARN,11146.00000,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2000-01-16T00:00:00.0000000,3603542,GOOSE PASTURE TARN,11146.00000,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
