PageNumber,PageCount,ResultCount,ResultDateTime
1,1,5479,2020-11-13T07:28:25.0158767-07:00
stationNum,abbrev,usgsSiteId,measType,measDate,value,flagA,flagB,flagC,flagD,dataSource,modified,measUnit
553,BUZOWECO,09096800,Streamflow,1955-11-08T00:00:00.0000000-07:00,1.200000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-11-09T00:00:00.0000000-07:00,1.400000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-11-10T00:00:00.0000000-07:00,1.600000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-11-11T00:00:00.0000000-07:00,1.500000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-11-12T00:00:00.0000000-07:00,1.500000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-11-13T00:00:00.0000000-07:00,1.400000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-11-14T00:00:00.0000000-07:00,1.300000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-11-15T00:00:00.0000000-07:00,1.400000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-11-16T00:00:00.0000000-07:00,1.400000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-11-17T00:00:00.0000000-07:00,1.400000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-11-18T00:00:00.0000000-07:00,1.400000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-11-19T00:00:00.0000000-07:00,1.400000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-11-20T00:00:00.0000000-07:00,1.400000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-11-21T00:00:00.0000000-07:00,1.400000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-11-22T00:00:00.0000000-07:00,1.400000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-11-23T00:00:00.0000000-07:00,1.400000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-11-24T00:00:00.0000000-07:00,1.400000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-11-25T00:00:00.0000000-07:00,1.400000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-11-26T00:00:00.0000000-07:00,1.400000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-11-27T00:00:00.0000000-07:00,1.400000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-11-28T00:00:00.0000000-07:00,1.400000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-11-29T00:00:00.0000000-07:00,1.400000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-11-30T00:00:00.0000000-07:00,1.400000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-12-01T00:00:00.0000000-07:00,1.400000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-12-02T00:00:00.0000000-07:00,1.400000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-12-03T00:00:00.0000000-07:00,1.400000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
553,BUZOWECO,09096800,Streamflow,1955-12-04T00:00:00.0000000-07:00,1.400000,A,,,,USGS,2015-06-17T11:53:02.5930000-06:00,cfs
