analysisDate,analysisWdid,analysisStructureName,analysisWrAdminNo,analysisOutOfPriorityPercentOfDay,division,callType,dateTimeSet,dateTimeReleased,waterSourceName,locationWdid,locationStructure,locationWdidStreamMile,priorityWdid,priorityStructure,priorityAdminNo,priorityOrderNo,priorityDate,priorityNo,boundingWdid,boundingStructureName,setComments,releaseComment
2016-07-13T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,70.8,5,CALL,2016-07-13T07:00:00.0000000,2016-07-28T11:00:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200730,KIGGINS SALISBURY DITCH,18749.18486,0,1901-05-02T00:00:00.0000000,,,,,
2016-07-14T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,100.0,5,CALL,2016-07-13T07:00:00.0000000,2016-07-28T11:00:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200730,KIGGINS SALISBURY DITCH,18749.18486,0,1901-05-02T00:00:00.0000000,,,,,
2016-07-15T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,100.0,5,CALL,2016-07-13T07:00:00.0000000,2016-07-28T11:00:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200730,KIGGINS SALISBURY DITCH,18749.18486,0,1901-05-02T00:00:00.0000000,,,,,
2016-07-16T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,100.0,5,CALL,2016-07-13T07:00:00.0000000,2016-07-28T11:00:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200730,KIGGINS SALISBURY DITCH,18749.18486,0,1901-05-02T00:00:00.0000000,,,,,
2016-07-17T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,100.0,5,CALL,2016-07-13T07:00:00.0000000,2016-07-28T11:00:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200730,KIGGINS SALISBURY DITCH,18749.18486,0,1901-05-02T00:00:00.0000000,,,,,
2016-07-18T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,100.0,5,CALL,2016-07-13T07:00:00.0000000,2016-07-28T11:00:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200730,KIGGINS SALISBURY DITCH,18749.18486,0,1901-05-02T00:00:00.0000000,,,,,
2016-07-19T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,100.0,5,CALL,2016-07-13T07:00:00.0000000,2016-07-28T11:00:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200730,KIGGINS SALISBURY DITCH,18749.18486,0,1901-05-02T00:00:00.0000000,,,,,
2016-07-20T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,100.0,5,CALL,2016-07-13T07:00:00.0000000,2016-07-28T11:00:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200730,KIGGINS SALISBURY DITCH,18749.18486,0,1901-05-02T00:00:00.0000000,,,,,
2016-07-21T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,100.0,5,CALL,2016-07-13T07:00:00.0000000,2016-07-28T11:00:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200730,KIGGINS SALISBURY DITCH,18749.18486,0,1901-05-02T00:00:00.0000000,,,,,
2016-07-22T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,100.0,5,CALL,2016-07-13T07:00:00.0000000,2016-07-28T11:00:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200730,KIGGINS SALISBURY DITCH,18749.18486,0,1901-05-02T00:00:00.0000000,,,,,
