analysisAdminNo,priorityAdminNo,wt,analysisStreamMile,analysisNetAbs,analysisWdid,priorityStreamMile,priorityNetAbs,priorityWdid
50145.0,22729.21241,12937889.7648,1.44,179902.8,3804118,61.8,730.0,7200646
40176.0,22729.21241,46989914.4,3.0,653400.0,3703851,61.8,730.0,7200646
46097.0,22729.21241,4852294761.6,3.72,67953600.0,5102044,61.8,730.0,7200646
55694.0,22729.21241,109329867.504,5.75,1520244.0,3704051,61.8,730.0,7200646
36524.0,22729.21241,125306438.39999999,5.53,1742400.0,5303562,61.8,730.0,7200646
45410.0,22729.21241,72316134.0,5.12,1089000.0,5303542,61.8,730.0,7200646
54391.0,22729.21241,46989914.4,0.11,653400.0,3804327,61.8,730.0,7200646
50556.0,22729.21241,18795965.759999998,6.51,261360.0,3804082,61.8,730.0,7200646
36396.33928,22729.21241,21622312.8,4.07,10811156.4,3803752,61.8,730.0,7200646
55671.0,22729.21241,130680.0,9.37,65340.0,3803548,61.8,730.0,7200646
36396.34942,22729.21241,3972672.0,1.89,1986336.0,3803740,61.8,730.0,7200646
49102.0,22729.21241,1742400.0,2.19,871200.0,3803970,61.8,730.0,7200646
53648.0,22729.21241,409464.0,10.33,204732.0,3803660,61.8,730.0,7200646
52960.50874,22729.21241,2613600.0,0.63,1306800.0,3803627,61.8,730.0,7200646
53691.29674,22729.21241,87120.0,5.54,43560.0,3803542,61.8,730.0,7200646
39617.36038,22729.21241,34935120.0,2.45,17467560.0,3803722,61.8,730.0,7200646
54421.45899,22729.21241,78408.0,1.89,39204.0,3803508,61.8,730.0,7200646
44559.24307,22729.21241,6272640.0,5.3,3136320.0,3803955,61.8,730.0,7200646
37552.36038,22729.21241,24881472.0,2.45,12440736.0,3803722,61.8,730.0,7200646
36396.17728,22729.21241,948736.8,3.53,474368.4,3803751,61.8,730.0,7200646
53691.38868,22729.21241,836352.0,6.71,418176.0,3804264,61.8,730.0,7200646
57343.56765,22729.21241,339768.0,1.11,169884.0,3804386,61.8,730.0,7200646
58439.56856,22729.21241,1852388.9999999998,1.31,329313.6,4503758,61.8,730.0,7200646
51134.50769,22729.21241,899241.7500000001,1.07,159865.2,4503716,61.8,730.0,7200646
51195.0,22729.21241,490050.0,3.58,87120.0,4503729,61.8,730.0,7200646
51864.50473,22729.21241,490050.0,1.42,87120.0,4503733,61.8,730.0,7200646
