analysisAdminNo,priorityAdminNo,wt,analysisStreamMile,analysisNetAbs,analysisWdid,priorityStreamMile,priorityNetAbs,priorityWdid
51864.49825,20427.18999,43244577.684,1.22,230868.0,3703804,147.54,1250.0,5300584
52595.42885,20427.18999,40796771.4,7.76,217800.0,5203983,147.54,1250.0,5300584
53691.5223,20427.18999,24478062.84,2.17,130680.0,5303508,147.54,1250.0,5300584
34241.236789999995,20427.18999,2648.6058199999998,2.25,14.14,5100546,147.54,1250.0,5300584
47921.0,20427.18999,36717094.26,15.28,196020.0,5103750,147.54,1250.0,5300584
34648.0,20427.18999,875906681.958,4.41,4676166.0,5003632,147.54,1250.0,5300584
53691.51541,20427.18999,42183861.6276,0.94,225205.2,5103500,147.54,1250.0,5300584
47888.0,20427.18999,16318708.559999999,2.12,87120.0,3703751,147.54,1250.0,5300584
34762.14397,20427.18999,28884114.151199996,2.77,154202.4,5003640,147.54,1250.0,5300584
33799.0,20427.18999,52219867.392,7.92,278784.0,3603692,147.54,1250.0,5300584
47884.0,20427.18999,38348965.116,0.34,204732.0,3703684,147.54,1250.0,5300584
53691.50981,20427.18999,272522432.95199996,5.53,1454904.0,5303515,147.54,1250.0,5300584
34762.33466,20427.18999,3524025113.5319996,52.88,18813564.0,5003623,147.54,1250.0,5300584
47847.32872,20427.18999,20398385.7,0.34,108900.0,3703684,147.54,1250.0,5300584
34762.34553,20427.18999,15282470566.439999,13.11,81587880.0,5003629,147.54,1250.0,5300584
53691.46751,20427.18999,40796771.4,2.17,217800.0,5303509,147.54,1250.0,5300584
34762.3464,20427.18999,836333813.6999999,4.03,4464900.0,5000770,147.54,1250.0,5300584
34241.18263,20427.18999,3371.634,236.23,18.0,5100763,147.54,1250.0,5300584
48212.39993,20427.18999,591553185.3,281.45,3158100.0,5104051,147.54,1250.0,5300584
35016.0,20427.18999,179505794.16,6.1,958320.0,3603537,147.54,1250.0,5300584
33023.28989,20427.18999,29595.453999999998,147.54,158.0,5300584,147.54,1250.0,5300584
53874.0,20427.18999,505879965.35999995,1.92,2700720.0,3703944,147.54,1250.0,5300584
48212.47755,20427.18999,4218141382.1315994,4.5,22519213.2,5003645,147.54,1250.0,5300584
33025.0,20427.18999,9693.44775,3.21,51.75,5000734,147.54,1250.0,5300584
33063.12023,20427.18999,4495.512,236.23,24.0,5100763,147.54,1250.0,5300584
48212.47389,20427.18999,820178292.2256,3.29,4378651.2,5003616,147.54,1250.0,5300584
53692.0,20427.18999,34595662.147199996,10.03,184694.4,3703954,147.54,1250.0,5300584
33070.0,20427.18999,11660.23425,13.51,62.25,5000606,147.54,1250.0,5300584
33094.0,20427.18999,3494977812.2951994,4.56,18658490.4,3603569,147.54,1250.0,5300584
33466.0,20427.18999,764286715.4076,2.33,4080265.2,3603571,147.54,1250.0,5300584
33289.0,20427.18999,2427.57648,5.77,12.96,3601058,147.54,1250.0,5300584
48212.44803,20427.18999,2416.3377,1.33,12.9,3601085,147.54,1250.0,5300584
53691.531720000006,20427.18999,114230959.91999999,7.25,609840.0,5303518,147.54,1250.0,5300584
33433.33149,20427.18999,2066.0623899999996,240.53,11.03,5100629,147.54,1250.0,5300584
52960.5296,20427.18999,8159354.279999999,7.08,43560.0,3703783,147.54,1250.0,5300584
33433.3315,20427.18999,1574755376.04,2.15,8407080.0,5103693,147.54,1250.0,5300584
53691.52595,20427.18999,36553907.174399994,10.8,195148.8,5303510,147.54,1250.0,5300584
47827.0,20427.18999,4944568693.679999,52.41,26397360.0,5003624,147.54,1250.0,5300584
