analysisAdminNo,priorityAdminNo,wt,analysisStreamMile,analysisNetAbs,analysisWdid,priorityStreamMile,priorityNetAbs,priorityWdid
50386.0,20427.18999,141117934320.0,13.16,2613295080.0,5003668,147.54,1250.0,5300584
45776.0,20427.18999,5400.0,0.0,100.0,3802114,147.54,1250.0,5300584
49308.49216,20427.18999,5880600.0,1.01,108900.0,3603668,147.54,1250.0,5300584
36524.0,20427.18999,94089600.0,5.53,1742400.0,5303562,147.54,1250.0,5300584
45655.43802,20427.18999,7056720.0,282.27,130680.0,5104038,147.54,1250.0,5300584
49403.0,20427.18999,1463093280.0,10.86,27094320.0,5000617,147.54,1250.0,5300584
49451.0,20427.18999,756.0,3.53,14.0,5000762,147.54,1250.0,5300584
49490.0,20427.18999,4704480.0,30.13,87120.0,5003659,147.54,1250.0,5300584
36718.0,20427.18999,1620.0,6.46,30.0,3700683,147.54,1250.0,5300584
49563.0,20427.18999,4704480.0,4.78,87120.0,3603694,147.54,1250.0,5300584
49581.0,20427.18999,7527168.0,1.25,139392.0,3603669,147.54,1250.0,5300584
36730.0,20427.18999,810.0,6.46,15.0,3700684,147.54,1250.0,5300584
45512.0,20427.18999,14113440.0,0.32,261360.0,3603592,147.54,1250.0,5300584
45410.0,20427.18999,58806000.0,5.12,1089000.0,5303542,147.54,1250.0,5300584
49673.42368,20427.18999,113495580.0,4.08,2101770.0,5003661,147.54,1250.0,5300584
49673.47786,20427.18999,124998033.6,0.62,2314778.4,3603625,147.54,1250.0,5300584
36801.0,20427.18999,18465084.0,0.71,341946.0,3603545,147.54,1250.0,5300584
45290.45144,20427.18999,1977.4799999999998,3.57,36.62,3600709,147.54,1250.0,5300584
49746.0,20427.18999,1728.0,49.01,32.0,3602037,147.54,1250.0,5300584
49796.0,20427.18999,764478.0,1.91,14157.0,3703688,147.54,1250.0,5300584
49802.0,20427.18999,756.0,0.01,14.0,3702056,147.54,1250.0,5300584
49833.0,20427.18999,1717135.2,2.12,31798.8,3703686,147.54,1250.0,5300584
37061.0,20427.18999,11878812.0,2.26,219978.0,5003641,147.54,1250.0,5300584
45290.37805,20427.18999,21170160.0,1.29,392040.0,5104048,147.54,1250.0,5300584
30894.300710000003,20427.18999,1552478.4,5.26,28749.6,3703524,147.54,1250.0,5300584
37177.0,20427.18999,4492778.4,291.1,83199.6,5103682,147.54,1250.0,5300584
45290.36645,20427.18999,2352240.0,0.62,43560.0,3603582,147.54,1250.0,5300584
30894.29746,20427.18999,822.4200000000001,3.96,15.23,3700682,147.54,1250.0,5300584
49308.4885,20427.18999,29167776.0,0.47,540144.0,3603662,147.54,1250.0,5300584
45290.36436,20427.18999,2822688.0,0.51,52272.0,3603581,147.54,1250.0,5300584
45863.0,20427.18999,6468660.0,2.23,119790.0,5304017,147.54,1250.0,5300584
31393.29065,20427.18999,564537600.0,4.92,10454400.0,5003627,147.54,1250.0,5300584
35973.0,20427.18999,288572803.2,9.27,5343940.8,3703517,147.54,1250.0,5300584
31393.26176,20427.18999,157341333.6,4.05,2913728.4,5003643,147.54,1250.0,5300584
46020.44375,20427.18999,18817920.0,2.98,348480.0,5103726,147.54,1250.0,5300584
48942.35064,20427.18999,35283600.0,9.24,653400.0,3703665,147.54,1250.0,5300584
31393.23745,20427.18999,573946560.0,3.34,10628640.0,5003606,147.54,1250.0,5300584
46020.43584,20427.18999,11761200.0,2.96,217800.0,5103725,147.54,1250.0,5300584
48942.47664,20427.18999,4704480.0,1.51,87120.0,5303955,147.54,1250.0,5300584
31359.0,20427.18999,220256696880.0,2.22,4078827720.0,5103709,147.54,1250.0,5300584
36040.0,20427.18999,2525364864.0,21.16,46766016.0,5003625,147.54,1250.0,5300584
46020.42575,20427.18999,399880800.0,5.64,7405200.0,5103732,147.54,1250.0,5300584
48942.48884,20427.18999,40693752.0,263.42,753588.0,5104052,147.54,1250.0,5300584
31272.0,20427.18999,10260.0,18.46,190.0,3604923,147.54,1250.0,5300584
49216.0,20427.18999,102604708.8,5.66,1900087.2,5003648,147.54,1250.0,5300584
