analysisAdminNo,priorityAdminNo,wt,analysisStreamMile,analysisNetAbs,analysisWdid,priorityStreamMile,priorityNetAbs,priorityWdid
30894.17657,20427.18999,2168.64956,2.12,13.16,3700560,147.54,1250.0,5300584
50769.47116,20427.18999,287131838.4,8.86,1742400.0,5304034,147.54,1250.0,5300584
40478.0,20427.18999,717829.596,1.34,4356.0,3703840,147.54,1250.0,5300584
52230.4361,20427.18999,424380857.1552,27.42,2575267.2,3703778,147.54,1250.0,5300584
49563.0,20427.18999,14356591.92,4.78,87120.0,3603694,147.54,1250.0,5300584
53680.0,20427.18999,145862973.90719998,4.06,885139.2,5003620,147.54,1250.0,5300584
32733.0,20427.18999,4386943792.9944,6.36,26621258.4,5000574,147.54,1250.0,5300584
48577.4042,20427.18999,8613955.152,15.25,52272.0,3703695,147.54,1250.0,5300584
43403.0,20427.18999,430697757.59999996,0.19,2613600.0,3703544,147.54,1250.0,5300584
55152.48819,20427.18999,61015515.66,3.93,370260.0,5103539,147.54,1250.0,5300584
41707.0,20427.18999,717829.596,3.5,4356.0,3703817,147.54,1250.0,5300584
46749.0,20427.18999,242339271.6096,19.57,1470585.6,5103739,147.54,1250.0,5300584
40221.0,20427.18999,5024807.172,3.19,30492.0,5104021,147.54,1250.0,5300584
32871.0,20427.18999,3589147.98,3.0,21780.0,3703858,147.54,1250.0,5300584
47888.0,20427.18999,14356591.92,2.12,87120.0,3703751,147.54,1250.0,5300584
53656.0,20427.18999,35891479.8,0.79,217800.0,5302027,147.54,1250.0,5300584
46020.42575,20427.18999,1220310313.2,5.64,7405200.0,5103732,147.54,1250.0,5300584
40176.0,20427.18999,107674439.39999999,3.0,653400.0,3703851,147.54,1250.0,5300584
49308.39659,20427.18999,215348878.79999998,6.71,1306800.0,5103747,147.54,1250.0,5300584
49581.0,20427.18999,22970547.072,1.25,139392.0,3603669,147.54,1250.0,5300584
54042.0,20427.18999,8613955.152,2.23,52272.0,5103521,147.54,1250.0,5300584
47884.0,20427.18999,33737991.012,0.34,204732.0,3703684,147.54,1250.0,5300584
51864.43372,20427.18999,17227910.304,2.93,104544.0,3703744,147.54,1250.0,5300584
32977.0,20427.18999,5548822777.08,1.16,33671880.0,5003642,147.54,1250.0,5300584
46751.38928,20427.18999,1177240.53744,0.2,7143.84,5304015,147.54,1250.0,5300584
54421.51986,20427.18999,3589147.98,0.69,21780.0,3703977,147.54,1250.0,5300584
44559.42035,20427.18999,1402639030.5839999,25.29,8511624.0,5303995,147.54,1250.0,5300584
33012.0,20427.18999,318716340.624,7.56,1934064.0,3703814,147.54,1250.0,5300584
44559.37499,20427.18999,249330931.87464,0.45,1513013.04,3603578,147.54,1250.0,5300584
47921.0,20427.18999,32302331.82,15.28,196020.0,5103750,147.54,1250.0,5300584
46386.43625,20427.18999,24621555.142799996,2.12,149410.8,3703603,147.54,1250.0,5300584
54421.53724,20427.18999,10839226.899600001,3.19,65775.6,5104021,147.54,1250.0,5300584
32309.0,20427.18999,1126992465.72,1.79,6838920.0,3603565,147.54,1250.0,5300584
55067.0,20427.18999,1148527.3536,7.08,6969.6,3703984,147.54,1250.0,5300584
40785.0,20427.18999,10023772478.544,58.62,60827184.0,3603542,147.54,1250.0,5300584
49490.0,20427.18999,14356591.92,30.13,87120.0,5003659,147.54,1250.0,5300584
45655.43802,20427.18999,21534887.88,282.27,130680.0,5104038,147.54,1250.0,5300584
43464.0,20427.18999,7178295.96,1.88,43560.0,7203624,147.54,1250.0,5300584
