analysisAdminNo,priorityAdminNo,wt,analysisStreamMile,analysisNetAbs,analysisWdid,priorityStreamMile,priorityNetAbs,priorityWdid
45512.0,20427.18999,46696407.12,0.32,261360.0,3603592,147.54,1250.0,5300584
45290.35239,20427.18999,33076621710.0,18.41,185130000.0,3603575,147.54,1250.0,5300584
33023.1952,20427.18999,1391397277.4856,5.95,7787656.8,5303966,147.54,1250.0,5300584
44925.41272,20427.18999,116741017.8,42.74,653400.0,3603583,147.54,1250.0,5300584
33012.0,20427.18999,345553412.688,7.56,1934064.0,3703814,147.54,1250.0,5300584
32977.0,20427.18999,6016053783.96,1.16,33671880.0,5003642,147.54,1250.0,5300584
44925.42542,20427.18999,15409814.3496,15.81,86248.8,3703591,147.54,1250.0,5300584
44925.42885,20427.18999,140089221.36,3.18,784080.0,5304014,147.54,1250.0,5300584
44925.43464,20427.18999,179002893.96,0.0,1001880.0,5003653,147.54,1250.0,5300584
32871.0,20427.18999,3891367.2600000002,3.0,21780.0,3703858,147.54,1250.0,5300584
32733.0,20427.18999,4756340374.5528,6.36,26621258.4,5000574,147.54,1250.0,5300584
32653.0,20427.18999,1533198700.44,52.41,8581320.0,5003624,147.54,1250.0,5300584
44925.44528,20427.18999,6428538.71352,7.86,35980.56,5304019,147.54,1250.0,5300584
32347.0,20427.18999,247646612.4264,4.09,1386079.2,5203936,147.54,1250.0,5300584
32335.11677,20427.18999,2144.004,226.93,12.0,5000613,147.54,1250.0,5300584
32309.0,20427.18999,1221889319.64,1.79,6838920.0,3603565,147.54,1250.0,5300584
45290.0,20427.18999,778273.452,7.74,4356.0,5003677,147.54,1250.0,5300584
32075.31563,20427.18999,4458806433.8532,2.97,24955959.6,3603548,147.54,1250.0,5300584
45290.18263,20427.18999,77827345.2,8.94,435600.0,5203971,147.54,1250.0,5300584
32075.30102,20427.18999,2213.68413,1.56,12.39,3600649,147.54,1250.0,5300584
33023.28989,20427.18999,28229.386,147.54,158.0,5300584,147.54,1250.0,5300584
44925.39993,20427.18999,5837050.89,216.2,32670.0,5203967,147.54,1250.0,5300584
33025.0,20427.18999,9246.01725,3.21,51.75,5000734,147.54,1250.0,5300584
33799.0,20427.18999,49809500.928,7.92,278784.0,3603692,147.54,1250.0,5300584
44194.41467,20427.18999,18445080.8124,5.59,103237.2,5104007,147.54,1250.0,5300584
44559.0,20427.18999,2334820.356,2.85,13068.0,5303565,147.54,1250.0,5300584
44559.33769,20427.18999,111293103.636,3.9,622908.0,5104040,147.54,1250.0,5300584
44559.37499,20427.18999,270325500.81768,0.45,1513013.04,3603578,147.54,1250.0,5300584
34241.236789999995,20427.18999,2526.35138,2.25,14.14,5100546,147.54,1250.0,5300584
44559.42035,20427.18999,1520746325.208,25.29,8511624.0,5303995,147.54,1250.0,5300584
34241.18263,20427.18999,3216.006,236.23,18.0,5100763,147.54,1250.0,5300584
44559.4266,20427.18999,32687484.984,64.43,182952.0,3603595,147.54,1250.0,5300584
