analysisAdminNo,priorityAdminNo,wt,analysisStreamMile,analysisNetAbs,analysisWdid,priorityStreamMile,priorityNetAbs,priorityWdid
35915.0,20427.18999,771.996,32.49,12.0,3600780,147.54,1250.0,5300584
49308.44803,20427.18999,146282434.056,0.33,2273832.0,5103745,147.54,1250.0,5300584
43622.38929,20427.18999,16814072.88,7.42,261360.0,5104037,147.54,1250.0,5300584
35973.0,20427.18999,343791743.4864,9.27,5343940.8,3703517,147.54,1250.0,5300584
49308.39659,20427.18999,84070364.39999999,6.71,1306800.0,5103747,147.54,1250.0,5300584
35969.0,20427.18999,114335695.58399999,0.31,1777248.0,3603544,147.54,1250.0,5300584
47116.32797,20427.18999,124312045.4928,7.56,1932321.6,3703608,147.54,1250.0,5300584
35929.0,20427.18999,964.995,33.99,15.0,3600671,147.54,1250.0,5300584
49308.42613,20427.18999,37831663.98,7.65,588060.0,5104010,147.54,1250.0,5300584
35927.0,20427.18999,5997019327.2,64.36,93218400.0,3603570,147.54,1250.0,5300584
43829.22015,20427.18999,874808188.4915999,4.94,13598125.2,5103688,147.54,1250.0,5300584
46097.0,20427.18999,4371658948.8,3.72,67953600.0,5102044,147.54,1250.0,5300584
35702.0,20427.18999,508429540.4364,8.55,7903090.8,5203939,147.54,1250.0,5300584
35686.0,20427.18999,823.4624,24.25,12.8,5300621,147.54,1250.0,5300584
49308.45168,20427.18999,14011727.4,248.77,217800.0,5103746,147.54,1250.0,5300584
35645.0,20427.18999,40914244.008,5.13,635976.0,3603549,147.54,1250.0,5300584
44194.3068,20427.18999,47163474.4284,0.82,733114.8,3603596,147.54,1250.0,5300584
35621.0,20427.18999,544187468.7612,28.73,8458916.4,5303961,147.54,1250.0,5300584
49308.4885,20427.18999,34749083.952,0.47,540144.0,3603662,147.54,1250.0,5300584
35404.0,20427.18999,254060641.2168,1.68,3949149.6,5303982,147.54,1250.0,5300584
47116.23375,20427.18999,1448728542.7956,4.5,22519213.2,5003645,147.54,1250.0,5300584
35238.0,20427.18999,708091051195.44,44.67,11006653680.0,3604512,147.54,1250.0,5300584
36040.0,20427.18999,3008598107.328,21.16,46766016.0,5003625,147.54,1250.0,5300584
49304.0,20427.18999,22418763.84,2.31,348480.0,3703681,147.54,1250.0,5300584
36186.0,20427.18999,327033717.516,3.31,5083452.0,5103665,147.54,1250.0,5300584
36524.0,20427.18999,112093819.2,5.53,1742400.0,5303562,147.54,1250.0,5300584
37566.33146,20427.18999,73309357.75680001,8.09,1139529.6,5103661,147.54,1250.0,5300584
48832.0,20427.18999,924774.0083999999,2.12,14374.8,3703756,147.54,1250.0,5300584
37494.0,20427.18999,1415.326,3.97,22.0,5300595,147.54,1250.0,5300584
43621.41467,20427.18999,6641558.787599999,5.59,103237.2,5104007,147.54,1250.0,5300584
37482.0,20427.18999,900.662,1.42,14.0,5300662,147.54,1250.0,5300584
37465.0,20427.18999,9122559311.408401,17.8,141802174.8,5303971,147.54,1250.0,5300584
37446.0,20427.18999,692963990.2944,5.95,10771516.8,5303966,147.54,1250.0,5300584
48942.35064,20427.18999,42035182.199999996,9.24,653400.0,3703665,147.54,1250.0,5300584
37202.0,20427.18999,964.995,10.27,15.0,5300754,147.54,1250.0,5300584
43621.42906,20427.18999,1247043738.6,257.47,19384200.0,5103742,147.54,1250.0,5300584
37177.0,20427.18999,5352479.8668,291.1,83199.6,5103682,147.54,1250.0,5300584
48942.47664,20427.18999,5604690.96,1.51,87120.0,5303955,147.54,1250.0,5300584
37061.0,20427.18999,14151844.674,2.26,219978.0,5003641,147.54,1250.0,5300584
36801.0,20427.18999,21998412.018,0.71,341946.0,3603545,147.54,1250.0,5300584
48942.48884,20427.18999,48480576.804,263.42,753588.0,5104052,147.54,1250.0,5300584
36730.0,20427.18999,964.995,6.46,15.0,3700684,147.54,1250.0,5300584
