analysisAdminNo,priorityAdminNo,wt,analysisStreamMile,analysisNetAbs,analysisWdid,priorityStreamMile,priorityNetAbs,priorityWdid
20676.19919,20427.18999,648172800.0,4.42,5227200.0,3603705,147.54,1250.0,5300584
55067.0,20427.18999,864230.4,7.08,6969.6,3703984,147.54,1250.0,5300584
20676.19822,20427.18999,253057464.0,3.29,2040786.0,5003616,147.54,1250.0,5300584
44559.42035,20427.18999,1055441376.0,25.29,8511624.0,5303995,147.54,1250.0,5300584
55070.0,20427.18999,89156.0,5.29,719.0,3701412,147.54,1250.0,5300584
52960.52462,20427.18999,3240864.0,8.42,26136.0,3703926,147.54,1250.0,5300584
20676.19722,20427.18999,66059611.2,3.46,532738.8,5103696,147.54,1250.0,5300584
47481.46538,20427.18999,21605760.0,9.15,174240.0,3703630,147.54,1250.0,5300584
39254.22423,20427.18999,8788142880.0,16.44,70872120.0,5004600,147.54,1250.0,5300584
52976.0,20427.18999,32408640000.0,13.16,261360000.0,5003668,147.54,1250.0,5300584
20676.19665,20427.18999,2976.0,9.49,24.0,5000539,147.54,1250.0,5300584
52960.5296,20427.18999,5401440.0,7.08,43560.0,3703783,147.54,1250.0,5300584
32075.18262,20427.18999,2213.4,3.57,17.85,3600709,147.54,1250.0,5300584
42420.38198,20427.18999,54014400.0,60.22,435600.0,3703545,147.54,1250.0,5300584
47481.46173,20427.18999,1488.0,10.27,12.0,5300704,147.54,1250.0,5300584
54663.0,20427.18999,54014400.0,9.21,435600.0,3704078,147.54,1250.0,5300584
53325.52868,20427.18999,3720.0,8.05,30.0,3600776,147.54,1250.0,5300584
48577.4042,20427.18999,6481728.0,15.25,52272.0,3703695,147.54,1250.0,5300584
36730.0,20427.18999,1860.0,6.46,15.0,3700684,147.54,1250.0,5300584
54056.52839,20427.18999,5131368.0,0.34,41382.0,3703781,147.54,1250.0,5300584
38753.37375,20427.18999,1860.0,21.44,15.0,3700848,147.54,1250.0,5300584
51499.51088,20427.18999,95389430.39999999,58.56,769269.6,3703742,147.54,1250.0,5300584
54056.52852000001,20427.18999,144758592.0,0.0,1167408.0,5103526,147.54,1250.0,5300584
48212.47915,20427.18999,15996.0,8.06,129.0,3600985,147.54,1250.0,5300584
43464.0,20427.18999,5401440.0,1.88,43560.0,7203624,147.54,1250.0,5300584
53691.50981,20427.18999,180408096.0,5.53,1454904.0,5303515,147.54,1250.0,5300584
30894.280110000003,20427.18999,2532.0800000000004,21.6,20.42,3700642,147.54,1250.0,5300584
51499.50038,20427.18999,90744192.0,3.61,731808.0,5304051,147.54,1250.0,5300584
50282.0,20427.18999,1080288.0,27.32,8712.0,5303612,147.54,1250.0,5300584
42672.0,20427.18999,1080288.0,2.15,8712.0,3703863,147.54,1250.0,5300584
40176.0,20427.18999,81021600.0,3.0,653400.0,3703851,147.54,1250.0,5300584
30894.29013,20427.18999,10540.0,2.2,85.0,3704648,147.54,1250.0,5300584
54056.53631,20427.18999,7453987.2,0.06,60112.8,3703782,147.54,1250.0,5300584
53691.46751,20427.18999,27007200.0,2.17,217800.0,5303509,147.54,1250.0,5300584
30894.2934,20427.18999,5455454.399999999,5.26,43995.6,3703524,147.54,1250.0,5300584
30180.19612,20427.18999,726169593.6,8.86,5856206.4,5303991,147.54,1250.0,5300584
54056.53931,20427.18999,10802880.0,0.05,87120.0,5303514,147.54,1250.0,5300584
53691.42367999999,20427.18999,27007200.0,10.82,217800.0,5303513,147.54,1250.0,5300584
30894.293910000004,20427.18999,3720.0,7.14,30.0,3704641,147.54,1250.0,5300584
54056.54056,20427.18999,61954516.800000004,171.24,499633.2,5204024,147.54,1250.0,5300584
54120.0,20427.18999,9182448.0,18.69,74052.0,3703795,147.54,1250.0,5300584
43403.0,20427.18999,324086400.0,0.19,2613600.0,3703544,147.54,1250.0,5300584
30184.29584,20427.18999,2272.9199999999996,3.57,18.33,3600709,147.54,1250.0,5300584
22232.09029,20427.18999,2604.0,2.23,21.0,5300870,147.54,1250.0,5300584
54056.51316,20427.18999,3781008.0,0.41,30492.0,3703793,147.54,1250.0,5300584
53692.0,20427.18999,22902105.599999998,10.03,184694.4,3703954,147.54,1250.0,5300584
36801.0,20427.18999,42401304.0,0.71,341946.0,3603545,147.54,1250.0,5300584
30894.17657,20427.18999,1631.84,2.12,13.16,3700560,147.54,1250.0,5300584
53874.0,20427.18999,334889280.0,1.92,2700720.0,3703944,147.54,1250.0,5300584
50219.0,20427.18999,2700720.0,8.75,21780.0,3703706,147.54,1250.0,5300584
53691.531720000006,20427.18999,75620160.0,7.25,609840.0,5303518,147.54,1250.0,5300584
48212.47389,20427.18999,542952748.8000001,3.29,4378651.2,5003616,147.54,1250.0,5300584
43098.0,20427.18999,5401440.0,21.93,43560.0,7203609,147.54,1250.0,5300584
30870.2208,20427.18999,81561744.0,6.94,657756.0,5103714,147.54,1250.0,5300584
53691.52595,20427.18999,24198451.2,10.8,195148.8,5303510,147.54,1250.0,5300584
53979.0,20427.18999,75620160.0,7.25,609840.0,5303518,147.54,1250.0,5300584
30894.265710000003,20427.18999,1466.92,21.44,11.83,3700848,147.54,1250.0,5300584
30870.1401,20427.18999,80265398.39999999,2.12,647301.6,5103683,147.54,1250.0,5300584
40028.0,20427.18999,9300.0,2.15,75.0,5000576,147.54,1250.0,5300584
50038.49798,20427.18999,10381567.680000002,0.95,83722.32,3703690,147.54,1250.0,5300584
42733.0,20427.18999,2700720.0,3.0,21780.0,7203568,147.54,1250.0,5300584
53691.5223,20427.18999,16204320.0,2.17,130680.0,5303508,147.54,1250.0,5300584
54047.0,20427.18999,4213123.2,0.22,33976.8,3703911,147.54,1250.0,5300584
37061.0,20427.18999,27277272.0,2.26,219978.0,5003641,147.54,1250.0,5300584
30194.15523,20427.18999,97658035.2,5.26,787564.8,3703524,147.54,1250.0,5300584
30894.26783,20427.18999,48504931.199999996,5.26,391168.8,3703524,147.54,1250.0,5300584
48212.47755,20427.18999,2792382436.7999997,4.5,22519213.2,5003645,147.54,1250.0,5300584
29531.0,20427.18999,540144.0,1.0,4356.0,3703842,147.54,1250.0,5300584
53680.0,20427.18999,109757260.8,4.06,885139.2,5003620,147.54,1250.0,5300584
43621.43338,20427.18999,675180000.0,2.28,5445000.0,5104006,147.54,1250.0,5300584
