analysisWdid,analysisStructureName,locationWdid,locationStructure,sum_wtd_count
5003653,COLBURN RESERVOIR NO 2,5300584,SHOSHONE POWER PLANT,163.5
5003659,DAVISON RESERVOIR,5300584,SHOSHONE POWER PLANT,163.5
5103508,TRAVIS RESERVOIR,5300584,SHOSHONE POWER PLANT,163.5
5103515,RANCH CREEK RANCH POND,5300584,SHOSHONE POWER PLANT,163.5
5103516,POLE CREEK GOLF COURSE POND NO 1,5300584,SHOSHONE POWER PLANT,163.5
5003654,CURRAN POND,5300584,SHOSHONE POWER PLANT,163.5
5003674,FETTERS STOCK RES NO 1,5300584,SHOSHONE POWER PLANT,163.5
5003652,COLBURN RESERVOIR,5300584,SHOSHONE POWER PLANT,163.5
5003650,SARACENO RESERVOIR,5300584,SHOSHONE POWER PLANT,163.5
5103517,POLE CREEK GOLF COURSE POND NO 2,5300584,SHOSHONE POWER PLANT,163.5
5103518,POLE CREEK GOLF COURSE POND NO 3,5300584,SHOSHONE POWER PLANT,163.5
5103521,CLOVERBLOOM RESERVOIR,5300584,SHOSHONE POWER PLANT,163.5
5103522,MURRAY/BREIDER POND,5300584,SHOSHONE POWER PLANT,163.5
5103526,CORRAL CREEK WETLAND NO1,5300584,SHOSHONE POWER PLANT,163.5
5103527,CORRAL CREEK WETLAND NO2,5300584,SHOSHONE POWER PLANT,163.5
5003673,RAWALT STOCK RES NO 2,5300584,SHOSHONE POWER PLANT,163.5
5102069,MIN FLOW COLORADO RIVER RANGER CK-GRANBY RESERVOIR,5300584,SHOSHONE POWER PLANT,163.5
5003675,GOOGLY EYED POND,5300584,SHOSHONE POWER PLANT,163.5
5102042,MIN LEVEL CARIBOU LAKE,5300584,SHOSHONE POWER PLANT,163.5
5102038,MIN FLOW COLORADO RIVER WINDY GAP-WILLIAMS FORK,5300584,SHOSHONE POWER PLANT,163.5
5102111,MIN FLOW ST LOUIS CK - EAST ST LOUIS-WEST ST LOUIS,5300584,SHOSHONE POWER PLANT,163.5
5102039,MIN FLOW WILLIAMS FORK RIVER,5300584,SHOSHONE POWER PLANT,163.5
5102040,MIN LEVEL BLUE LAKE,5300584,SHOSHONE POWER PLANT,163.5
5102109,MIN FLOW FRASER RIVER ST LOUIS CK - RANCH CK,5300584,SHOSHONE POWER PLANT,163.5
5102041,MIN LEVEL BOWEN LAKE,5300584,SHOSHONE POWER PLANT,163.5
5102096,MIN FLOW FRASER RIVER VASQUEZ - ST LOUIS,5300584,SHOSHONE POWER PLANT,163.5
5102089,MIN FLOW COLORADO RIVER GRANBY OUTLET-FRASER,5300584,SHOSHONE POWER PLANT,163.5
5102036,MIN FLOW COLORADO RIVER TROUBLESOME-BLUE,5300584,SHOSHONE POWER PLANT,163.5
5102070,MIN FLOW ARAPAHO CREEK,5300584,SHOSHONE POWER PLANT,163.5
5102043,MIN LEVEL COLUMBINE LAKE,5300584,SHOSHONE POWER PLANT,163.5
5102044,MIN LEVEL CRATER LAKE,5300584,SHOSHONE POWER PLANT,163.5
5102045,MIN LEVEL GOURD LAKE,5300584,SHOSHONE POWER PLANT,163.5
5102046,MIN LEVEL PARIKA LAKE,5300584,SHOSHONE POWER PLANT,163.5
5102047,MIN LEVEL PAWNEE LAKE,5300584,SHOSHONE POWER PLANT,163.5
5102048,MIN LEVEL STONE LAKE,5300584,SHOSHONE POWER PLANT,163.5
5102037,MIN FLOW COLORADO RIVER WILLIAMS FK-TROUBLESOME,5300584,SHOSHONE POWER PLANT,163.5
5102035,MIN FLOW WILLIAMS FORK RIVER,5300584,SHOSHONE POWER PLANT,163.5
5003677,CARTER POND,5300584,SHOSHONE POWER PLANT,163.5
5101237,WILLIAMS FORK POWER CONDUIT,5300584,SHOSHONE POWER PLANT,163.5
5003680,MUDDY POND,5300584,SHOSHONE POWER PLANT,163.5
5003681,CRAVEN ON CREEDE RESERVOIR,5300584,SHOSHONE POWER PLANT,163.5
5103500,BAUMBERGER POND,5300584,SHOSHONE POWER PLANT,163.5
5102068,MIN FLOW NORTH FORK COLORADO RIVER,5300584,SHOSHONE POWER PLANT,163.5
5102115,MIN FLOW WILLOW CREEK CABIN CK - BLM,5300584,SHOSHONE POWER PLANT,163.5
5101070,HENDERSON MINE WATER SYSTEM,5300584,SHOSHONE POWER PLANT,163.5
5102114,MIN FLOW FRASER RIVER CROOKED CK - COLORADO RIVER,5300584,SHOSHONE POWER PLANT,163.5
5102113,MIN FLOW FRASER RIVER RANCH CK - CROOKED CK,5300584,SHOSHONE POWER PLANT,163.5
5102112,MIN FLOW ST LOUIS CK - WEST ST LOUIS-KING CREEK,5300584,SHOSHONE POWER PLANT,163.5
5101245,WINTER PARK BASE DIVERSION POINT 1,5300584,SHOSHONE POWER PLANT,163.5
5102012,MIN FLOW WILLOW CREEK PASS CK - BLM,5300584,SHOSHONE POWER PLANT,163.5
5102014,MIN FLOW WILLIAMS FORK RIVER,5300584,SHOSHONE POWER PLANT,163.5
5102016,MIN FLOW WILLIAMS FORK RIVER,5300584,SHOSHONE POWER PLANT,163.5
5102027,MIN FLOW WILLIAMS FORK RIVER,5300584,SHOSHONE POWER PLANT,163.5
5003644,ALBERT RESERVOIR,5300584,SHOSHONE POWER PLANT,163.5
5102028,MIN FLOW WILLIAMS FORK RIVER,5300584,SHOSHONE POWER PLANT,163.5
5003683,GORE LAKES RANCH RES. NO. 2,5300584,SHOSHONE POWER PLANT,163.5
3703894,JESS'S POND,5300584,SHOSHONE POWER PLANT,163.5
