analysisWdid,analysisStructureName,locationWdid,locationStructure,sum_wtd_count
5103596,RICHMOND POND,5102038,MIN FLOW COLORADO RIVER WINDY GAP-WILLIAMS FORK,900.567
5102115,MIN FLOW WILLOW CREEK CABIN CK - BLM,5102038,MIN FLOW COLORADO RIVER WINDY GAP-WILLIAMS FORK,700.441
4503715,RIEGER POND,4500693,MINEOTA DITCH,546.936
4500725,PORTER DITCH,4500693,MINEOTA DITCH,541.936
3703524,SYLVAN LAKE,7200646,GRAND VALLEY PROJECT,531.248
3803835,LAKE DEBORAH,7200646,GRAND VALLEY PROJECT,503.412
3804301,HELL ROARING RESERVOIR NO. 2,7200646,GRAND VALLEY PROJECT,503.412
3803797,HELL ROARING RESERVOIR NO. 1,7200646,GRAND VALLEY PROJECT,503.412
5103596,RICHMOND POND,7200645,GRAND VALLEY CANAL,461.259
5102115,MIN FLOW WILLOW CREEK CABIN CK - BLM,7200645,GRAND VALLEY CANAL,410.008
3803863,RAINBOW POND,3800688,FOUR MILE DITCH,371.978
3703516,G G LOWER RESERVOIR,3700534,CASTLE NO 1 DITCH,364.772
3703517,G G RESERVOIR,3700534,CASTLE NO 1 DITCH,364.772
4500790,TALLMADGE AND GIBSON D,4500693,MINEOTA DITCH,364.624
4503501,R-4 DUCK POND,4500693,MINEOTA DITCH,364.624
4503503,R4 HIDDEN POND NO 2,4500693,MINEOTA DITCH,364.624
4503500,R-4 RODREICK RESERVOIR,4500693,MINEOTA DITCH,364.624
3803797,HELL ROARING RESERVOIR NO. 1,7200645,GRAND VALLEY CANAL,364.58799999999997
3804301,HELL ROARING RESERVOIR NO. 2,7200645,GRAND VALLEY CANAL,364.58799999999997
3803835,LAKE DEBORAH,7200645,GRAND VALLEY CANAL,364.58799999999997
3804396,STELLA POLARE POND NO 1,7200646,GRAND VALLEY PROJECT,359.58
3604923,CLIMAX INTEGRATED WATER SYSTEM,7200646,GRAND VALLEY PROJECT,359.58
3900563,GRASS VALLEY CANAL,3900574,GRAND TUNNEL DITCH,347.903
3603575,CLINTON GULCH RESERVOIR,3604512,DILLON RESERVOIR,303.666
5103596,RICHMOND POND,7200646,GRAND VALLEY PROJECT,288.936
3801073,WACO DITCH,3801132,WALTHEN DITCH,288.918
3804419,SILVERMAN AUGMENTATION TANK,7200646,GRAND VALLEY PROJECT,287.664
3804423,MAROON RANCH POND,7200646,GRAND VALLEY PROJECT,287.664
3903923,CHERRY CREEK POND NO 2,3900661,SAINT NO 2 DITCH,280.708
3903954,THOMAS RESERVOIR,3900661,SAINT NO 2 DITCH,280.708
3903922,CHERRY CREEK POND NO 1,3900661,SAINT NO 2 DITCH,280.708
3803722,CONSOLIDATED RESERVOIR,3800860,MASON DITCH,272.0
3803751,VON SPRINGS RESERVOIR 1,3800860,MASON DITCH,272.0
3803985,WENDI SMITH RESERVOIR,3800860,MASON DITCH,272.0
5109178,VILLAGE CORE POND DEPLETION REACH,5102114,MIN FLOW FRASER RIVER CROOKED CK - COLORADO RIVER,262.905
3804396,STELLA POLARE POND NO 1,7200645,GRAND VALLEY CANAL,260.42
5102115,MIN FLOW WILLOW CREEK CABIN CK - BLM,7200646,GRAND VALLEY PROJECT,256.832
7203854,PALISADE CABIN RESERVOIR,7200645,GRAND VALLEY CANAL,256.17
3603575,CLINTON GULCH RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,243.0
4503627,SUSAN STOCK WATER PONDS,4500548,CLAUSEN DITCH,239.375
4500793,TAUGHENBAUGH DITCH,4500548,CLAUSEN DITCH,239.375
3903507,PARK RESERVOIR,3900661,SAINT NO 2 DITCH,230.333
4503683,SMITH UPPER SPRING POND,4500693,MINEOTA DITCH,224.77
5003647,CONFLUENCE RESERVOIR,7200646,GRAND VALLEY PROJECT,215.748
3804019,FRANK POND 1,7200646,GRAND VALLEY PROJECT,215.748
3600709,LOBACK DITCH,7200646,GRAND VALLEY PROJECT,215.748
5003668,WOLFORD MOUNTAIN RESERVOIR,7200646,GRAND VALLEY PROJECT,215.748
4500969,BLUESTONE VALLEY DITCH,7200646,GRAND VALLEY PROJECT,215.748
3804420,CAINE POND,7200646,GRAND VALLEY PROJECT,215.748
5000734,DEBERARD DITCH OVERFLOW SYSTEM,7200646,GRAND VALLEY PROJECT,215.748
5303966,GRIMES BROOKS RESERVOIR,7200646,GRAND VALLEY PROJECT,215.748
5303955,BEAVER DAM RESERVOIR,7200646,GRAND VALLEY PROJECT,215.748
3603575,CLINTON GULCH RESERVOIR,7200646,GRAND VALLEY PROJECT,215.748
3803815,CORYELL POND NO 2A,7200646,GRAND VALLEY PROJECT,215.748
5103523,DAWSON GULCH SPRING POND,7200646,GRAND VALLEY PROJECT,215.748
3804423,MAROON RANCH POND,7200645,GRAND VALLEY CANAL,208.336
3804419,SILVERMAN AUGMENTATION TANK,7200645,GRAND VALLEY CANAL,208.336
5103521,CLOVERBLOOM RESERVOIR,5102038,MIN FLOW COLORADO RIVER WINDY GAP-WILLIAMS FORK,200.126
