year,prop,1st_q,median,3rd_q,max,min,mean
2001,in_degree_centrality,0.00063012,0.00063012,0.001260239,0.001260239,0,0.000910658
2002,in_degree_centrality,0.001228501,0.001228501,0.001228501,0.002457002,0,0.001206254
2003,in_degree_centrality,0.001199041,0.001199041,0.001199041,0.001199041,0,0.001117859
2004,in_degree_centrality,0.001165501,0.001165501,0.001748252,0.001748252,0,0.001328074
2005,in_degree_centrality,0.001315789,0.001315789,0.001315789,0.001315789,0.001315789,0.001315789
2006,in_degree_centrality,0.00130719,0.00130719,0.00130719,0.002614379,0.00130719,0.00148808
2007,in_degree_centrality,0.000562114,0.000562114,0.001124227,0.001124227,0,0.000762011
2008,in_degree_centrality,0.000984252,0.000984252,0.000984252,0.002952756,0,0.001044256
2009,in_degree_centrality,0.00097561,0.00097561,0.00097561,0.00195122,0,0.000990824
2010,in_degree_centrality,0.000531632,0.001063264,0.001063264,0.003721425,0,0.000837843
2011,in_degree_centrality,0.004878049,0.004878049,0.004878049,0.029268293,0,0.005446365
2012,in_degree_centrality,0.001018849,0.001018849,0.001528273,0.003056546,0,0.00124451
2013,in_degree_centrality,0.000999001,0.000999001,0.001498501,0.002997003,0,0.001218452
2014,in_degree_centrality,0.000931099,0.000931099,0.000931099,0.006517691,0,0.001108657
2015,in_degree_centrality,0.0005,0.001,0.001,0.003,0,0.000853573
2016,in_degree_centrality,0.000532481,0.000532481,0.000532481,0.00372737,0,0.000701663
2017,in_degree_centrality,0.00098912,0.00098912,0.00148368,0.003956479,0,0.001169293
2018,in_degree_centrality,0.000970874,0.000970874,0.000970874,0.003883495,0,0.000987832
2019,in_degree_centrality,0.000628931,0.000628931,0.000628931,0.004402516,0,0.000778752
2020,in_degree_centrality,0,0,0,0,0,0
2000,load_centrality,0,0,0,3.32E-06,0,2.14E-09
2001,load_centrality,0,0,0,3.18E-06,0,2.00E-09
2002,load_centrality,0,0,0,1.55E-05,0,1.53E-08
2003,load_centrality,0,0,0,0.000262178,0,1.74E-07
2004,load_centrality,0,0,0,2.24E-05,0,1.74E-08
2005,load_centrality,0,0,0,0,0,0
2006,load_centrality,0,0,0,0,0,0
2007,load_centrality,0,0,0,6.96E-06,0,3.91E-09
2008,load_centrality,0,0,0,0,0,0
2009,load_centrality,0,0,0,0,0,0
2010,load_centrality,0,0,0,1.60E-05,0,9.32E-09
2011,load_centrality,0,0,0,0,0,0
2012,load_centrality,0,0,0,1.74E-05,0,1.52E-08
2013,load_centrality,0,0,0,4.89E-05,0,3.58E-08
2014,load_centrality,0,0,0,0,0,0
2015,load_centrality,0,0,0,2.13E-05,0,1.09E-08
2016,load_centrality,0,0,0,1.99E-06,0,1.36E-09
2017,load_centrality,0,0,0,3.67E-05,0,1.86E-08
2018,load_centrality,0,0,0,3.49E-05,0,3.01E-08
2019,load_centrality,0,0,0,7.92E-07,0,4.98E-10
2020,load_centrality,0,0,0,0,0,0
2000,out_degree_centrality,0,0,0,0.547327753,0,0.000926094
2001,out_degree_centrality,0,0,0,0.551984877,0,0.000910658
2002,out_degree_centrality,0,0,0,0.956388206,0,0.001206254
2003,out_degree_centrality,0,0,0,0.870503597,0,0.001117859
2004,out_degree_centrality,0,0,0,0.963869464,0,0.001328074
2005,out_degree_centrality,0,0,0,1.001315789,0,0.001315789
2006,out_degree_centrality,0,0,0,1.00130719,0,0.00148808
2007,out_degree_centrality,0,0,0,0.928049466,0,0.000762011
2008,out_degree_centrality,0,0,0,0.655511811,0,0.001044256
2009,out_degree_centrality,0,0,0,0.649756098,0,0.000990824
2010,out_degree_centrality,0,0,0,0.8841042,0,0.000837843
2011,out_degree_centrality,0,0,0,0.517073171,0,0.005446365
2012,out_degree_centrality,0,0,0,0.89811513,0,0.00124451
2013,out_degree_centrality,0,0,0,0.827672328,0,0.001218452
2014,out_degree_centrality,0,0,0,0.7858473,0,0.001108657
2015,out_degree_centrality,0,0,0,0.915,0,0.000853573
2016,out_degree_centrality,0,0,0,0.457401491,0,0.000701663
2017,out_degree_centrality,0,0,0,0.822947577,0,0.001169293
2018,out_degree_centrality,0,0,0,0.72184466,0,0.000987832
2019,out_degree_centrality,0,0,0,0.464779874,0,0.000778752
2020,out_degree_centrality,0,0,0,0,0,0
2000,second_order_centrality,0,0,0,0,0,0
2001,second_order_centrality,0,0,0,0,0,0
2002,second_order_centrality,0,0,0,0,0,0
2003,second_order_centrality,0,0,0,0,0,0
2004,second_order_centrality,0,0,0,0,0,0
2005,second_order_centrality,0,0,0,0,0,0
2006,second_order_centrality,0,0,0,0,0,0
2007,second_order_centrality,0,0,0,0,0,0
2008,second_order_centrality,0,0,0,0,0,0
2009,second_order_centrality,0,0,0,0,0,0
2010,second_order_centrality,0,0,0,0,0,0
2011,second_order_centrality,0,0,0,0,0,0
2012,second_order_centrality,0,0,0,0,0,0
2013,second_order_centrality,0,0,0,0,0,0
2014,second_order_centrality,0,0,0,0,0,0
2015,second_order_centrality,0,0,0,0,0,0
2016,second_order_centrality,0,0,0,0,0,0
2017,second_order_centrality,0,0,0,0,0,0
2018,second_order_centrality,0,0,0,0,0,0
2019,second_order_centrality,0,0,0,0,0,0
2020,second_order_centrality,0,0,0,0,0,0
