analysisWdid,analysisStructure,priorityWdid,priorityStructure,sumWtdCount,analysisStreamMile,analysisNetAbs,analysisWaterDistrict,priorityStreamMile,priorityNetAbs,priorityWaterDistrict,edgeWt
5003646,MARTIN RESERVOIR,3604512,DILLON RESERVOIR,20.0,0.0,216.15,50,44.67,407914.0,36,4323.0
5303598,YARMONY LODGE POND A,3603570,CON-HOOSIER UPPER BLUE LAKE,1.833,0.0,6.55,53,64.36,2140.0,36,12.00615
5104018,KOVACS POND NO 1,3603570,CON-HOOSIER UPPER BLUE LAKE,1.833,0.0,0.65,51,64.36,2140.0,36,1.1914500000000001
5104019,KOVACS POND NO 2,3603570,CON-HOOSIER UPPER BLUE LAKE,1.833,0.0,1.05,51,64.36,2140.0,36,1.92465
3703536,MIN LAKE BENCH LAKE NO 1,3603570,CON-HOOSIER UPPER BLUE LAKE,1.833,0.0,9.0,37,64.36,2140.0,36,16.497
5104018,KOVACS POND NO 1,5300584,SHOSHONE POWER PLANT,126.667,0.0,0.65,51,147.54,1408.0,53,82.33355
5104018,KOVACS POND NO 1,3604512,DILLON RESERVOIR,10.0,0.0,0.65,51,44.67,407914.0,36,6.5
3703536,MIN LAKE BENCH LAKE NO 1,5300584,SHOSHONE POWER PLANT,126.667,0.0,9.0,37,147.54,1408.0,53,1140.003
5003646,MARTIN RESERVOIR,3603570,CON-HOOSIER UPPER BLUE LAKE,3.666,0.0,216.15,50,64.36,2140.0,36,792.4059
5104019,KOVACS POND NO 2,5300584,SHOSHONE POWER PLANT,126.667,0.0,1.05,51,147.54,1408.0,53,133.00035
5003646,MARTIN RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,50.0,0.0,216.15,50,15.77,209199.0,36,10807.5
5003653,COLBURN RESERVOIR NO 2,3604512,DILLON RESERVOIR,10.0,0.0,23.0,50,44.67,407914.0,36,230.0
5303600,YARMONY LODGE POND C,3604512,DILLON RESERVOIR,10.0,0.0,3.01,53,44.67,407914.0,36,30.099999999999998
5103526,CORRAL CREEK WETLAND NO1,5300584,SHOSHONE POWER PLANT,126.667,0.0,26.8,51,147.54,1408.0,53,3394.6756
5003652,COLBURN RESERVOIR,3604512,DILLON RESERVOIR,10.0,0.0,16.0,50,44.67,407914.0,36,160.0
5303599,YARMONY LODGE POND B,3604512,DILLON RESERVOIR,10.0,0.0,1.78,53,44.67,407914.0,36,17.8
3703786,GRAHAM POND NO 2,3604512,DILLON RESERVOIR,10.0,0.0,0.13,37,44.67,407914.0,36,1.3
5303598,YARMONY LODGE POND A,3604512,DILLON RESERVOIR,10.0,0.0,6.55,53,44.67,407914.0,36,65.5
3703536,MIN LAKE BENCH LAKE NO 1,3604512,DILLON RESERVOIR,10.0,0.0,9.0,37,44.67,407914.0,36,90.0
5104018,KOVACS POND NO 1,3603543,GREEN MOUNTAIN RESERVOIR,25.0,0.0,0.65,51,15.77,209199.0,36,16.25
5104019,KOVACS POND NO 2,3603543,GREEN MOUNTAIN RESERVOIR,25.0,0.0,1.05,51,15.77,209199.0,36,26.25
5104019,KOVACS POND NO 2,3604512,DILLON RESERVOIR,10.0,0.0,1.05,51,44.67,407914.0,36,10.5
5303600,YARMONY LODGE POND C,3603570,CON-HOOSIER UPPER BLUE LAKE,1.833,0.0,3.01,53,64.36,2140.0,36,5.517329999999999
5003653,COLBURN RESERVOIR NO 2,3603570,CON-HOOSIER UPPER BLUE LAKE,1.833,0.0,23.0,50,64.36,2140.0,36,42.159
5303599,YARMONY LODGE POND B,3603570,CON-HOOSIER UPPER BLUE LAKE,1.833,0.0,1.78,53,64.36,2140.0,36,3.26274
5303598,YARMONY LODGE POND A,3603543,GREEN MOUNTAIN RESERVOIR,25.0,0.0,6.55,53,15.77,209199.0,36,163.75
5003652,COLBURN RESERVOIR,3603570,CON-HOOSIER UPPER BLUE LAKE,1.833,0.0,16.0,50,64.36,2140.0,36,29.328
5303600,YARMONY LODGE POND C,3603543,GREEN MOUNTAIN RESERVOIR,25.0,0.0,3.01,53,15.77,209199.0,36,75.25
5303599,YARMONY LODGE POND B,3603543,GREEN MOUNTAIN RESERVOIR,25.0,0.0,1.78,53,15.77,209199.0,36,44.5
3703786,GRAHAM POND NO 2,5300584,SHOSHONE POWER PLANT,126.667,0.0,0.13,37,147.54,1408.0,53,16.46671
5003653,COLBURN RESERVOIR NO 2,5300584,SHOSHONE POWER PLANT,126.667,0.0,23.0,50,147.54,1408.0,53,2913.341
5103526,CORRAL CREEK WETLAND NO1,3603543,GREEN MOUNTAIN RESERVOIR,25.0,0.0,26.8,51,15.77,209199.0,36,670.0
5003652,COLBURN RESERVOIR,5300584,SHOSHONE POWER PLANT,126.667,0.0,16.0,50,147.54,1408.0,53,2026.672
3703786,GRAHAM POND NO 2,3603570,CON-HOOSIER UPPER BLUE LAKE,1.833,0.0,0.13,37,64.36,2140.0,36,0.23829
3703536,MIN LAKE BENCH LAKE NO 1,3603543,GREEN MOUNTAIN RESERVOIR,25.0,0.0,9.0,37,15.77,209199.0,36,225.0
5303600,YARMONY LODGE POND C,5300584,SHOSHONE POWER PLANT,126.667,0.0,3.01,53,147.54,1408.0,53,381.26766999999995
5003646,MARTIN RESERVOIR,5300584,SHOSHONE POWER PLANT,253.334,0.0,216.15,50,147.54,1408.0,53,54758.144100000005
5103526,CORRAL CREEK WETLAND NO1,3604512,DILLON RESERVOIR,10.0,0.0,26.8,51,44.67,407914.0,36,268.0
3703786,GRAHAM POND NO 2,3603543,GREEN MOUNTAIN RESERVOIR,25.0,0.0,0.13,37,15.77,209199.0,36,3.25
5003653,COLBURN RESERVOIR NO 2,3603543,GREEN MOUNTAIN RESERVOIR,25.0,0.0,23.0,50,15.77,209199.0,36,575.0
5303599,YARMONY LODGE POND B,5300584,SHOSHONE POWER PLANT,126.667,0.0,1.78,53,147.54,1408.0,53,225.46726
5303598,YARMONY LODGE POND A,5300584,SHOSHONE POWER PLANT,126.667,0.0,6.55,53,147.54,1408.0,53,829.66885
5003652,COLBURN RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,25.0,0.0,16.0,50,15.77,209199.0,36,400.0
5103526,CORRAL CREEK WETLAND NO1,3603570,CON-HOOSIER UPPER BLUE LAKE,1.833,0.0,26.8,51,64.36,2140.0,36,49.1244
3702056,MIN FLOW GORE CR LOWER,3603543,GREEN MOUNTAIN RESERVOIR,50.0,0.01,36.0,37,15.77,209199.0,36,1800.0
3702056,MIN FLOW GORE CR LOWER,3604512,DILLON RESERVOIR,20.0,0.01,36.0,37,44.67,407914.0,36,720.0
3702056,MIN FLOW GORE CR LOWER,5300584,SHOSHONE POWER PLANT,253.334,0.01,36.0,37,147.54,1408.0,53,9120.024
3702056,MIN FLOW GORE CR LOWER,3603570,CON-HOOSIER UPPER BLUE LAKE,3.666,0.01,36.0,37,64.36,2140.0,36,131.976
3702018,MIN FLOW CROSS CR LOWER,3603570,CON-HOOSIER UPPER BLUE LAKE,1.833,0.02,20.0,37,64.36,2140.0,36,36.66
3602049,MIN FLOW BLUE RIVER 11 - GMR TO COLORADO RIVER,3603570,CON-HOOSIER UPPER BLUE LAKE,1.833,0.02,60.0,36,64.36,2140.0,36,109.98
5302006,MIN FLOW SWEETWATER CR,5300584,SHOSHONE POWER PLANT,126.667,0.02,18.0,53,147.54,1408.0,53,2280.006
3702018,MIN FLOW CROSS CR LOWER,3603543,GREEN MOUNTAIN RESERVOIR,25.0,0.02,20.0,37,15.77,209199.0,36,500.0
3602049,MIN FLOW BLUE RIVER 11 - GMR TO COLORADO RIVER,3604512,DILLON RESERVOIR,10.0,0.02,60.0,36,44.67,407914.0,36,600.0
3702018,MIN FLOW CROSS CR LOWER,5300584,SHOSHONE POWER PLANT,126.667,0.02,20.0,37,147.54,1408.0,53,2533.34
3602049,MIN FLOW BLUE RIVER 11 - GMR TO COLORADO RIVER,5300584,SHOSHONE POWER PLANT,126.667,0.02,60.0,36,147.54,1408.0,53,7600.02
5302006,MIN FLOW SWEETWATER CR,3603543,GREEN MOUNTAIN RESERVOIR,25.0,0.02,18.0,53,15.77,209199.0,36,450.0
5302007,MIN FLOW DEEP CREEK,3603570,CON-HOOSIER UPPER BLUE LAKE,1.833,0.02,14.0,53,64.36,2140.0,36,25.662
5302007,MIN FLOW DEEP CREEK,3603543,GREEN MOUNTAIN RESERVOIR,25.0,0.02,14.0,53,15.77,209199.0,36,350.0
5302006,MIN FLOW SWEETWATER CR,3603570,CON-HOOSIER UPPER BLUE LAKE,1.833,0.02,18.0,53,64.36,2140.0,36,32.994
5302007,MIN FLOW DEEP CREEK,5300584,SHOSHONE POWER PLANT,126.667,0.02,14.0,53,147.54,1408.0,53,1773.338
3702018,MIN FLOW CROSS CR LOWER,3604512,DILLON RESERVOIR,10.0,0.02,20.0,37,44.67,407914.0,36,200.0
3602049,MIN FLOW BLUE RIVER 11 - GMR TO COLORADO RIVER,3603543,GREEN MOUNTAIN RESERVOIR,25.0,0.02,60.0,36,15.77,209199.0,36,1500.0
5302006,MIN FLOW SWEETWATER CR,3604512,DILLON RESERVOIR,10.0,0.02,18.0,53,44.67,407914.0,36,180.0
5302007,MIN FLOW DEEP CREEK,3604512,DILLON RESERVOIR,10.0,0.02,14.0,53,44.67,407914.0,36,140.0
5303514,OLSON POND,5300584,SHOSHONE POWER PLANT,126.667,0.05,2.0,53,147.54,1408.0,53,253.334
5303514,OLSON POND,3603570,CON-HOOSIER UPPER BLUE LAKE,1.833,0.05,2.0,53,64.36,2140.0,36,3.666
5303514,OLSON POND,3604512,DILLON RESERVOIR,10.0,0.05,2.0,53,44.67,407914.0,36,20.0
5303514,OLSON POND,3603543,GREEN MOUNTAIN RESERVOIR,25.0,0.05,2.0,53,15.77,209199.0,36,50.0
5104057,CORRAL CREEK POND,3603570,CON-HOOSIER UPPER BLUE LAKE,1.833,0.06,5.0,51,64.36,2140.0,36,9.165
5104057,CORRAL CREEK POND,3604512,DILLON RESERVOIR,10.0,0.06,5.0,51,44.67,407914.0,36,50.0
