analysisWdid,analysisStructure,priorityWdid,priorityStructure,sumWtdCount,analysisStreamMile,analysisNetAbs,analysisWaterDistrict,priorityStreamMile,priorityNetAbs,priorityWaterDistrict,edgeWt
3703786,GRAHAM POND NO 2,7200645,GRAND VALLEY CANAL,15.917,0.0,0.13,37,53.09,940.28,72,2.06921
5303600,YARMONY LODGE POND C,5300584,SHOSHONE POWER PLANT,12.667,0.0,3.01,53,147.54,1408.0,53,38.127669999999995
5303599,YARMONY LODGE POND B,3804617,IND P TM DVR TUNNEL NO 1,1.0,0.0,1.78,53,6.72,625.0,38,1.78
3803592,BAILEY POND NO 1,7200646,GRAND VALLEY PROJECT,71.916,0.0,0.55,38,61.8,2313.7,72,39.5538
5103526,CORRAL CREEK WETLAND NO1,3604684,BLUE RIVER DIVERSION PROJECT,2.125,0.0,26.8,51,45.59,520.0,36,56.95
3903505,GRASS VALLEY RESERVOIR,3604684,BLUE RIVER DIVERSION PROJECT,2.125,0.0,6989.2,39,45.59,520.0,36,14852.05
3802114,MIN FLOW CRYSTAL R LOWER,3603543,GREEN MOUNTAIN RESERVOIR,33.042,0.0,100.0,38,15.77,209199.0,36,3304.2000000000003
3703536,MIN LAKE BENCH LAKE NO 1,3604684,BLUE RIVER DIVERSION PROJECT,2.125,0.0,9.0,37,45.59,520.0,36,19.125
5303598,YARMONY LODGE POND A,3603543,GREEN MOUNTAIN RESERVOIR,33.042,0.0,6.55,53,15.77,209199.0,36,216.42510000000001
5303599,YARMONY LODGE POND B,3603543,GREEN MOUNTAIN RESERVOIR,33.042,0.0,1.78,53,15.77,209199.0,36,58.81476000000001
5303598,YARMONY LODGE POND A,3804617,IND P TM DVR TUNNEL NO 1,1.0,0.0,6.55,53,6.72,625.0,38,6.55
5303600,YARMONY LODGE POND C,3603543,GREEN MOUNTAIN RESERVOIR,33.042,0.0,3.01,53,15.77,209199.0,36,99.45642
5303598,YARMONY LODGE POND A,5300584,SHOSHONE POWER PLANT,12.667,0.0,6.55,53,147.54,1408.0,53,82.96885
3900672,THOMPKINS DITCH,7200645,GRAND VALLEY CANAL,9.125,0.0,21.0,39,53.09,940.28,72,191.625
3803594,BAILEY POND NO 3,7200645,GRAND VALLEY CANAL,15.917,0.0,1.0,38,53.09,940.28,72,15.917
3802010,MIN FLOW S FK CRYSTAL R,7200645,GRAND VALLEY CANAL,15.917,0.0,17.0,38,53.09,940.28,72,270.589
3802011,MIN FLOW N FK CRYSTAL R,7200645,GRAND VALLEY CANAL,15.917,0.0,20.0,38,53.09,940.28,72,318.34
3703786,GRAHAM POND NO 2,5300584,SHOSHONE POWER PLANT,12.667,0.0,0.13,37,147.54,1408.0,53,1.6467100000000001
7204097,SCHORN RESERVOIR NO 10,3804617,IND P TM DVR TUNNEL NO 1,1.0,0.0,5.0,72,6.72,625.0,38,5.0
3900672,THOMPKINS DITCH,3603543,GREEN MOUNTAIN RESERVOIR,14.843,0.0,21.0,39,15.77,209199.0,36,311.703
3804146,BRITVAR POND,3604684,BLUE RIVER DIVERSION PROJECT,2.125,0.0,0.23,38,45.59,520.0,36,0.48875
3802011,MIN FLOW N FK CRYSTAL R,3804617,IND P TM DVR TUNNEL NO 1,1.0,0.0,20.0,38,6.72,625.0,38,20.0
5104018,KOVACS POND NO 1,3603543,GREEN MOUNTAIN RESERVOIR,33.042,0.0,0.65,51,15.77,209199.0,36,21.477300000000003
5104019,KOVACS POND NO 2,3603543,GREEN MOUNTAIN RESERVOIR,33.042,0.0,1.05,51,15.77,209199.0,36,34.694100000000006
