analysisWdid,analysisStructure,priorityWdid,priorityStructure,sumWtdCount,analysisStreamMile,analysisNetAbs,analysisWaterDistrict,priorityStreamMile,priorityNetAbs,priorityWaterDistrict,edgeWt
3802010,MIN FLOW S FK CRYSTAL R,7200645,GRAND VALLEY CANAL,12.833,0.0,17.0,38,53.09,940.28,72,218.161
3804137,OGARA POND,7200645,GRAND VALLEY CANAL,12.833,0.0,2.0,38,53.09,940.28,72,25.666
5104019,KOVACS POND NO 2,5300584,SHOSHONE POWER PLANT,284.833,0.0,1.05,51,147.54,1408.0,53,299.07465
3903505,GRASS VALLEY RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,6.75,0.0,6989.2,39,15.77,209199.0,36,47177.1
3803553,ASPEN VALLEY RANCH POND,3603543,GREEN MOUNTAIN RESERVOIR,6.75,0.0,5.0,38,15.77,209199.0,36,33.75
3803593,BAILEY POND NO 2,7200645,GRAND VALLEY CANAL,12.833,0.0,1.0,38,53.09,940.28,72,12.833
3804137,OGARA POND,7200646,GRAND VALLEY PROJECT,90.167,0.0,2.0,38,61.8,2313.7,72,180.334
3803592,BAILEY POND NO 1,7200645,GRAND VALLEY CANAL,12.833,0.0,0.55,38,53.09,940.28,72,7.05815
3802011,MIN FLOW N FK CRYSTAL R,7200646,GRAND VALLEY PROJECT,90.167,0.0,20.0,38,61.8,2313.7,72,1803.3400000000001
3803936,PAN AND FORK RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,6.75,0.0,0.5,38,15.77,209199.0,36,3.375
3802010,MIN FLOW S FK CRYSTAL R,7200646,GRAND VALLEY PROJECT,90.167,0.0,17.0,38,61.8,2313.7,72,1532.839
3803635,MARTIN POND,7200645,GRAND VALLEY CANAL,12.833,0.0,0.1,38,53.09,940.28,72,1.2833
3803635,MARTIN POND,3803713,RUEDI RESERVOIR,1.2919999999999998,0.0,0.1,38,14.28,172135.0,38,0.12919999999999998
3703786,GRAHAM POND NO 2,5300584,SHOSHONE POWER PLANT,284.833,0.0,0.13,37,147.54,1408.0,53,37.028290000000005
3802114,MIN FLOW CRYSTAL R LOWER,7200646,GRAND VALLEY PROJECT,90.167,0.0,100.0,38,61.8,2313.7,72,9016.7
5003653,COLBURN RESERVOIR NO 2,5300584,SHOSHONE POWER PLANT,284.833,0.0,23.0,50,147.54,1408.0,53,6551.159000000001
3903558,LAFRENZ POND,3603543,GREEN MOUNTAIN RESERVOIR,6.75,0.0,1.75,39,15.77,209199.0,36,11.8125
5003652,COLBURN RESERVOIR,5300584,SHOSHONE POWER PLANT,284.833,0.0,16.0,50,147.54,1408.0,53,4557.328
3804137,OGARA POND,3604684,BLUE RIVER DIVERSION PROJECT,1.042,0.0,2.0,38,45.59,520.0,36,2.084
3803553,ASPEN VALLEY RANCH POND,7200646,GRAND VALLEY PROJECT,90.167,0.0,5.0,38,61.8,2313.7,72,450.83500000000004
5104019,KOVACS POND NO 2,3803713,RUEDI RESERVOIR,1.2919999999999998,0.0,1.05,51,14.28,172135.0,38,1.3565999999999998
3703786,GRAHAM POND NO 2,3604684,BLUE RIVER DIVERSION PROJECT,1.042,0.0,0.13,37,45.59,520.0,36,0.13546
5104018,KOVACS POND NO 1,3803713,RUEDI RESERVOIR,1.2919999999999998,0.0,0.65,51,14.28,172135.0,38,0.8397999999999999
3903558,LAFRENZ POND,7200646,GRAND VALLEY PROJECT,90.167,0.0,1.75,39,61.8,2313.7,72,157.79225
3703786,GRAHAM POND NO 2,3803713,RUEDI RESERVOIR,1.2919999999999998,0.0,0.13,37,14.28,172135.0,38,0.16795999999999997
7204097,SCHORN RESERVOIR NO 10,3604684,BLUE RIVER DIVERSION PROJECT,1.042,0.0,5.0,72,45.59,520.0,36,5.21
3803553,ASPEN VALLEY RANCH POND,7200645,GRAND VALLEY CANAL,12.833,0.0,5.0,38,53.09,940.28,72,64.165
3803936,PAN AND FORK RESERVOIR,7200646,GRAND VALLEY PROJECT,90.167,0.0,0.5,38,61.8,2313.7,72,45.0835
3803593,BAILEY POND NO 2,3803713,RUEDI RESERVOIR,1.2919999999999998,0.0,1.0,38,14.28,172135.0,38,1.2919999999999998
