analysisWdid,analysisStructure,priorityWdid,priorityStructure,sumWtdCount,analysisStreamMile,analysisNetAbs,analysisWaterDistrict,priorityStreamMile,priorityNetAbs,priorityWaterDistrict,edgeWt
3703645,WATERFORD RANCH PD P7-1,5300584,SHOSHONE POWER PLANT,133.0,5.38,0.2,37,147.54,1408.0,53,26.6
3704642,EWING DITCH,5300584,SHOSHONE POWER PLANT,126.0,5.39,18.5,37,147.54,1408.0,53,2331.0
4503623,MIKLISH RESERVOIR,7200646,GRAND VALLEY PROJECT,5.6670000000000025,5.42,2.5340000000000003,45,61.8,2313.7,72,14.360178000000008
7203854,PALISADE CABIN RESERVOIR,7200872,SMITH DITCH (RAPID CR),226.46,5.45,1022.0,72,0.48,0.672,72,231442.12
5104024,PICKERING RESERVOIR,5104655,MOFFAT WATER TUNNEL,3.0,5.46,19.7,51,25.36,928.0,51,59.099999999999994
5104024,PICKERING RESERVOIR,5300584,SHOSHONE POWER PLANT,133.0,5.46,19.7,51,147.54,1408.0,53,2620.1
3803990,STAINTON POND NO 3,3800516,ATKINSON DITCH,41.667,5.46,14.86,38,2.77,17.2,38,619.17162
5104024,PICKERING RESERVOIR,5104634,CBT ALVA B ADAMS TUNNEL,5.0,5.46,19.7,51,0.85,550.0,51,98.5
7203603,HENDERSON RESERVOIR,7200811,OAKLAND DITCH,53.688,5.48,0.5,72,1.94,5.92,72,26.844
7203603,HENDERSON RESERVOIR,7200791,MIDLINE DITCH,7.875999999999999,5.48,0.5,72,2.28,8.41,72,3.9379999999999993
3900548,DEWEESE DITCH,7200646,GRAND VALLEY PROJECT,11.334000000000001,5.48,35.0,39,61.8,2313.7,72,396.69000000000005
4503743,PAINTED HORSE POND,7200646,GRAND VALLEY PROJECT,5.6670000000000025,5.48,0.15,45,61.8,2313.7,72,0.8500500000000003
4503600,PARKER RESERVOIR NO 15,7200646,GRAND VALLEY PROJECT,5.6670000000000025,5.49,0.8,45,61.8,2313.7,72,4.5336000000000025
3603533,BLACK LAKE RESERVOIR,5300584,SHOSHONE POWER PLANT,126.0,5.49,1997.2,36,147.54,1408.0,53,251647.2
3603533,BLACK LAKE RESERVOIR,5104634,CBT ALVA B ADAMS TUNNEL,5.0,5.49,1997.2,36,0.85,550.0,51,9986.0
3603533,BLACK LAKE RESERVOIR,5104655,MOFFAT WATER TUNNEL,3.0,5.49,1997.2,36,25.36,928.0,51,5991.6
5104008,GLENN POND NO 2,5104655,MOFFAT WATER TUNNEL,6.0,5.5,2.28,51,25.36,928.0,51,13.68
5104008,GLENN POND NO 2,5104634,CBT ALVA B ADAMS TUNNEL,10.0,5.5,2.28,51,0.85,550.0,51,22.799999999999997
