analysisWdid,analysisStructure,priorityWdid,priorityStructure,sumWtdCount,analysisStreamMile,analysisNetAbs,analysisWaterDistrict,priorityStreamMile,priorityNetAbs,priorityWaterDistrict
5304042,LOWER MCLEAN RESERVOIR,3604684,BLUE RIVER DIVERSION PROJECT,17.167,7.97,7.75,53,45.59,520.0,36
7204047,SUNSET POND NO 2,3604684,BLUE RIVER DIVERSION PROJECT,7.167000000000001,7.97,2.0,72,45.59,520.0,36
7204047,SUNSET POND NO 2,7200645,GRAND VALLEY CANAL,15.084000000000001,7.97,2.0,72,53.09,940.28,72
7203865,DOG LAKE RESERVOIR NO 4,3603543,GREEN MOUNTAIN RESERVOIR,19.031,7.98,15.0,72,15.77,209199.0,36
7203865,DOG LAKE RESERVOIR NO 4,7200645,GRAND VALLEY CANAL,15.084000000000001,7.98,15.0,72,53.09,940.28,72
3803826,HARVEY POND NO 01,7200645,GRAND VALLEY CANAL,15.084000000000001,8.03,0.773,38,53.09,940.28,72
3804032,HARVEY POND NO 11,3603543,GREEN MOUNTAIN RESERVOIR,19.031,8.03,0.792,38,15.77,209199.0,36
3804025,HARVEY POND NO 04,3603543,GREEN MOUNTAIN RESERVOIR,19.031,8.03,0.285,38,15.77,209199.0,36
3804032,HARVEY POND NO 11,3604684,BLUE RIVER DIVERSION PROJECT,7.167000000000001,8.03,0.792,38,45.59,520.0,36
3804025,HARVEY POND NO 04,3604684,BLUE RIVER DIVERSION PROJECT,7.167000000000001,8.03,0.285,38,45.59,520.0,36
3804025,HARVEY POND NO 04,7200645,GRAND VALLEY CANAL,15.084000000000001,8.03,0.285,38,53.09,940.28,72
3803826,HARVEY POND NO 01,3603543,GREEN MOUNTAIN RESERVOIR,19.031,8.03,0.773,38,15.77,209199.0,36
3804032,HARVEY POND NO 11,7200645,GRAND VALLEY CANAL,15.084000000000001,8.03,0.792,38,53.09,940.28,72
3803826,HARVEY POND NO 01,3604684,BLUE RIVER DIVERSION PROJECT,7.167000000000001,8.03,0.773,38,45.59,520.0,36
7204046,SUNSET POND NO 1,3603543,GREEN MOUNTAIN RESERVOIR,19.031,8.04,2.0,72,15.77,209199.0,36
7204046,SUNSET POND NO 1,3604684,BLUE RIVER DIVERSION PROJECT,7.167000000000001,8.04,2.0,72,45.59,520.0,36
