analysisWdid,analysisStructure,priorityWdid,priorityStructure,sumWtdCount,analysisStreamMile,analysisNetAbs,analysisWaterDistrict,priorityStreamMile,priorityNetAbs,priorityWaterDistrict,edgeWt
7204097,SCHORN RESERVOIR NO 10,7200645,GRAND VALLEY CANAL,24.5,0.0,5.0,72,53.09,940.28,72,122.5
4503606,DILLMAN DITCH FISH POND,7200646,GRAND VALLEY PROJECT,33.25,0.0,4.8,45,61.8,2313.7,72,159.6
3804137,OGARA POND,7200646,GRAND VALLEY PROJECT,33.25,0.0,2.0,38,61.8,2313.7,72,66.5
3903998,HILMES POND,7200646,GRAND VALLEY PROJECT,33.25,0.0,1.0,39,61.8,2313.7,72,33.25
3804146,BRITVAR POND,7200646,GRAND VALLEY PROJECT,33.25,0.0,0.23,38,61.8,2313.7,72,7.6475
3802010,MIN FLOW S FK CRYSTAL R,7200645,GRAND VALLEY CANAL,24.5,0.0,17.0,38,53.09,940.28,72,416.5
3903942,MOORES IRRIGATION POND,7200646,GRAND VALLEY PROJECT,33.25,0.0,0.125,39,61.8,2313.7,72,4.15625
3804146,BRITVAR POND,7200645,GRAND VALLEY CANAL,24.5,0.0,0.23,38,53.09,940.28,72,5.635000000000001
3802011,MIN FLOW N FK CRYSTAL R,7200645,GRAND VALLEY CANAL,24.5,0.0,20.0,38,53.09,940.28,72,490.0
3803553,ASPEN VALLEY RANCH POND,7200645,GRAND VALLEY CANAL,24.5,0.0,5.0,38,53.09,940.28,72,122.5
3803593,BAILEY POND NO 2,7200645,GRAND VALLEY CANAL,24.5,0.0,1.0,38,53.09,940.28,72,24.5
5003652,COLBURN RESERVOIR,5300584,SHOSHONE POWER PLANT,167.208,0.0,16.0,50,147.54,1408.0,53,2675.328
3802114,MIN FLOW CRYSTAL R LOWER,7200645,GRAND VALLEY CANAL,24.5,0.0,100.0,38,53.09,940.28,72,2450.0
3804137,OGARA POND,7200645,GRAND VALLEY CANAL,24.5,0.0,2.0,38,53.09,940.28,72,49.0
3703786,GRAHAM POND NO 2,5300584,SHOSHONE POWER PLANT,167.208,0.0,0.13,37,147.54,1408.0,53,21.73704
3703536,MIN LAKE BENCH LAKE NO 1,5300584,SHOSHONE POWER PLANT,167.208,0.0,9.0,37,147.54,1408.0,53,1504.872
