analysisWdid,analysisStructure,priorityWdid,priorityStructure,sumWtdCount,analysisStreamMile,analysisNetAbs,analysisWaterDistrict,priorityStreamMile,priorityNetAbs,priorityWaterDistrict,edgeWt
5104019,KOVACS POND NO 2,5104634,CBT ALVA B ADAMS TUNNEL,12.0,0.0,1.05,51,0.85,550.0,51,12.600000000000001
3903505,GRASS VALLEY RESERVOIR,7200646,GRAND VALLEY PROJECT,27.0,0.0,6989.2,39,61.8,2313.7,72,188708.4
3903942,MOORES IRRIGATION POND,7200646,GRAND VALLEY PROJECT,27.0,0.0,0.125,39,61.8,2313.7,72,3.375
3804137,OGARA POND,7200646,GRAND VALLEY PROJECT,27.0,0.0,2.0,38,61.8,2313.7,72,54.0
3802011,MIN FLOW N FK CRYSTAL R,7200646,GRAND VALLEY PROJECT,11.0,0.0,20.0,38,61.8,2313.7,72,220.0
3802114,MIN FLOW CRYSTAL R LOWER,7200646,GRAND VALLEY PROJECT,11.0,0.0,100.0,38,61.8,2313.7,72,1100.0
5104018,KOVACS POND NO 1,5300584,SHOSHONE POWER PLANT,225.0,0.0,0.65,51,147.54,1408.0,53,146.25
5104019,KOVACS POND NO 2,5300584,SHOSHONE POWER PLANT,225.0,0.0,1.05,51,147.54,1408.0,53,236.25
3903998,HILMES POND,7200646,GRAND VALLEY PROJECT,27.0,0.0,1.0,39,61.8,2313.7,72,27.0
5303600,YARMONY LODGE POND C,5104634,CBT ALVA B ADAMS TUNNEL,12.0,0.0,3.01,53,0.85,550.0,51,36.12
3903558,LAFRENZ POND,7200646,GRAND VALLEY PROJECT,27.0,0.0,1.75,39,61.8,2313.7,72,47.25
5303599,YARMONY LODGE POND B,5104634,CBT ALVA B ADAMS TUNNEL,12.0,0.0,1.78,53,0.85,550.0,51,21.36
3804146,BRITVAR POND,7200646,GRAND VALLEY PROJECT,27.0,0.0,0.23,38,61.8,2313.7,72,6.21
3703786,GRAHAM POND NO 2,5104634,CBT ALVA B ADAMS TUNNEL,12.0,0.0,0.13,37,0.85,550.0,51,1.56
5103526,CORRAL CREEK WETLAND NO1,5300584,SHOSHONE POWER PLANT,225.0,0.0,26.8,51,147.54,1408.0,53,6030.0
3703536,MIN LAKE BENCH LAKE NO 1,5300584,SHOSHONE POWER PLANT,225.0,0.0,9.0,37,147.54,1408.0,53,2025.0
5003652,COLBURN RESERVOIR,5300584,SHOSHONE POWER PLANT,225.0,0.0,16.0,50,147.54,1408.0,53,3600.0
3803936,PAN AND FORK RESERVOIR,7200646,GRAND VALLEY PROJECT,27.0,0.0,0.5,38,61.8,2313.7,72,13.5
