analysisAdminNo,priorityAdminNo,wt
36040.0,20427.18999,136.625
46751.43716,20427.18999,136.625
46751.4529,20427.18999,136.625
52000.0,20427.18999,136.625
37494.0,20427.18999,136.625
45290.3628,20427.18999,136.625
35016.0,20427.18999,136.625
46751.46211,20427.18999,136.625
50961.0,20427.18999,136.625
45290.35239,20427.18999,136.625
46883.0,20427.18999,136.625
43829.22015,20427.18999,136.625
51999.0,20427.18999,136.625
52960.46233,20427.18999,136.625
43622.38929,20427.18999,136.625
46980.0,20427.18999,136.625
47023.0,20427.18999,136.625
47086.0,20427.18999,136.625
47105.0,20427.18999,136.625
43621.43338,20427.18999,136.625
43621.42906,20427.18999,136.625
47116.2221,20427.18999,136.625
47116.23375,20427.18999,136.625
47116.32797,20427.18999,136.625
47116.445589999996,20427.18999,136.625
43621.41467,20427.18999,136.625
50769.50702,20427.18999,136.625
52960.39598,20427.18999,136.625
46751.38928,20427.18999,136.625
47116.46933,20427.18999,136.625
34762.3464,20427.18999,136.625
31393.29065,20427.18999,136.625
37446.0,20427.18999,136.625
31393.26176,20427.18999,136.625
45290.3635,20427.18999,136.625
31393.23745,20427.18999,136.625
37465.0,20427.18999,136.625
31359.0,20427.18999,136.625
52803.0,20427.18999,136.625
51499.50038,20427.18999,136.625
31272.0,20427.18999,136.625
52822.0,20427.18999,136.625
31259.301330000002,20427.18999,136.625
37482.0,20427.18999,136.625
31258.0,20427.18999,136.625
46506.0,20427.18999,136.625
31175.0,20427.18999,136.625
46538.0,20427.18999,136.625
52883.0,20427.18999,136.625
46593.0,20427.18999,136.625
46594.0,20427.18999,136.625
52960.267660000005,20427.18999,136.625
46599.0,20427.18999,136.625
46631.0,20427.18999,136.625
46749.0,20427.18999,136.625
52960.30683,20427.18999,136.625
51499.51074,20427.18999,136.625
43464.0,20427.18999,136.625
42492.0,20427.18999,136.625
47609.0,20427.18999,136.625
44925.436069999996,20427.18999,136.625
50769.47116,20427.18999,136.625
47670.0,20427.18999,136.625
47671.0,20427.18999,136.625
47755.0,20427.18999,136.625
42618.0,20427.18999,136.625
47827.0,20427.18999,136.625
45290.0,20427.18999,136.625
37837.0,20427.18999,136.625
53203.0,20427.18999,136.625
42557.0,20427.18999,136.625
30894.300710000003,20427.18999,136.625
47847.32872,20427.18999,136.625
30894.29746,20427.18999,136.625
53225.0,20427.18999,136.625
30894.29745,20427.18999,136.625
50769.30316,20427.18999,136.625
30894.293910000004,20427.18999,136.625
53231.0,20427.18999,136.625
30894.2934,20427.18999,136.625
42520.0,20427.18999,136.625
30894.29013,20427.18999,136.625
37905.0,20427.18999,136.625
30894.280110000003,20427.18999,136.625
42519.0,20427.18999,136.625
51499.51328,20427.18999,136.625
47602.0,20427.18999,136.625
43403.0,20427.18999,136.625
