analysisWdid,analysisStructureName,locationWdid,locationStructure,sum_wtd_count
3903922,CHERRY CREEK POND NO 1,3900661,SAINT NO 2 DITCH,299.333
3903954,THOMAS RESERVOIR,3900661,SAINT NO 2 DITCH,299.333
3903923,CHERRY CREEK POND NO 2,3900661,SAINT NO 2 DITCH,299.333
4503627,SUSAN STOCK WATER PONDS,4500793,TAUGHENBAUGH DITCH,191.219
4500793,TAUGHENBAUGH DITCH,4500793,TAUGHENBAUGH DITCH,155.219
3803959,BUCK POINT RANCH RES 2,3801148,KEETON & EMISON DITCH,136.0
3803970,BUCK POINT RANCH RES 1,3801148,KEETON & EMISON DITCH,136.0
3603575,CLINTON GULCH RESERVOIR,3604512,DILLON RESERVOIR,130.084
4500749,RODERICK DITCH,4500823,WILLIAMS DITCH NO 1,111.0
4503552,BEAVER DAM RESERVOIR,4500823,WILLIAMS DITCH NO 1,111.0
3904014,DODDS POND,3903508,RIFLE GAP RESERVOIR,105.333
3903994,RAYMOND POND,3903508,RIFLE GAP RESERVOIR,105.333
3903997,LEECH POND NO 2,3903508,RIFLE GAP RESERVOIR,105.333
3903935,KATT POND NO 1,3903508,RIFLE GAP RESERVOIR,105.333
3904005,ZALESNY POND,3903508,RIFLE GAP RESERVOIR,105.333
3900649,EAST RIFLE CR PL NO 2,3903508,RIFLE GAP RESERVOIR,105.333
3903596,AARON'S LOWER POND,3903508,RIFLE GAP RESERVOIR,105.333
3903531,DBS POND NO 1,3903508,RIFLE GAP RESERVOIR,105.333
3903996,LEECH POND NO 1,3903508,RIFLE GAP RESERVOIR,105.333
3903532,DBS POND NO 2,3903508,RIFLE GAP RESERVOIR,105.333
3903540,ANDERSON POND NO 1,3903508,RIFLE GAP RESERVOIR,105.333
3903541,ANDERSON POND NO 2,3903508,RIFLE GAP RESERVOIR,105.333
3903552,SHOP CREEK POND,3903508,RIFLE GAP RESERVOIR,105.333
3903594,AARON'S WATER HOLE,3903508,RIFLE GAP RESERVOIR,105.333
3903595,AARON'S FISH POND,3903508,RIFLE GAP RESERVOIR,105.333
3904014,DODDS POND,3900574,GRAND TUNNEL DITCH,101.0
3904005,ZALESNY POND,3900574,GRAND TUNNEL DITCH,101.0
3903997,LEECH POND NO 2,3900574,GRAND TUNNEL DITCH,101.0
3903994,RAYMOND POND,3900574,GRAND TUNNEL DITCH,101.0
3903996,LEECH POND NO 1,3900574,GRAND TUNNEL DITCH,101.0
3903532,DBS POND NO 2,3900574,GRAND TUNNEL DITCH,101.0
3903596,AARON'S LOWER POND,3900574,GRAND TUNNEL DITCH,101.0
3903595,AARON'S FISH POND,3900574,GRAND TUNNEL DITCH,101.0
3903594,AARON'S WATER HOLE,3900574,GRAND TUNNEL DITCH,101.0
3903541,ANDERSON POND NO 2,3900574,GRAND TUNNEL DITCH,101.0
3903540,ANDERSON POND NO 1,3900574,GRAND TUNNEL DITCH,101.0
3903552,SHOP CREEK POND,3900574,GRAND TUNNEL DITCH,101.0
3903531,DBS POND NO 1,3900574,GRAND TUNNEL DITCH,101.0
