analysisWdid,analysisStructureName,locationWdid,locationStructure,sum_wtd_count
5304013,GEORGE A GATES RES NO 1,5300584,SHOSHONE POWER PLANT,293.731
5303508,JARNOT POND 1,5300584,SHOSHONE POWER PLANT,293.731
5304023,TROUTVILLE POND NO 1,5300584,SHOSHONE POWER PLANT,293.731
5302007,MIN FLOW DEEP CREEK,5300584,SHOSHONE POWER PLANT,293.731
5304020,MACKINAW LAKE RES NO 2,5300584,SHOSHONE POWER PLANT,293.731
5304014,GEORGE A GATES RES NO 2,5300584,SHOSHONE POWER PLANT,293.731
5302006,MIN FLOW SWEETWATER CR,5300584,SHOSHONE POWER PLANT,293.731
5300704,MIDDLE DERBY DITCH,5300584,SHOSHONE POWER PLANT,293.731
5304015,HERRES POND,5300584,SHOSHONE POWER PLANT,293.731
5303510,GALLEGOS RANCH POND NO.1,5300584,SHOSHONE POWER PLANT,293.731
5304017,JACK HILL RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
5304019,LYLE FISH POND NO 1,5300584,SHOSHONE POWER PLANT,293.731
5300594,GRIMES BROOKS FDR2 D HG2,5300584,SHOSHONE POWER PLANT,293.731
5303996,STOUT RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
5303513,GALLEGOS RANCH POND NO.4,5300584,SHOSHONE POWER PLANT,293.731
5303511,GALLEGOS RANCH POND NO.2,5300584,SHOSHONE POWER PLANT,293.731
5303512,GALLEGOS RANCH POND NO.3,5300584,SHOSHONE POWER PLANT,293.731
5304026,TROUTVILLE POND NO 4,5300584,SHOSHONE POWER PLANT,293.731
5303952,A J RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
5303972,HIDDEN SPRINGS RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
5303587,KIDS POND,5300584,SHOSHONE POWER PLANT,293.731
5303978,KELLY RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
5303979,KING MOUNTAIN RES-UPPER,5300584,SHOSHONE POWER PLANT,293.731
5303568,GUILMINEAU POND NO 2,5300584,SHOSHONE POWER PLANT,293.731
5303567,GUILMINEAU POND NO 1,5300584,SHOSHONE POWER PLANT,293.731
5303983,MCCOY RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
5303988,NEWTON GULCH RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
5303565,W DEAD HORSE RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
5303543,LOST LAKE,5300584,SHOSHONE POWER PLANT,293.731
5303520,SKELTON DUCK POND,5300584,SHOSHONE POWER PLANT,293.731
5303515,SHOP POND,5300584,SHOSHONE POWER PLANT,293.731
5303989,NOBLE RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
5303514,OLSON POND,5300584,SHOSHONE POWER PLANT,293.731
5303960,CRESENT LAKE RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
5303994,SAWMILL RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
5303995,STERNER RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
5304025,TROUTVILLE POND NO 3,5300584,SHOSHONE POWER PLANT,293.731
5304047,RUSSELL POND NO 1,5300584,SHOSHONE POWER PLANT,293.731
5304034,STEPHENS POND NO 1,5300584,SHOSHONE POWER PLANT,293.731
5003644,ALBERT RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
3703926,MCKENZIE UPPER POND,5300584,SHOSHONE POWER PLANT,293.731
3703927,THOMPSON POND,5300584,SHOSHONE POWER PLANT,293.731
3703930,BRETT RANCH POND NO 2,5300584,SHOSHONE POWER PLANT,293.731
3703931,EWING POND,5300584,SHOSHONE POWER PLANT,293.731
3703934,COTTON RANCH POND NO 3,5300584,SHOSHONE POWER PLANT,293.731
3703935,COTTON RANCH POND NO 4,5300584,SHOSHONE POWER PLANT,293.731
3703936,BRANDON POND,5300584,SHOSHONE POWER PLANT,293.731
3703937,VANHEE POND NO 1,5300584,SHOSHONE POWER PLANT,293.731
3703938,VANHEE POND NO 2,5300584,SHOSHONE POWER PLANT,293.731
3703939,VANHEE POND NO 3,5300584,SHOSHONE POWER PLANT,293.731
3703943,GYPSUM POND SYSTEM,5300584,SHOSHONE POWER PLANT,293.731
3703944,BUCKHORN POND NO 1,5300584,SHOSHONE POWER PLANT,293.731
3703948,RED CANYON ESTATES POND # 11A,5300584,SHOSHONE POWER PLANT,293.731
3703949,RED CANYON ESTATES POND # 11B,5300584,SHOSHONE POWER PLANT,293.731
3703950,RED CANYON ESTATES POND # 11C,5300584,SHOSHONE POWER PLANT,293.731
3703925,MCKENZIE UPPER POND,5300584,SHOSHONE POWER PLANT,293.731
3703924,KUNKEL RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
3703914,BETTY POND,5300584,SHOSHONE POWER PLANT,293.731
3703904,HARDESTY POND 1,5300584,SHOSHONE POWER PLANT,293.731
3703898,TRAIL POND,5300584,SHOSHONE POWER PLANT,293.731
3703899,LUKE POND,5300584,SHOSHONE POWER PLANT,293.731
3703900,OLIVER POND,5300584,SHOSHONE POWER PLANT,293.731
3703901,SUBSTATION POND,5300584,SHOSHONE POWER PLANT,293.731
3703902,LOWER TRAVIS POND,5300584,SHOSHONE POWER PLANT,293.731
3703903,UPPER TRAVIS POND,5300584,SHOSHONE POWER PLANT,293.731
3703905,HARDESTY POND 2,5300584,SHOSHONE POWER PLANT,293.731
3703913,LISA POND,5300584,SHOSHONE POWER PLANT,293.731
3703906,HARDESTY POND 3,5300584,SHOSHONE POWER PLANT,293.731
3703907,HARDESTY POND 4,5300584,SHOSHONE POWER PLANT,293.731
3703908,CHIPMAN POND,5300584,SHOSHONE POWER PLANT,293.731
3703909,MILLER POND,5300584,SHOSHONE POWER PLANT,293.731
3703910,KP POND NO. 1,5300584,SHOSHONE POWER PLANT,293.731
3703911,KP POND NO. 2,5300584,SHOSHONE POWER PLANT,293.731
3703951,NELSON # 1 POND,5300584,SHOSHONE POWER PLANT,293.731
3703954,GYPSUM RANCH SAND & GRAVEL PIT,5300584,SHOSHONE POWER PLANT,293.731
5304035,STEPHENS POND NO 2,5300584,SHOSHONE POWER PLANT,293.731
3703955,CORDILLERA GOLF COURSE POND NO. 1,5300584,SHOSHONE POWER PLANT,293.731
5304056,TOWER POND,5300584,SHOSHONE POWER PLANT,293.731
5304055,CLOVER POND,5300584,SHOSHONE POWER PLANT,293.731
5304054,CABIN POND NO 3,5300584,SHOSHONE POWER PLANT,293.731
5304053,CABIN POND NO 2,5300584,SHOSHONE POWER PLANT,293.731
5304052,CABIN POND NO 1,5300584,SHOSHONE POWER PLANT,293.731
5304050,RUSSELL POND NO 4,5300584,SHOSHONE POWER PLANT,293.731
5304049,RUSSELL POND NO 3,5300584,SHOSHONE POWER PLANT,293.731
5304048,RUSSELL POND NO 2,5300584,SHOSHONE POWER PLANT,293.731
5204024,RIVER RANCH POND,5300584,SHOSHONE POWER PLANT,293.731
5304046,RED DIRT POND NO 3,5300584,SHOSHONE POWER PLANT,293.731
5304045,RED DIRT POND NO 2,5300584,SHOSHONE POWER PLANT,293.731
5304044,RED DIRT POND NO 1,5300584,SHOSHONE POWER PLANT,293.731
5304043,UPPER MCLEAN RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
5304042,LOWER MCLEAN RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
5304036,STEPHENS POND NO 3,5300584,SHOSHONE POWER PLANT,293.731
5304057,WILBURS POND,5300584,SHOSHONE POWER PLANT,293.731
5003654,CURRAN POND,5300584,SHOSHONE POWER PLANT,293.731
5003653,COLBURN RESERVOIR NO 2,5300584,SHOSHONE POWER PLANT,293.731
3703984,RIPPY POND,5300584,SHOSHONE POWER PLANT,293.731
3703956,CORDILLERA GOLF COURSE POND NO. 2,5300584,SHOSHONE POWER PLANT,293.731
3703958,CORDILLERA GOLF COURSE POND NO. 4,5300584,SHOSHONE POWER PLANT,293.731
3703960,CORDILLERA GOLF COURSE POND NO. 6,5300584,SHOSHONE POWER PLANT,293.731
3703969,CORDILLERA RES NO. 1,5300584,SHOSHONE POWER PLANT,293.731
3703976,CALHOUN POND NO.1,5300584,SHOSHONE POWER PLANT,293.731
3703977,CALHOUN-BUDDY'S POND,5300584,SHOSHONE POWER PLANT,293.731
3703987,BEAVER CR SNOWMAKING RES NO 1,5300584,SHOSHONE POWER PLANT,293.731
5003652,COLBURN RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
3703990,RED CANYON POND 15 (A),5300584,SHOSHONE POWER PLANT,293.731
3703991,RED CANYON POND 15 (B),5300584,SHOSHONE POWER PLANT,293.731
3703992,RED CANYON POND 15C,5300584,SHOSHONE POWER PLANT,293.731
3704078,BRUSH CREEK ROAD AUG POND,5300584,SHOSHONE POWER PLANT,293.731
3704093,JONES CASTLE CREEK POND NO. 2,5300584,SHOSHONE POWER PLANT,293.731
5003650,SARACENO RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
5003659,DAVISON RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
5203990,COX RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
5204020,WASPRE PI21 RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
5103526,CORRAL CREEK WETLAND NO1,5300584,SHOSHONE POWER PLANT,293.731
5103537,ASHBACH RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
5103536,MCCOY POND NO 2,5300584,SHOSHONE POWER PLANT,293.731
5103535,MCCOY POND NO 1,5300584,SHOSHONE POWER PLANT,293.731
5103530,SKUNK CREEK RESERVOIR NO 3,5300584,SHOSHONE POWER PLANT,293.731
5103528,SUNSET RIDGE POND,5300584,SHOSHONE POWER PLANT,293.731
5103527,CORRAL CREEK WETLAND NO2,5300584,SHOSHONE POWER PLANT,293.731
5103522,MURRAY/BREIDER POND,5300584,SHOSHONE POWER PLANT,293.731
5003675,GOOGLY EYED POND,5300584,SHOSHONE POWER PLANT,293.731
5103521,CLOVERBLOOM RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
5103518,POLE CREEK GOLF COURSE POND NO 3,5300584,SHOSHONE POWER PLANT,293.731
5103517,POLE CREEK GOLF COURSE POND NO 2,5300584,SHOSHONE POWER PLANT,293.731
5103516,POLE CREEK GOLF COURSE POND NO 1,5300584,SHOSHONE POWER PLANT,293.731
5103515,RANCH CREEK RANCH POND,5300584,SHOSHONE POWER PLANT,293.731
5103502,NEWBERRY POND,5300584,SHOSHONE POWER PLANT,293.731
5103538,QUARTER CIRCLE R DAM,5300584,SHOSHONE POWER PLANT,293.731
5003674,FETTERS STOCK RES NO 1,5300584,SHOSHONE POWER PLANT,293.731
5103746,ALLEN'S RESERVOIR AND DITCH,5300584,SHOSHONE POWER PLANT,293.731
5103726,MORAINE LAKE NO 3,5300584,SHOSHONE POWER PLANT,293.731
5103742,WINDY GAP RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
5103740,VILLAGE LAKE NO 2 AT WINTER PARK RANCH,5300584,SHOSHONE POWER PLANT,293.731
5103739,VILLAGE LAKE AT WINTER PARK RANCH,5300584,SHOSHONE POWER PLANT,293.731
5103737,TWINFLOWER LAKE,5300584,SHOSHONE POWER PLANT,293.731
5103732,GAYLORD RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
5103730,MOUNTAIN VALLEY RESERVOIR NO 1,5300584,SHOSHONE POWER PLANT,293.731
5103725,MORAINE LAKE NO 2,5300584,SHOSHONE POWER PLANT,293.731
5103688,MUSGRAVE RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
5103724,MORAINE LAKE NO 1,5300584,SHOSHONE POWER PLANT,293.731
5103716,EASTWIND NO 1 RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
5003671,BUCHER POND,5300584,SHOSHONE POWER PLANT,293.731
5103713,CONRICK RESERVOIR,5300584,SHOSHONE POWER PLANT,293.731
5003672,RAWALT STOCK RES NO 1,5300584,SHOSHONE POWER PLANT,293.731
5003673,RAWALT STOCK RES NO 2,5300584,SHOSHONE POWER PLANT,293.731
5103501,ZEPHYR POND NO 1,5300584,SHOSHONE POWER PLANT,293.731
5103500,BAUMBERGER POND,5300584,SHOSHONE POWER PLANT,293.731
5102115,MIN FLOW WILLOW CREEK CABIN CK - BLM,5300584,SHOSHONE POWER PLANT,293.731
5102028,MIN FLOW WILLIAMS FORK RIVER,5300584,SHOSHONE POWER PLANT,293.731
5102040,MIN LEVEL BLUE LAKE,5300584,SHOSHONE POWER PLANT,293.731
5102039,MIN FLOW WILLIAMS FORK RIVER,5300584,SHOSHONE POWER PLANT,293.731
5102038,MIN FLOW COLORADO RIVER WINDY GAP-WILLIAMS FORK,5300584,SHOSHONE POWER PLANT,293.731
5102037,MIN FLOW COLORADO RIVER WILLIAMS FK-TROUBLESOME,5300584,SHOSHONE POWER PLANT,293.731
5102036,MIN FLOW COLORADO RIVER TROUBLESOME-BLUE,5300584,SHOSHONE POWER PLANT,293.731
5102035,MIN FLOW WILLIAMS FORK RIVER,5300584,SHOSHONE POWER PLANT,293.731
5102027,MIN FLOW WILLIAMS FORK RIVER,5300584,SHOSHONE POWER PLANT,293.731
5102114,MIN FLOW FRASER RIVER CROOKED CK - COLORADO RIVER,5300584,SHOSHONE POWER PLANT,293.731
5102016,MIN FLOW WILLIAMS FORK RIVER,5300584,SHOSHONE POWER PLANT,293.731
5102014,MIN FLOW WILLIAMS FORK RIVER,5300584,SHOSHONE POWER PLANT,293.731
5102012,MIN FLOW WILLOW CREEK PASS CK - BLM,5300584,SHOSHONE POWER PLANT,293.731
5003677,CARTER POND,5300584,SHOSHONE POWER PLANT,293.731
5101245,WINTER PARK BASE DIVERSION POINT 1,5300584,SHOSHONE POWER PLANT,293.731
5101237,WILLIAMS FORK POWER CONDUIT,5300584,SHOSHONE POWER PLANT,293.731
5102041,MIN LEVEL BOWEN LAKE,5300584,SHOSHONE POWER PLANT,293.731
5102042,MIN LEVEL CARIBOU LAKE,5300584,SHOSHONE POWER PLANT,293.731
5102043,MIN LEVEL COLUMBINE LAKE,5300584,SHOSHONE POWER PLANT,293.731
5102044,MIN LEVEL CRATER LAKE,5300584,SHOSHONE POWER PLANT,293.731
5102045,MIN LEVEL GOURD LAKE,5300584,SHOSHONE POWER PLANT,293.731
5102046,MIN LEVEL PARIKA LAKE,5300584,SHOSHONE POWER PLANT,293.731
