analysisWdid,analysisStructure,priorityWdid,priorityStructure,sumWtdCount,analysisStreamMile,analysisNetAbs,analysisWaterDistrict,priorityStreamMile,priorityNetAbs,priorityWaterDistrict
3703735,MCHATTON POND,5300584,SHOSHONE POWER PLANT,133.0,2.8,5.0,37,147.54,1408.0,53
3703735,MCHATTON POND,5104634,CBT ALVA B ADAMS TUNNEL,5.0,2.8,5.0,37,0.85,550.0,51
5300594,GRIMES BROOKS FDR2 D HG2,5104655,MOFFAT WATER TUNNEL,3.0,2.8,23.32,53,25.36,928.0,51
3703735,MCHATTON POND,5104655,MOFFAT WATER TUNNEL,3.0,2.8,5.0,37,25.36,928.0,51
3703956,CORDILLERA GOLF COURSE POND NO. 2,5104655,MOFFAT WATER TUNNEL,3.0,2.82,7.36,37,25.36,928.0,51
3703956,CORDILLERA GOLF COURSE POND NO. 2,5300584,SHOSHONE POWER PLANT,133.0,2.82,7.36,37,147.54,1408.0,53
3703956,CORDILLERA GOLF COURSE POND NO. 2,5104634,CBT ALVA B ADAMS TUNNEL,5.0,2.82,7.36,37,0.85,550.0,51
5303565,W DEAD HORSE RESERVOIR,5104655,MOFFAT WATER TUNNEL,3.0,2.85,0.3,53,25.36,928.0,51
5303565,W DEAD HORSE RESERVOIR,5104634,CBT ALVA B ADAMS TUNNEL,5.0,2.85,0.3,53,0.85,550.0,51
5303565,W DEAD HORSE RESERVOIR,5300584,SHOSHONE POWER PLANT,133.0,2.85,0.3,53,147.54,1408.0,53
5304013,GEORGE A GATES RES NO 1,5300584,SHOSHONE POWER PLANT,133.0,2.86,6.0,53,147.54,1408.0,53
5304013,GEORGE A GATES RES NO 1,5104655,MOFFAT WATER TUNNEL,3.0,2.86,6.0,53,25.36,928.0,51
7203951,BUCHER RESERVOIR,7200799,MORMON MESA DITCH,52.0,2.86,0.25,72,5.87,33.97,72
7203951,BUCHER RESERVOIR,7200583,COTTONWOOD BRANCH PL,23.667,2.86,0.25,72,7.58,28.0,72
5304013,GEORGE A GATES RES NO 1,5104634,CBT ALVA B ADAMS TUNNEL,5.0,2.86,6.0,53,0.85,550.0,51
3603587,MIN LAKE MOHAWK NO 5,5104634,CBT ALVA B ADAMS TUNNEL,5.0,2.87,64.0,36,0.85,550.0,51
3603588,MIN LAKE MOHAWK NO 6,3603543,GREEN MOUNTAIN RESERVOIR,24.0,2.87,288.0,36,15.77,209199.0,36
3603586,MIN LAKE MOHAWK NO 2,5104634,CBT ALVA B ADAMS TUNNEL,5.0,2.87,444.0,36,0.85,550.0,51
3603587,MIN LAKE MOHAWK NO 5,3603543,GREEN MOUNTAIN RESERVOIR,24.0,2.87,64.0,36,15.77,209199.0,36
3603589,MIN LAKE MOHAWK  NO 7,5104634,CBT ALVA B ADAMS TUNNEL,5.0,2.87,15.0,36,0.85,550.0,51
3603586,MIN LAKE MOHAWK NO 2,3603543,GREEN MOUNTAIN RESERVOIR,24.0,2.87,444.0,36,15.77,209199.0,36
3603588,MIN LAKE MOHAWK NO 6,5104634,CBT ALVA B ADAMS TUNNEL,5.0,2.87,288.0,36,0.85,550.0,51
3603587,MIN LAKE MOHAWK NO 5,3600881,GREEN MTN HYDRO-ELECTRIC,83.0,2.87,64.0,36,15.56,1726.0,36
