analysisWdid,analysisStructure,priorityWdid,priorityStructure,sumWtdCount,analysisStreamMile,analysisNetAbs,analysisWaterDistrict,priorityStreamMile,priorityNetAbs,priorityWaterDistrict
3703536,MIN LAKE BENCH LAKE NO 1,5300584,SHOSHONE POWER PLANT,74.333,0.0,9.0,37,147.54,1408.0,53
5104018,KOVACS POND NO 1,5300584,SHOSHONE POWER PLANT,74.333,0.0,0.65,51,147.54,1408.0,53
5104019,KOVACS POND NO 2,5300584,SHOSHONE POWER PLANT,74.333,0.0,1.05,51,147.54,1408.0,53
5103526,CORRAL CREEK WETLAND NO1,5300584,SHOSHONE POWER PLANT,74.333,0.0,26.8,51,147.54,1408.0,53
5003652,COLBURN RESERVOIR,5300584,SHOSHONE POWER PLANT,74.333,0.0,16.0,50,147.54,1408.0,53
5003646,MARTIN RESERVOIR,5300584,SHOSHONE POWER PLANT,148.666,0.0,216.15,50,147.54,1408.0,53
5003653,COLBURN RESERVOIR NO 2,5300584,SHOSHONE POWER PLANT,74.333,0.0,23.0,50,147.54,1408.0,53
5303598,YARMONY LODGE POND A,5300584,SHOSHONE POWER PLANT,74.333,0.0,6.55,53,147.54,1408.0,53
5303599,YARMONY LODGE POND B,5300584,SHOSHONE POWER PLANT,74.333,0.0,1.78,53,147.54,1408.0,53
3703786,GRAHAM POND NO 2,5300584,SHOSHONE POWER PLANT,74.333,0.0,0.13,37,147.54,1408.0,53
5303600,YARMONY LODGE POND C,5300584,SHOSHONE POWER PLANT,74.333,0.0,3.01,53,147.54,1408.0,53
3702056,MIN FLOW GORE CR LOWER,5300584,SHOSHONE POWER PLANT,148.666,0.01,36.0,37,147.54,1408.0,53
5302006,MIN FLOW SWEETWATER CR,5300584,SHOSHONE POWER PLANT,74.333,0.02,18.0,53,147.54,1408.0,53
5302007,MIN FLOW DEEP CREEK,5300584,SHOSHONE POWER PLANT,74.333,0.02,14.0,53,147.54,1408.0,53
3602049,MIN FLOW BLUE RIVER 11 - GMR TO COLORADO RIVER,5300584,SHOSHONE POWER PLANT,74.333,0.02,60.0,36,147.54,1408.0,53
3702018,MIN FLOW CROSS CR LOWER,5300584,SHOSHONE POWER PLANT,74.333,0.02,20.0,37,147.54,1408.0,53
5303514,OLSON POND,5300584,SHOSHONE POWER PLANT,74.333,0.05,2.0,53,147.54,1408.0,53
5104057,CORRAL CREEK POND,5300584,SHOSHONE POWER PLANT,74.333,0.06,5.0,51,147.54,1408.0,53
3703782,ARROWHEAD WETLANDS,5300584,SHOSHONE POWER PLANT,74.333,0.06,1.38,37,147.54,1408.0,53
3603691,BENSON RANCH POND,3603543,GREEN MOUNTAIN RESERVOIR,316.449,0.08,3.0,36,15.77,209199.0,36
3703792,ARROWHEAD PONDS,5300584,SHOSHONE POWER PLANT,74.333,0.08,2.4,37,147.54,1408.0,53
3702012,MIN FLOW EAGLE RIVER BRUSH CR TO COLO R,5300584,SHOSHONE POWER PLANT,74.333,0.1,130.0,37,147.54,1408.0,53
5103546,LURYE RESERVOIR,5300584,SHOSHONE POWER PLANT,74.333,0.11,0.7,51,147.54,1408.0,53
3800606,COLLINS CREEK DITCH,3801132,WALTHEN DITCH,9.0,0.14,16.64,38,0.4,16.2773,38
3703796,RED CANYON ESTATES POND NO. 1,5300584,SHOSHONE POWER PLANT,74.333,0.16,1.0,37,147.54,1408.0,53
3603579,GRIGGS RESERVOIR NO 4,5300584,SHOSHONE POWER PLANT,74.333,0.18,4.1,36,147.54,1408.0,53
5104013,DOE CREEK RESERVOIR,5300584,SHOSHONE POWER PLANT,74.333,0.18,3.37,51,147.54,1408.0,53
3703544,CAMP HALE POND,5300584,SHOSHONE POWER PLANT,74.333,0.19,60.0,37,147.54,1408.0,53
5304015,HERRES POND,5300584,SHOSHONE POWER PLANT,74.333,0.2,0.16399999999999998,53,147.54,1408.0,53
3703911,KP POND NO. 2,5300584,SHOSHONE POWER PLANT,74.333,0.22,0.78,37,147.54,1408.0,53
3703797,RED CANYON ESTATES POND NO. 2,5300584,SHOSHONE POWER PLANT,74.333,0.22,2.5,37,147.54,1408.0,53
3603700,TRIPLE CREEK POND NO 6,3603543,GREEN MOUNTAIN RESERVOIR,316.449,0.23,0.017,36,15.77,209199.0,36
3603686,WINEGARD POND 4,3603543,GREEN MOUNTAIN RESERVOIR,316.449,0.24,5.3,36,15.77,209199.0,36
3603699,TRIPLE CREEK POND NO 5,3603543,GREEN MOUNTAIN RESERVOIR,316.449,0.24,0.1,36,15.77,209199.0,36
5103529,TIMBERLINE POND,5300584,SHOSHONE POWER PLANT,148.666,0.24,4.24,51,147.54,1408.0,53
3703910,KP POND NO. 1,5300584,SHOSHONE POWER PLANT,74.333,0.26,0.27,37,147.54,1408.0,53
3703798,RED CANYON ESTATES POND NO. 3,5300584,SHOSHONE POWER PLANT,74.333,0.27,2.0,37,147.54,1408.0,53
3603688,TRENT PARK POND,3603543,GREEN MOUNTAIN RESERVOIR,316.449,0.29,5.0,36,15.77,209199.0,36
3603685,WINEGARD POND 3,3603543,GREEN MOUNTAIN RESERVOIR,316.449,0.31,7.5,36,15.77,209199.0,36
3603544,GRIGGS RESERVOIR,5300584,SHOSHONE POWER PLANT,74.333,0.31,40.8,36,147.54,1408.0,53
3603678,SOUTH POND,3603543,GREEN MOUNTAIN RESERVOIR,316.449,0.31,4.0,36,15.77,209199.0,36
5104060,ASPEN CANYON RANCH POND 1,5300584,SHOSHONE POWER PLANT,148.666,0.31,8.0,51,147.54,1408.0,53
5103527,CORRAL CREEK WETLAND NO2,5300584,SHOSHONE POWER PLANT,74.333,0.31,10.0,51,147.54,1408.0,53
3603684,WINEGARD POND 2,3603543,GREEN MOUNTAIN RESERVOIR,316.449,0.32,1.1,36,15.77,209199.0,36
3603592,SHANE RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,292.241,0.32,6.0,36,15.77,209199.0,36
5103745,POLE CREEK MEADOWS RESERVOIR NO 1,5300584,SHOSHONE POWER PLANT,74.333,0.33,52.2,51,147.54,1408.0,53
3803873,SIMONS PONDS NO 1 AND 2,3801132,WALTHEN DITCH,9.0,0.34,1.0,38,0.4,16.2773,38
3703781,BACHELOR GULCH WETLANDS,5300584,SHOSHONE POWER PLANT,74.333,0.34,0.95,37,147.54,1408.0,53
3804323,THE RANCH @ W CR POND 7,3801132,WALTHEN DITCH,9.0,0.34,1.87,38,0.4,16.2773,38
3703684,BRETT RANCH POND,5300584,SHOSHONE POWER PLANT,148.666,0.34,7.2,37,147.54,1408.0,53
3703930,BRETT RANCH POND NO 2,5300584,SHOSHONE POWER PLANT,74.333,0.35,3.22,37,147.54,1408.0,53
3703976,CALHOUN POND NO.1,5300584,SHOSHONE POWER PLANT,74.333,0.35,0.72,37,147.54,1408.0,53
3703799,RED CANYON ESTATES POND NO. 4,5300584,SHOSHONE POWER PLANT,74.333,0.41,3.4,37,147.54,1408.0,53
3703627,JUNE CREEK RESERVOIR,5300584,SHOSHONE POWER PLANT,74.333,0.41,38.0,37,147.54,1408.0,53
3604692,CON-HOOSIER - EAST HOOSIER DITCH CLAIM 1,3603543,GREEN MOUNTAIN RESERVOIR,292.241,0.41,60.0,36,15.77,209199.0,36
3703793,GREENS OF ARROWHEAD PONDS,5300584,SHOSHONE POWER PLANT,74.333,0.41,0.7,37,147.54,1408.0,53
3603683,WINEGARD POND 1,3603543,GREEN MOUNTAIN RESERVOIR,316.449,0.42,0.1,36,15.77,209199.0,36
5100959,WILLIAMS FORK DIVERSION PROJECT,5300584,SHOSHONE POWER PLANT,74.333,0.43,49.27,51,147.54,1408.0,53
3804317,THE RANCH @ W CR POND  1,3801132,WALTHEN DITCH,9.0,0.44,3.28,38,0.4,16.2773,38
3603578,GRIGGS RESERVOIR NO 3,5300584,SHOSHONE POWER PLANT,74.333,0.45,34.734,36,147.54,1408.0,53
3603580,GRIGGS RESERVOIR NO 5,5300584,SHOSHONE POWER PLANT,74.333,0.46,2.3,36,147.54,1408.0,53
3703597,KEELER RESERVOIR,5300584,SHOSHONE POWER PLANT,74.333,0.47,5.0,37,147.54,1408.0,53
3603662,EAGLES NEST GOLF COURSE NO1 POND,3603543,GREEN MOUNTAIN RESERVOIR,292.241,0.47,12.4,36,15.77,209199.0,36
3804380,BARN POND,3801132,WALTHEN DITCH,9.0,0.47,0.12,38,0.4,16.2773,38
3703607,STAUFER RESERVOIR,5300584,SHOSHONE POWER PLANT,74.333,0.47,0.57,37,147.54,1408.0,53
3703736,GOLF COURSE POND NO 1,5300584,SHOSHONE POWER PLANT,74.333,0.49,6.0,37,147.54,1408.0,53
3603657,SANDERS POND NO 1,3603543,GREEN MOUNTAIN RESERVOIR,316.449,0.5,0.5,36,15.77,209199.0,36
3603665,EAGLES NEST GOLF COURSE NO4 NORTH POND,3603543,GREEN MOUNTAIN RESERVOIR,292.241,0.5,1.4,36,15.77,209199.0,36
3603664,EAGLES NEST GOLF COURSE NO 4 SOUTH POND,3603543,GREEN MOUNTAIN RESERVOIR,292.241,0.5,3.3,36,15.77,209199.0,36
3603701,TRIPLE CREEK POND NO 7,3603543,GREEN MOUNTAIN RESERVOIR,316.449,0.5,0.156,36,15.77,209199.0,36
3603698,TRIPLE CREEK POND NO 4,3603543,GREEN MOUNTAIN RESERVOIR,316.449,0.5,0.003,36,15.77,209199.0,36
3603581,GRIGGS RESERVOIR NO 6,5300584,SHOSHONE POWER PLANT,74.333,0.51,1.2,36,147.54,1408.0,53
3603656,YOSUICHI RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,316.449,0.51,1.75,36,15.77,209199.0,36
3603645,DUNHAM POND NO 2,3603543,GREEN MOUNTAIN RESERVOIR,316.449,0.52,0.54,36,15.77,209199.0,36
3603644,DUNHAM POND NO 1,3603543,GREEN MOUNTAIN RESERVOIR,316.449,0.55,0.26,36,15.77,209199.0,36
3603679,PUMP POND,3603543,GREEN MOUNTAIN RESERVOIR,316.449,0.55,1.0,36,15.77,209199.0,36
3600796,SAUMS DITCH,3603543,GREEN MOUNTAIN RESERVOIR,292.241,0.57,17.04,36,15.77,209199.0,36
3703801,RED CANYON ESTATES POND NO. 6,5300584,SHOSHONE POWER PLANT,74.333,0.59,0.5,37,147.54,1408.0,53
5303601,BAILEY MESA POND NO. 1,5300584,SHOSHONE POWER PLANT,74.333,0.59,1.68,53,147.54,1408.0,53
3703601,EAGLE POND,5300584,SHOSHONE POWER PLANT,74.333,0.6,5.19,37,147.54,1408.0,53
3603625,LAKE ALVIN,3603543,GREEN MOUNTAIN RESERVOIR,292.241,0.62,53.14,36,15.77,209199.0,36
3603582,GRIGGS RESERVOIR NO 7,5300584,SHOSHONE POWER PLANT,74.333,0.62,1.0,36,147.54,1408.0,53
3803627,LAURENCE POND NO 2,3800925,PARK DITCH,35.958,0.63,30.0,38,7.58,16.9,38
3703953,BARRY POND NO 2,5300584,SHOSHONE POWER PLANT,74.333,0.64,0.2,37,147.54,1408.0,53
3803626,LAURENCE POND NO 1,3800925,PARK DITCH,35.958,0.64,20.0,38,7.58,16.9,38
3703952,BARRY POND NO 1,5300584,SHOSHONE POWER PLANT,74.333,0.64,0.7,37,147.54,1408.0,53
3703616,ARROWHEAD DAM,5300584,SHOSHONE POWER PLANT,74.333,0.66,43.0,37,147.54,1408.0,53
5203937,CHRISTENSEN DAM,5300584,SHOSHONE POWER PLANT,74.333,0.67,10.0,52,147.54,1408.0,53
3703977,CALHOUN-BUDDY'S POND,5300584,SHOSHONE POWER PLANT,74.333,0.69,0.5,37,147.54,1408.0,53
3803821,ELAM POND NO 1 & NO 2,3801132,WALTHEN DITCH,9.0,0.69,42.0,38,0.4,16.2773,38
3703689,CORNWELL POND NO 1,5300584,SHOSHONE POWER PLANT,148.666,0.7,0.4,37,147.54,1408.0,53
3603545,GRIGGS RESERVOIR NO 2,5300584,SHOSHONE POWER PLANT,74.333,0.71,7.85,36,147.54,1408.0,53
3804379,LOWER BRAUN POND,3801132,WALTHEN DITCH,9.0,0.74,0.61,38,0.4,16.2773,38
3804378,UPPER BRAUN POND,3801132,WALTHEN DITCH,9.0,0.74,0.14,38,0.4,16.2773,38
3703540,MIN LAKE BORAH,5300584,SHOSHONE POWER PLANT,74.333,0.75,22.5,37,147.54,1408.0,53
3703540,MIN LAKE BORAH,3700561,DAGGETT AND PARKER DITCH,6.0,0.75,22.5,37,5.0,23.26,37
3703540,MIN LAKE BORAH,3700823,STRATTON AND CO DITCH,2.99,0.75,22.5,37,8.34,54.4,37
3703540,MIN LAKE BORAH,3700712,MILLER DITCH,3.0,0.75,22.5,37,8.47,6.87,37
3703540,MIN LAKE BORAH,3700761,PHILLIPS DITCH,1.0,0.75,22.5,37,5.83,5.03,37
3703785,GRAHAM POND NO 1,5300584,SHOSHONE POWER PLANT,74.333,0.79,0.17,37,147.54,1408.0,53
5302027,MIN LAKE HANGING LAKE,5300584,SHOSHONE POWER PLANT,74.333,0.79,5.0,53,147.54,1408.0,53
3704065,CROTZER POND,5300584,SHOSHONE POWER PLANT,74.333,0.8,2.605,37,147.54,1408.0,53
3603596,BILLS RANCH LAKE,3603543,GREEN MOUNTAIN RESERVOIR,292.241,0.82,16.83,36,15.77,209199.0,36
3703802,RED CANYON ESTATES POND NO. 7,5300584,SHOSHONE POWER PLANT,74.333,0.82,5.0,37,147.54,1408.0,53
3704033,HOLE 2 POND A,5300584,SHOSHONE POWER PLANT,74.333,0.85,0.139,37,147.54,1408.0,53
3703523,NOTTINGHAM RES,5300584,SHOSHONE POWER PLANT,74.333,0.87,22.0,37,147.54,1408.0,53
5104032,WHITING RESERVOIR NO 1,5300584,SHOSHONE POWER PLANT,74.333,0.89,1.5,51,147.54,1408.0,53
3703939,VANHEE POND NO 3,5300584,SHOSHONE POWER PLANT,74.333,0.91,0.223,37,147.54,1408.0,53
3703937,VANHEE POND NO 1,5300584,SHOSHONE POWER PLANT,74.333,0.92,0.142,37,147.54,1408.0,53
3703938,VANHEE POND NO 2,5300584,SHOSHONE POWER PLANT,74.333,0.92,0.034,37,147.54,1408.0,53
3603690,BROOKS SNIDER POND,3603543,GREEN MOUNTAIN RESERVOIR,316.449,0.93,0.5,36,15.77,209199.0,36
3603599,SAWMILL RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,292.241,0.94,36.894,36,15.77,209199.0,36
5103500,BAUMBERGER POND,5300584,SHOSHONE POWER PLANT,74.333,0.94,5.17,51,147.54,1408.0,53
3703951,NELSON # 1 POND,5300584,SHOSHONE POWER PLANT,74.333,0.95,6.0,37,147.54,1408.0,53
3703690,COTTON POND NO 2,5300584,SHOSHONE POWER PLANT,74.333,0.95,1.922,37,147.54,1408.0,53
3701086,STONE CR RES AND DITCH,5300584,SHOSHONE POWER PLANT,74.333,0.95,15.0,37,147.54,1408.0,53
3703934,COTTON RANCH POND NO 3,5300584,SHOSHONE POWER PLANT,74.333,0.95,0.514,37,147.54,1408.0,53
3704034,HOLE 2 POND B,5300584,SHOSHONE POWER PLANT,74.333,0.95,0.965,37,147.54,1408.0,53
5103536,MCCOY POND NO 2,5300584,SHOSHONE POWER PLANT,74.333,0.96,3.0,51,147.54,1408.0,53
3603672,LAKE LACY,3603543,GREEN MOUNTAIN RESERVOIR,316.449,0.96,5.0,36,15.77,209199.0,36
5103716,EASTWIND NO 1 RESERVOIR,5300584,SHOSHONE POWER PLANT,74.333,0.97,8.0,51,147.54,1408.0,53
3803632,DRY CREEK POND NO. 1,3800989,SHIPPEE DITCH,8.0,0.98,0.3,38,1.44,13.46,38
3703569,MIN LAKE MUCKEY,5300584,SHOSHONE POWER PLANT,74.333,1.0,8.5,37,147.54,1408.0,53
3703842,HELLSHOLE RESERVOIR,3700823,STRATTON AND CO DITCH,2.99,1.0,0.1,37,8.34,54.4,37
3703842,HELLSHOLE RESERVOIR,3700761,PHILLIPS DITCH,1.0,1.0,0.1,37,5.83,5.03,37
3703842,HELLSHOLE RESERVOIR,5300584,SHOSHONE POWER PLANT,74.333,1.0,0.1,37,147.54,1408.0,53
3703842,HELLSHOLE RESERVOIR,3700561,DAGGETT AND PARKER DITCH,6.0,1.0,0.1,37,5.0,23.26,37
3703855,MCGINLEY RESERVOIR,5300584,SHOSHONE POWER PLANT,74.333,1.0,0.1,37,147.54,1408.0,53
3703842,HELLSHOLE RESERVOIR,3700712,MILLER DITCH,3.0,1.0,0.1,37,8.47,6.87,37
3603668,EAGLES NEST GOLF COURSE NO 9 NORTH POND,3603543,GREEN MOUNTAIN RESERVOIR,292.241,1.01,2.5,36,15.77,209199.0,36
3603667,EAGLES NEST GOLF COURSE NO 9 SOUTH POND,3603543,GREEN MOUNTAIN RESERVOIR,292.241,1.01,2.3,36,15.77,209199.0,36
3703750,BRERETON POND,5300584,SHOSHONE POWER PLANT,74.333,1.05,5.35,37,147.54,1408.0,53
3603666,EAGLES NEST GOLF COURSE NO 7 POND,3603543,GREEN MOUNTAIN RESERVOIR,292.241,1.06,7.7,36,15.77,209199.0,36
5003681,CRAVEN ON CREEDE RESERVOIR,5300584,SHOSHONE POWER PLANT,74.333,1.08,6.0,50,147.54,1408.0,53
5003681,CRAVEN ON CREEDE RESERVOIR,5004920,WOLFORD MPWCD POOL,9.0,1.08,6.0,50,13.16,0.0,50
3803996,FOX POND,3801132,WALTHEN DITCH,9.0,1.08,0.26,38,0.4,16.2773,38
5204030,WAPITI POND,5300584,SHOSHONE POWER PLANT,74.333,1.09,0.72,52,147.54,1408.0,53
3703803,RED CANYON ESTATES POND NO. 8,5300584,SHOSHONE POWER PLANT,74.333,1.1,3.3,37,147.54,1408.0,53
3804386,HARLEYS POND,3800925,PARK DITCH,35.958,1.11,3.9,38,7.58,16.9,38
3804158,ZIFF POND,3802002,MIN FLOW HUNTER CR L AP,64.668,1.14,2.81,38,0.13,0.0,38
5103502,NEWBERRY POND,5300584,SHOSHONE POWER PLANT,74.333,1.14,12.0,51,147.54,1408.0,53
3804074,SADDLE POND,3802002,MIN FLOW HUNTER CR L AP,32.334,1.14,40.0,38,0.13,0.0,38
5103535,MCCOY POND NO 1,5300584,SHOSHONE POWER PLANT,74.333,1.15,1.2,51,147.54,1408.0,53
