analysisWdid,analysisStructure,priorityWdid,priorityStructure,sumWtdCount,analysisStreamMile,analysisNetAbs,analysisWaterDistrict,priorityStreamMile,priorityNetAbs,priorityWaterDistrict
5003646,MARTIN RESERVOIR,3604512,DILLON RESERVOIR,20.0,0.0,216.15,50,44.67,407914.0,36
5303598,YARMONY LODGE POND A,3603570,CON-HOOSIER UPPER BLUE LAKE,1.8330000000000002,0.0,6.55,53,64.36,2140.0,36
5104018,KOVACS POND NO 1,3603570,CON-HOOSIER UPPER BLUE LAKE,1.8330000000000002,0.0,0.65,51,64.36,2140.0,36
5104019,KOVACS POND NO 2,3603570,CON-HOOSIER UPPER BLUE LAKE,1.8330000000000002,0.0,1.05,51,64.36,2140.0,36
3703536,MIN LAKE BENCH LAKE NO 1,3603570,CON-HOOSIER UPPER BLUE LAKE,1.8330000000000002,0.0,9.0,37,64.36,2140.0,36
5104018,KOVACS POND NO 1,5300584,SHOSHONE POWER PLANT,126.667,0.0,0.65,51,147.54,1408.0,53
5104018,KOVACS POND NO 1,3604512,DILLON RESERVOIR,10.0,0.0,0.65,51,44.67,407914.0,36
3703536,MIN LAKE BENCH LAKE NO 1,5300584,SHOSHONE POWER PLANT,126.667,0.0,9.0,37,147.54,1408.0,53
5003646,MARTIN RESERVOIR,3603570,CON-HOOSIER UPPER BLUE LAKE,3.6660000000000004,0.0,216.15,50,64.36,2140.0,36
5104019,KOVACS POND NO 2,5300584,SHOSHONE POWER PLANT,126.667,0.0,1.05,51,147.54,1408.0,53
5003646,MARTIN RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,50.0,0.0,216.15,50,15.77,209199.0,36
5003653,COLBURN RESERVOIR NO 2,3604512,DILLON RESERVOIR,10.0,0.0,23.0,50,44.67,407914.0,36
5303600,YARMONY LODGE POND C,3604512,DILLON RESERVOIR,10.0,0.0,3.01,53,44.67,407914.0,36
5103526,CORRAL CREEK WETLAND NO1,5300584,SHOSHONE POWER PLANT,126.667,0.0,26.8,51,147.54,1408.0,53
5003652,COLBURN RESERVOIR,3604512,DILLON RESERVOIR,10.0,0.0,16.0,50,44.67,407914.0,36
5303599,YARMONY LODGE POND B,3604512,DILLON RESERVOIR,10.0,0.0,1.78,53,44.67,407914.0,36
3703786,GRAHAM POND NO 2,3604512,DILLON RESERVOIR,10.0,0.0,0.13,37,44.67,407914.0,36
5303598,YARMONY LODGE POND A,3604512,DILLON RESERVOIR,10.0,0.0,6.55,53,44.67,407914.0,36
3703536,MIN LAKE BENCH LAKE NO 1,3604512,DILLON RESERVOIR,10.0,0.0,9.0,37,44.67,407914.0,36
5104018,KOVACS POND NO 1,3603543,GREEN MOUNTAIN RESERVOIR,25.0,0.0,0.65,51,15.77,209199.0,36
5104019,KOVACS POND NO 2,3603543,GREEN MOUNTAIN RESERVOIR,25.0,0.0,1.05,51,15.77,209199.0,36
5104019,KOVACS POND NO 2,3604512,DILLON RESERVOIR,10.0,0.0,1.05,51,44.67,407914.0,36
5303600,YARMONY LODGE POND C,3603570,CON-HOOSIER UPPER BLUE LAKE,1.8330000000000002,0.0,3.01,53,64.36,2140.0,36
5003653,COLBURN RESERVOIR NO 2,3603570,CON-HOOSIER UPPER BLUE LAKE,1.8330000000000002,0.0,23.0,50,64.36,2140.0,36
5303599,YARMONY LODGE POND B,3603570,CON-HOOSIER UPPER BLUE LAKE,1.8330000000000002,0.0,1.78,53,64.36,2140.0,36
5303598,YARMONY LODGE POND A,3603543,GREEN MOUNTAIN RESERVOIR,25.0,0.0,6.55,53,15.77,209199.0,36
5003652,COLBURN RESERVOIR,3603570,CON-HOOSIER UPPER BLUE LAKE,1.8330000000000002,0.0,16.0,50,64.36,2140.0,36
5303600,YARMONY LODGE POND C,3603543,GREEN MOUNTAIN RESERVOIR,25.0,0.0,3.01,53,15.77,209199.0,36
5303599,YARMONY LODGE POND B,3603543,GREEN MOUNTAIN RESERVOIR,25.0,0.0,1.78,53,15.77,209199.0,36
3703786,GRAHAM POND NO 2,5300584,SHOSHONE POWER PLANT,126.667,0.0,0.13,37,147.54,1408.0,53
5003653,COLBURN RESERVOIR NO 2,5300584,SHOSHONE POWER PLANT,126.667,0.0,23.0,50,147.54,1408.0,53
5103526,CORRAL CREEK WETLAND NO1,3603543,GREEN MOUNTAIN RESERVOIR,25.0,0.0,26.8,51,15.77,209199.0,36
5003652,COLBURN RESERVOIR,5300584,SHOSHONE POWER PLANT,126.667,0.0,16.0,50,147.54,1408.0,53
3703786,GRAHAM POND NO 2,3603570,CON-HOOSIER UPPER BLUE LAKE,1.8330000000000002,0.0,0.13,37,64.36,2140.0,36
3703536,MIN LAKE BENCH LAKE NO 1,3603543,GREEN MOUNTAIN RESERVOIR,25.0,0.0,9.0,37,15.77,209199.0,36
5303600,YARMONY LODGE POND C,5300584,SHOSHONE POWER PLANT,126.667,0.0,3.01,53,147.54,1408.0,53
5003646,MARTIN RESERVOIR,5300584,SHOSHONE POWER PLANT,253.334,0.0,216.15,50,147.54,1408.0,53
5103526,CORRAL CREEK WETLAND NO1,3604512,DILLON RESERVOIR,10.0,0.0,26.8,51,44.67,407914.0,36
3703786,GRAHAM POND NO 2,3603543,GREEN MOUNTAIN RESERVOIR,25.0,0.0,0.13,37,15.77,209199.0,36
5003653,COLBURN RESERVOIR NO 2,3603543,GREEN MOUNTAIN RESERVOIR,25.0,0.0,23.0,50,15.77,209199.0,36
5303599,YARMONY LODGE POND B,5300584,SHOSHONE POWER PLANT,126.667,0.0,1.78,53,147.54,1408.0,53
5303598,YARMONY LODGE POND A,5300584,SHOSHONE POWER PLANT,126.667,0.0,6.55,53,147.54,1408.0,53
5003652,COLBURN RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,25.0,0.0,16.0,50,15.77,209199.0,36
5103526,CORRAL CREEK WETLAND NO1,3603570,CON-HOOSIER UPPER BLUE LAKE,1.8330000000000002,0.0,26.8,51,64.36,2140.0,36
3702056,MIN FLOW GORE CR LOWER,3603543,GREEN MOUNTAIN RESERVOIR,50.0,0.01,36.0,37,15.77,209199.0,36
3702056,MIN FLOW GORE CR LOWER,3604512,DILLON RESERVOIR,20.0,0.01,36.0,37,44.67,407914.0,36
3702056,MIN FLOW GORE CR LOWER,5300584,SHOSHONE POWER PLANT,253.334,0.01,36.0,37,147.54,1408.0,53
3702056,MIN FLOW GORE CR LOWER,3603570,CON-HOOSIER UPPER BLUE LAKE,3.6660000000000004,0.01,36.0,37,64.36,2140.0,36
3702018,MIN FLOW CROSS CR LOWER,3603570,CON-HOOSIER UPPER BLUE LAKE,1.8330000000000002,0.02,20.0,37,64.36,2140.0,36
3602049,MIN FLOW BLUE RIVER 11 - GMR TO COLORADO RIVER,3603570,CON-HOOSIER UPPER BLUE LAKE,1.8330000000000002,0.02,60.0,36,64.36,2140.0,36
5302006,MIN FLOW SWEETWATER CR,5300584,SHOSHONE POWER PLANT,126.667,0.02,18.0,53,147.54,1408.0,53
3702018,MIN FLOW CROSS CR LOWER,3603543,GREEN MOUNTAIN RESERVOIR,25.0,0.02,20.0,37,15.77,209199.0,36
3602049,MIN FLOW BLUE RIVER 11 - GMR TO COLORADO RIVER,3604512,DILLON RESERVOIR,10.0,0.02,60.0,36,44.67,407914.0,36
3702018,MIN FLOW CROSS CR LOWER,5300584,SHOSHONE POWER PLANT,126.667,0.02,20.0,37,147.54,1408.0,53
3602049,MIN FLOW BLUE RIVER 11 - GMR TO COLORADO RIVER,5300584,SHOSHONE POWER PLANT,126.667,0.02,60.0,36,147.54,1408.0,53
5302006,MIN FLOW SWEETWATER CR,3603543,GREEN MOUNTAIN RESERVOIR,25.0,0.02,18.0,53,15.77,209199.0,36
5302007,MIN FLOW DEEP CREEK,3603570,CON-HOOSIER UPPER BLUE LAKE,1.8330000000000002,0.02,14.0,53,64.36,2140.0,36
5302007,MIN FLOW DEEP CREEK,3603543,GREEN MOUNTAIN RESERVOIR,25.0,0.02,14.0,53,15.77,209199.0,36
