analysisWdid,locationWdid,priorityWdid,sum_wtd_count,priority_sum_wtd_count
3600645,3600662,3600662,12.0,12.0
3600645,5300584,3603543,279.0,20.0
3600645,5300584,5300584,279.0,259.0
3600645,7200645,7200645,5.0,5.0
3600649,3600881,3600881,26.0,26.0
3600649,3603543,3603543,32.0,72.0
3600649,5300584,3603543,558.0,72.0
3600649,5300584,5300584,558.0,518.0
3600649,7200645,7200645,10.0,10.0
3600660,5300584,5300584,259.0,259.0
3600662,5300584,5300584,259.0,259.0
3600671,3600881,3600881,78.0,78.0
3600671,3603543,3603543,32.0,72.0
3600671,5300584,3603543,558.0,72.0
3600671,5300584,5300584,558.0,518.0
3600671,7200645,7200645,10.0,10.0
3600687,3600881,3600881,13.0,13.0
3600687,3603543,3603543,16.0,36.0
3600687,5300584,3603543,279.0,36.0
3600687,5300584,5300584,279.0,259.0
3600687,7200645,7200645,5.0,5.0
3600709,5300584,3603543,828.0,40.0
3600709,5300584,5300584,828.0,788.0
3600709,7200645,7200645,10.0,10.0
3600734,3600881,3600881,13.0,13.0
3600734,3603543,3603543,16.0,36.0
3600734,5300584,3603543,279.0,36.0
3600734,5300584,5300584,279.0,259.0
3600734,7200645,7200645,5.0,5.0
3600775,5300584,3603543,290.0,20.0
3600775,5300584,5300584,290.0,270.0
3600775,7200645,7200645,5.0,5.0
3600776,5300584,3603543,290.0,20.0
3600776,5300584,5300584,290.0,270.0
3600776,7200645,7200645,5.0,5.0
3600780,3600881,3600881,65.0,65.0
3600780,3603543,3603543,16.0,36.0
3600780,5300584,3603543,279.0,36.0
3600780,5300584,5300584,279.0,259.0
3600780,7200645,7200645,5.0,5.0
3600796,3600881,3600881,13.0,13.0
3600796,3603543,3603543,16.0,36.0
3600796,5300584,3603543,279.0,36.0
3600796,5300584,5300584,279.0,259.0
3600796,7200645,7200645,5.0,5.0
3600803,5300584,3603543,279.0,20.0
3600803,5300584,5300584,279.0,259.0
3600803,7200645,7200645,5.0,5.0
3600830,3600881,3600881,13.0,13.0
3600830,3603543,3603543,16.0,36.0
3600830,5300584,3603543,279.0,36.0
3600830,5300584,5300584,279.0,259.0
3600830,7200645,7200645,5.0,5.0
3600912,5300584,5300584,259.0,259.0
3600985,5300584,3603543,290.0,20.0
3600985,5300584,5300584,290.0,270.0
3600985,7200645,7200645,5.0,5.0
3601018,5300584,5300584,259.0,259.0
3601044,3600881,3600881,65.0,65.0
3601044,3603543,3603543,16.0,36.0
3601044,5300584,3603543,279.0,36.0
3601044,5300584,5300584,279.0,259.0
3601044,7200645,7200645,5.0,5.0
3601051,5300584,5300584,259.0,259.0
3601052,5300584,5300584,259.0,259.0
3601058,3600881,3600881,13.0,13.0
3601058,3603543,3603543,16.0,36.0
3601058,5300584,3603543,279.0,36.0
3601058,5300584,5300584,279.0,259.0
3601058,7200645,7200645,5.0,5.0
3601085,3600881,3600881,65.0,65.0
3601085,3603543,3603543,16.0,36.0
3601085,5300584,3603543,279.0,36.0
3601085,5300584,5300584,279.0,259.0
3601085,7200645,7200645,5.0,5.0
3601100,3600881,3600881,65.0,65.0
3601100,3603543,3603543,16.0,36.0
3601100,5300584,3603543,279.0,36.0
3601100,5300584,5300584,279.0,259.0
3601100,7200645,7200645,5.0,5.0
3602030,3600881,3600881,65.0,65.0
3602030,3603543,3603543,16.0,36.0
3602030,5300584,3603543,279.0,36.0
3602030,5300584,5300584,279.0,259.0
3602030,7200645,7200645,5.0,5.0
3602033,3600881,3600881,65.0,65.0
3602033,3603543,3603543,16.0,36.0
3602033,5300584,3603543,279.0,36.0
3602033,5300584,5300584,279.0,259.0
3602033,7200645,7200645,5.0,5.0
3602037,3600881,3600881,65.0,65.0
3602037,3603543,3603543,16.0,36.0
3602037,5300584,3603543,279.0,36.0
3602037,5300584,5300584,279.0,259.0
3602037,7200645,7200645,5.0,5.0
3602043,3600881,3600881,65.0,65.0
3602043,3603543,3603543,16.0,36.0
3602043,5300584,3603543,279.0,36.0
3602043,5300584,5300584,279.0,259.0
3602043,7200645,7200645,5.0,5.0
3602044,3600881,3600881,65.0,65.0
3602044,3603543,3603543,16.0,36.0
3602044,5300584,3603543,279.0,36.0
3602044,5300584,5300584,279.0,259.0
3602044,7200645,7200645,5.0,5.0
3602045,3600881,3600881,65.0,65.0
3602045,3603543,3603543,16.0,36.0
3602045,5300584,3603543,279.0,36.0
3602045,5300584,5300584,279.0,259.0
3602045,7200645,7200645,5.0,5.0
3602046,3600881,3600881,65.0,65.0
3602046,3603543,3603543,16.0,36.0
3602046,5300584,3603543,279.0,36.0
3602046,5300584,5300584,279.0,259.0
3602046,7200645,7200645,5.0,5.0
3602047,3600881,3600881,65.0,65.0
3602047,3603543,3603543,16.0,36.0
3602047,5300584,3603543,279.0,36.0
3602047,5300584,5300584,279.0,259.0
3602047,7200645,7200645,5.0,5.0
3602048,3600881,3600881,65.0,65.0
3602048,3603543,3603543,16.0,36.0
3602048,5300584,3603543,279.0,36.0
3602048,5300584,5300584,279.0,259.0
3602048,7200645,7200645,5.0,5.0
3602049,5300584,3603543,290.0,20.0
3602049,5300584,5300584,290.0,270.0
3602049,7200645,7200645,5.0,5.0
3603533,3600881,3600881,13.0,13.0
3603533,3603543,3603543,16.0,36.0
3603533,5300584,3603543,279.0,36.0
3603533,5300584,5300584,279.0,259.0
3603533,7200645,7200645,5.0,5.0
3603534,3600881,3600881,13.0,13.0
3603534,3603543,3603543,16.0,36.0
3603534,5300584,3603543,279.0,36.0
3603534,5300584,5300584,279.0,259.0
3603534,7200645,7200645,5.0,5.0
3603537,5300584,3603543,290.0,20.0
3603537,5300584,5300584,290.0,270.0
3603537,7200645,7200645,5.0,5.0
3603538,5300584,5300584,259.0,259.0
3603539,3600881,3600881,65.0,65.0
3603539,3603543,3603543,16.0,36.0
3603539,5300584,3603543,279.0,36.0
3603539,5300584,5300584,279.0,259.0
3603539,7200645,7200645,5.0,5.0
3603542,3600881,3600881,65.0,65.0
3603542,3603543,3603543,16.0,36.0
3603542,5300584,3603543,279.0,36.0
3603542,5300584,5300584,279.0,259.0
3603542,7200645,7200645,5.0,5.0
3603543,3600881,3600881,65.0,65.0
3603543,3603543,3603543,16.0,36.0
3603543,5300584,3603543,538.0,36.0
3603543,5300584,5300584,538.0,518.0
3603543,7200645,7200645,10.0,10.0
3603544,5300584,3603543,290.0,20.0
3603544,5300584,5300584,290.0,270.0
3603544,7200645,7200645,5.0,5.0
3603545,5300584,3603543,290.0,20.0
3603545,5300584,5300584,290.0,270.0
3603545,7200645,7200645,5.0,5.0
3603548,3600662,3600662,24.0,24.0
3603548,5300584,3603543,558.0,40.0
3603548,5300584,5300584,558.0,518.0
3603548,7200645,7200645,10.0,10.0
3603549,5300584,3603543,290.0,20.0
3603549,5300584,5300584,290.0,270.0
3603549,7200645,7200645,5.0,5.0
3603555,3600881,3600881,65.0,65.0
3603555,3603543,3603543,16.0,36.0
3603555,5300584,3603543,279.0,36.0
3603555,5300584,5300584,279.0,259.0
3603555,7200645,7200645,5.0,5.0
3603565,3600881,3600881,13.0,13.0
