analysisWdid,locationWdid,priorityWdid,sum_wtd_count,priority_sum_wtd_count
3600645,5300584,5300584,136.625,136.625
3600649,5300584,5300584,273.25,273.25
3600660,5300584,5300584,136.625,136.625
3600671,5300584,5300584,303.83299999999997,303.83299999999997
3600687,5300584,5300584,136.625,136.625
3600709,5300584,5300584,440.458,440.458
3600734,5300584,5300584,136.625,136.625
3600775,5300584,5300584,167.208,167.208
3600776,5300584,5300584,167.208,167.208
3600780,5300584,5300584,167.208,167.208
3600796,5300584,5300584,136.625,136.625
3600803,5300584,5300584,136.625,136.625
3600830,5300584,5300584,136.625,136.625
3600912,5300584,5300584,136.625,136.625
3600985,5300584,5300584,167.208,167.208
3601044,5300584,5300584,167.208,167.208
3601051,5300584,5300584,136.625,136.625
3601052,5300584,5300584,136.625,136.625
3601058,5300584,5300584,167.208,167.208
3601085,5300584,5300584,167.208,167.208
3601100,5300584,5300584,167.208,167.208
3602030,5300584,5300584,167.208,167.208
3602033,5300584,5300584,167.208,167.208
3602037,5300584,5300584,167.208,167.208
3602043,5300584,5300584,167.208,167.208
3602044,5300584,5300584,167.208,167.208
3602045,5300584,5300584,167.208,167.208
3602046,5300584,5300584,167.208,167.208
3602047,5300584,5300584,167.208,167.208
3602048,5300584,5300584,167.208,167.208
3602049,5300584,5300584,167.208,167.208
3603533,5300584,5300584,136.625,136.625
3603534,5300584,5300584,136.625,136.625
3603537,5300584,5300584,167.208,167.208
3603538,5300584,5300584,136.625,136.625
3603542,5300584,5300584,167.208,167.208
3603543,5300584,5300584,303.83299999999997,303.83299999999997
3603544,5300584,5300584,167.208,167.208
3603545,5300584,5300584,167.208,167.208
3603548,5300584,5300584,273.25,273.25
3603549,5300584,5300584,167.208,167.208
3603555,5300584,5300584,167.208,167.208
3603565,5300584,5300584,136.625,136.625
3603569,5300584,5300584,167.208,167.208
3603570,5300584,5300584,167.208,167.208
3603571,5300584,5300584,167.208,167.208
3603573,5300584,5300584,167.208,167.208
3603574,5300584,5300584,167.208,167.208
3603575,5300584,5300584,334.416,334.416
3603578,5300584,5300584,167.208,167.208
3603579,5300584,5300584,167.208,167.208
3603580,5300584,5300584,167.208,167.208
3603581,5300584,5300584,167.208,167.208
3603582,5300584,5300584,167.208,167.208
3603583,5300584,5300584,167.208,167.208
3603584,5300584,5300584,167.208,167.208
3603585,5300584,5300584,167.208,167.208
3603586,5300584,5300584,167.208,167.208
3603587,5300584,5300584,167.208,167.208
3603588,5300584,5300584,167.208,167.208
3603589,5300584,5300584,167.208,167.208
3603591,5300584,5300584,167.208,167.208
3603592,5300584,5300584,167.208,167.208
3603593,5300584,5300584,167.208,167.208
3603594,5300584,5300584,167.208,167.208
3603595,5300584,5300584,167.208,167.208
