analysisWdid,locationWdid,priorityWdid,sum_wtd_count,priority_sum_wtd_count
3600645,5300584,3603543,146.667,25.0
3600645,5300584,5300584,146.667,121.667
3600649,5300584,3603543,172.0,245.668
3600649,5300584,5300584,172.0,122.0
3600649,3603543,3603543,195.668,245.668
3600660,5300584,5300584,61.0,61.0
3600671,5300584,3603543,188.833,245.668
3600671,5300584,3603570,188.833,1.833
3600671,5300584,3604512,188.833,10.0
3600671,5300584,5300584,188.833,127.0
3600671,3603543,3603543,195.668,245.668
3600687,5300584,3603543,86.0,122.834
3600687,5300584,5300584,86.0,61.0
3600687,3603543,3603543,97.834,122.834
3600709,5300584,3603543,431.834,50.0
3600709,5300584,3603570,431.834,1.833
3600709,5300584,3604512,431.834,10.0
3600709,5300584,5300584,431.834,370.001
3600734,5300584,3603543,86.0,122.834
3600734,5300584,5300584,86.0,61.0
3600734,3603543,3603543,97.834,122.834
3600775,5300584,3603543,163.5,25.0
3600775,5300584,3603570,163.5,1.833
3600775,5300584,3604512,163.5,10.0
3600775,5300584,5300584,163.5,126.667
3600776,5300584,3603543,163.5,25.0
3600776,5300584,3603570,163.5,1.833
3600776,5300584,3604512,163.5,10.0
3600776,5300584,5300584,163.5,126.667
3600780,5300584,3603543,101.0,122.834
3600780,5300584,3604512,101.0,10.0
3600780,5300584,5300584,101.0,66.0
3600780,3603543,3603543,97.834,122.834
3600796,5300584,3603543,86.0,122.834
3600796,5300584,5300584,86.0,61.0
3600796,3603543,3603543,97.834,122.834
3600803,5300584,3603543,146.667,25.0
3600803,5300584,5300584,146.667,121.667
3600830,5300584,3603543,86.0,122.834
3600830,5300584,5300584,86.0,61.0
3600830,3603543,3603543,97.834,122.834
3600912,5300584,5300584,61.0,61.0
3600985,5300584,3603543,163.5,25.0
3600985,5300584,3603570,163.5,1.833
3600985,5300584,3604512,163.5,10.0
3600985,5300584,5300584,163.5,126.667
3601044,5300584,3603543,102.833,122.834
3601044,5300584,3603570,102.833,1.833
3601044,5300584,3604512,102.833,10.0
3601044,5300584,5300584,102.833,66.0
3601044,3603543,3603543,97.834,122.834
3601051,5300584,5300584,61.0,61.0
3601052,5300584,5300584,61.0,61.0
3601058,5300584,3603543,91.0,122.834
3601058,5300584,5300584,91.0,66.0
3601058,3603543,3603543,97.834,122.834
3601085,5300584,3603543,102.833,122.834
3601085,5300584,3603570,102.833,1.833
3601085,5300584,3604512,102.833,10.0
3601085,5300584,5300584,102.833,66.0
3601085,3603543,3603543,97.834,122.834
3601100,5300584,3603543,102.833,122.834
3601100,5300584,3603570,102.833,1.833
3601100,5300584,3604512,102.833,10.0
3601100,5300584,5300584,102.833,66.0
3601100,3603543,3603543,97.834,122.834
3602030,5300584,3603543,102.833,122.834
3602030,5300584,3603570,102.833,1.833
3602030,5300584,3604512,102.833,10.0
3602030,5300584,5300584,102.833,66.0
3602030,3603543,3603543,97.834,122.834
3602033,5300584,3603543,102.833,122.834
3602033,5300584,3603570,102.833,1.833
3602033,5300584,3604512,102.833,10.0
3602033,5300584,5300584,102.833,66.0
3602033,3603543,3603543,97.834,122.834
3602037,5300584,3603543,102.833,122.834
3602037,5300584,3603570,102.833,1.833
3602037,5300584,3604512,102.833,10.0
3602037,5300584,5300584,102.833,66.0
3602037,3603543,3603543,97.834,122.834
3602043,5300584,3603543,102.833,122.834
3602043,5300584,3603570,102.833,1.833
3602043,5300584,3604512,102.833,10.0
3602043,5300584,5300584,102.833,66.0
3602043,3603543,3603543,97.834,122.834
3602044,5300584,3603543,102.833,122.834
3602044,5300584,3603570,102.833,1.833
3602044,5300584,3604512,102.833,10.0
3602044,5300584,5300584,102.833,66.0
3602044,3603543,3603543,97.834,122.834
3602045,5300584,3603543,102.833,122.834
3602045,5300584,3603570,102.833,1.833
3602045,5300584,3604512,102.833,10.0
3602045,5300584,5300584,102.833,66.0
3602045,3603543,3603543,97.834,122.834
3602046,5300584,3603543,102.833,122.834
3602046,5300584,3603570,102.833,1.833
3602046,5300584,3604512,102.833,10.0
3602046,5300584,5300584,102.833,66.0
3602046,3603543,3603543,97.834,122.834
3602047,5300584,3603543,102.833,122.834
3602047,5300584,3603570,102.833,1.833
3602047,5300584,3604512,102.833,10.0
3602047,5300584,5300584,102.833,66.0
3602047,3603543,3603543,97.834,122.834
3602048,5300584,3603543,102.833,122.834
3602048,5300584,3603570,102.833,1.833
3602048,5300584,3604512,102.833,10.0
3602048,5300584,5300584,102.833,66.0
3602048,3603543,3603543,97.834,122.834
3602049,5300584,3603543,163.5,25.0
3602049,5300584,3603570,163.5,1.833
3602049,5300584,3604512,163.5,10.0
3602049,5300584,5300584,163.5,126.667
3603533,5300584,3603543,86.0,122.834
3603533,5300584,5300584,86.0,61.0
3603533,3603543,3603543,97.834,122.834
3603534,5300584,3603543,86.0,122.834
3603534,5300584,5300584,86.0,61.0
3603534,3603543,3603543,97.834,122.834
3603537,5300584,3603543,151.667,25.0
3603537,5300584,5300584,151.667,126.667
3603538,5300584,5300584,61.0,61.0
3603539,5300584,3603543,102.833,122.834
3603539,5300584,3603570,102.833,1.833
3603539,5300584,3604512,102.833,10.0
3603539,5300584,5300584,102.833,66.0
3603539,3603543,3603543,97.834,122.834
3603542,5300584,3603543,102.833,122.834
3603542,5300584,3603570,102.833,1.833
3603542,5300584,3604512,102.833,10.0
3603542,5300584,5300584,102.833,66.0
3603542,3603543,3603543,97.834,122.834
3603543,5300584,3603543,163.833,122.834
3603543,5300584,3603570,163.833,1.833
3603543,5300584,3604512,163.833,10.0
3603543,5300584,5300584,163.833,127.0
3603543,3603543,3603543,97.834,122.834
3603544,5300584,3603543,163.5,25.0
3603544,5300584,3603570,163.5,1.833
3603544,5300584,3604512,163.5,10.0
3603544,5300584,5300584,163.5,126.667
3603545,5300584,3603543,163.5,25.0
3603545,5300584,3603570,163.5,1.833
3603545,5300584,3604512,163.5,10.0
3603545,5300584,5300584,163.5,126.667
3603548,5300584,3603543,293.334,50.0
3603548,5300584,5300584,293.334,243.334
3603549,5300584,3603543,161.667,25.0
3603549,5300584,3604512,161.667,10.0
