analysisWdid,locationWdid,priorityWdid,sum_wtd_count,priority_sum_wtd_count
3600645,5300584,3603543,233.457,53.729
3600645,5300584,5101313,233.457,9.791
3600645,5300584,5103709,233.457,5.146
3600645,5300584,5300584,233.457,164.791
3600645,7200646,7200646,5.209,5.209
3600649,5300584,3603543,466.914,107.458
3600649,5300584,5101313,466.914,19.582
3600649,5300584,5103709,466.914,10.292
3600649,5300584,5300584,466.914,329.582
3600649,7200646,7200646,10.418,10.418
3600660,5300584,5300584,164.791,164.791
3600671,5300584,3603543,497.08000000000004,107.458
3600671,5300584,3604684,497.08000000000004,20.5
3600671,5300584,5101313,497.08000000000004,19.582
3600671,5300584,5103709,497.08000000000004,10.292
3600671,5300584,5300584,497.08000000000004,339.248
3600671,7200646,7200646,10.418,10.418
3600687,5300584,3603543,233.457,53.729
3600687,5300584,5101313,233.457,9.791
3600687,5300584,5103709,233.457,5.146
3600687,5300584,5300584,233.457,164.791
3600687,7200646,7200646,5.209,5.209
3600709,5300584,3603543,669.537,107.458
3600709,5300584,3604684,669.537,20.5
3600709,5300584,3704516,669.537,3.666
3600709,5300584,5101313,669.537,19.582
3600709,5300584,5103709,669.537,14.292
3600709,5300584,5300584,669.537,504.039
3600709,7200646,7200646,10.418,10.418
3600734,5300584,3603543,233.457,53.729
3600734,5300584,5101313,233.457,9.791
3600734,5300584,5103709,233.457,5.146
3600734,5300584,5300584,233.457,164.791
3600734,7200646,7200646,5.209,5.209
3600775,5300584,3603543,271.289,53.729
3600775,5300584,3604684,271.289,20.5
3600775,5300584,3704516,271.289,3.666
3600775,5300584,5101313,271.289,9.791
3600775,5300584,5103709,271.289,9.146
3600775,5300584,5300584,271.289,174.457
3600775,7200646,7200646,5.209,5.209
3600776,5300584,3603543,271.289,53.729
3600776,5300584,3604684,271.289,20.5
3600776,5300584,3704516,271.289,3.666
3600776,5300584,5101313,271.289,9.791
3600776,5300584,5103709,271.289,9.146
3600776,5300584,5300584,271.289,174.457
3600776,7200646,7200646,5.209,5.209
3600780,5300584,3603543,263.623,53.729
3600780,5300584,3604684,263.623,20.5
3600780,5300584,5101313,263.623,9.791
3600780,5300584,5103709,263.623,5.146
3600780,5300584,5300584,263.623,174.457
3600780,7200646,7200646,5.209,5.209
3600796,5300584,3603543,233.457,53.729
3600796,5300584,5101313,233.457,9.791
3600796,5300584,5103709,233.457,5.146
3600796,5300584,5300584,233.457,164.791
3600796,7200646,7200646,5.209,5.209
3600803,5300584,3603543,233.457,53.729
3600803,5300584,5101313,233.457,9.791
3600803,5300584,5103709,233.457,5.146
3600803,5300584,5300584,233.457,164.791
3600803,7200646,7200646,5.209,5.209
3600830,5300584,3603543,228.311,53.729
3600830,5300584,5101313,228.311,9.791
3600830,5300584,5300584,228.311,164.791
3600830,7200646,7200646,5.209,5.209
3600912,5300584,5300584,164.791,164.791
3600985,5300584,3603543,271.289,53.729
3600985,5300584,3604684,271.289,20.5
3600985,5300584,3704516,271.289,3.666
3600985,5300584,5101313,271.289,9.791
3600985,5300584,5103709,271.289,9.146
3600985,5300584,5300584,271.289,174.457
3600985,7200646,7200646,5.209,5.209
3601044,5300584,3603543,271.289,53.729
3601044,5300584,3604684,271.289,20.5
3601044,5300584,3704516,271.289,3.666
3601044,5300584,5101313,271.289,9.791
3601044,5300584,5103709,271.289,9.146
3601044,5300584,5300584,271.289,174.457
3601044,7200646,7200646,5.209,5.209
3601051,5300584,5300584,164.791,164.791
3601052,5300584,5300584,164.791,164.791
3601058,5300584,3603543,243.123,53.729
3601058,5300584,5101313,243.123,9.791
3601058,5300584,5103709,243.123,5.146
3601058,5300584,5300584,243.123,174.457
3601058,7200646,7200646,5.209,5.209
3601085,5300584,3603543,271.289,53.729
3601085,5300584,3604684,271.289,20.5
3601085,5300584,3704516,271.289,3.666
3601085,5300584,5101313,271.289,9.791
3601085,5300584,5103709,271.289,9.146
3601085,5300584,5300584,271.289,174.457
3601085,7200646,7200646,5.209,5.209
